'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KYABRAM Victoria for July 2020,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 August 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KYABRAM,01/07/2020,1.5,0.0, ,17.0,5.9,100,49,2.92,10.02
KYABRAM,02/07/2020,1.2,0.6, ,13.6,8.2,99,59,3.26,8.93
KYABRAM,03/07/2020,0.5,0.2, ,11.2,3.3,100,90,2.47,5.64
KYABRAM,04/07/2020,0.6,5.0, ,12.5,1.1,100,85,2.11,8.11
KYABRAM,05/07/2020,0.8,0.2, ,13.8,3.2,100,69,1.74,8.19
KYABRAM,06/07/2020,0.9,0.0, ,13.2,5.7,100,67,2.17,7.33
KYABRAM,07/07/2020,0.6,0.0, ,11.8,4.2,100,90,1.68,9.97
KYABRAM,08/07/2020,0.6,0.4, ,13.0,3.8,100,84,1.05,8.20
KYABRAM,09/07/2020,0.8,0.2, ,14.5,3.8,100,74,1.46,7.89
KYABRAM,10/07/2020,0.8,0.0, ,15.5,5.1,100,75,1.59,7.91
KYABRAM,11/07/2020,0.6,10.6, ,12.4,7.4,100,99,0.74,5.95
KYABRAM,12/07/2020,0.5,13.4, ,11.4,7.9,100,99,0.87,5.25
KYABRAM,13/07/2020,1.3,2.8, ,15.9,4.5,100,62,3.30,10.61
KYABRAM,14/07/2020,1.2,0.2, ,15.0,6.8,100,65,2.79,10.68
KYABRAM,15/07/2020,0.8,0.2, ,14.4,2.0,100,61,0.66,10.74
KYABRAM,16/07/2020,0.8,0.2, ,12.9,0.1,100,58,0.98,10.05
KYABRAM,17/07/2020,0.6,0.0, ,14.4,-1.1,100,54,0.12,10.81
KYABRAM,18/07/2020,0.8,0.2, ,12.3,0.6,100,73,1.45,8.67
KYABRAM,19/07/2020,1.5,0.0, ,15.3,4.9,100,58,3.70,10.58
KYABRAM,20/07/2020,1.1,0.2, ,14.2,0.8,100,61,1.95,10.30
KYABRAM,21/07/2020,0.8,0.0, ,13.5,0.3,100,70,1.05,9.57
KYABRAM,22/07/2020,0.9,0.2, ,13.0,2.4,100,66,1.20,8.84
KYABRAM,23/07/2020,0.8,0.0, ,12.5,1.5,100,52,0.71,10.29
KYABRAM,24/07/2020,0.7,0.0, ,11.5,-1.4,100,71,0.59,10.01
KYABRAM,25/07/2020,1.1,0.2, ,16.2,0.2,100,49,0.98,11.19
KYABRAM,26/07/2020,1.1,0.0, ,16.9,2.9,100,49,0.98,11.36
KYABRAM,27/07/2020,1.5,0.2, ,14.5,4.6,100,67,5.94,10.28
KYABRAM,28/07/2020,1.6,0.0, ,16.3,7.6,100,62,3.81,11.87
KYABRAM,29/07/2020,1.0,0.0, ,15.9,2.1,100,65,0.78,11.96
KYABRAM,30/07/2020,1.2,0.2, ,14.8,2.5,100,52,1.18,11.98
KYABRAM,31/07/2020,0.9,0.0, ,15.4,-1.1,100,56,0.36,12.14
Totals:,,29.1,35.2, ,,,,,, 
