'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KYABRAM Victoria for July 2021,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 August 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KYABRAM,01/07/2021,0.9,0.0, ,16.6,4.4,100,71,2.03,9.07
KYABRAM,02/07/2021,0.6,0.2, ,13.5,6.5,100,89,3.34,4.39
KYABRAM,03/07/2021,0.6,2.0, ,9.2,3.9,100,84,2.83,6.89
KYABRAM,04/07/2021,0.7,0.8, ,11.6,2.0,100,82,2.89,6.29
KYABRAM,05/07/2021,0.4,0.6, ,8.4,1.2,100,99,1.24,5.82
KYABRAM,06/07/2021,0.6,0.0, ,9.3,1.5,100,61,0.62,4.88
KYABRAM,07/07/2021,0.6,0.0, ,9.3,5.2,100,63,0.66,5.59
KYABRAM,08/07/2021,0.6,0.0, ,10.2,-1.9,100,69,0.96,8.57
KYABRAM,09/07/2021,1.0,0.0, ,14.1,2.2,100,54,1.48,10.01
KYABRAM,10/07/2021,1.0,0.0, ,15.5,0.8,100,56,1.54,10.43
KYABRAM,11/07/2021,0.8,0.2, ,14.0,-1.7,100,69,1.64,8.94
KYABRAM,12/07/2021,1.1,0.0, ,14.3,2.9,100,68,2.98,8.54
KYABRAM,13/07/2021,0.9,0.0, ,15.7,4.1,100,74,1.70,8.10
KYABRAM,14/07/2021,0.5,5.6, ,12.3,7.3,100,96,3.09,3.78
KYABRAM,15/07/2021,1.2,4.4, ,16.6,8.1,100,71,3.17,9.65
KYABRAM,16/07/2021,0.8,2.8, ,12.6,8.4,100,83,4.50,6.79
KYABRAM,17/07/2021,0.8,6.6, ,12.1,4.9,100,80,4.10,7.14
KYABRAM,18/07/2021,1.0,1.0, ,13.4,5.0,100,70,2.28,9.46
KYABRAM,19/07/2021,0.9,0.0, ,12.0,7.1,100,68,2.11,6.56
KYABRAM,20/07/2021,0.9,4.8, ,11.0,7.0,100,76,4.06,4.47
KYABRAM,21/07/2021,0.9,3.4, ,12.4,0.8,100,66,1.73,9.70
KYABRAM,22/07/2021,0.6,0.0, ,10.4,0.2,100,87,1.95,7.46
KYABRAM,23/07/2021,0.7,5.0, ,10.5,4.8,100,84,1.68,5.74
KYABRAM,24/07/2021,0.8,0.4, ,11.0,6.4,100,84,4.19,6.89
KYABRAM,25/07/2021,1.1,6.6, ,11.0,2.9,100,68,4.07,9.18
KYABRAM,26/07/2021,1.0,5.4, ,14.7,4.9,100,77,3.32,8.30
KYABRAM,27/07/2021,1.9,0.6, ,16.9,5.1,99,54,4.47,11.57
KYABRAM,28/07/2021,2.0,1.4, ,16.9,8.8,97,49,4.28,9.52
KYABRAM,29/07/2021,1.2,0.4, ,14.3,2.7,100,67,2.32,11.55
KYABRAM,30/07/2021,1.4,0.0, ,13.1,2.8,99,60,3.73,9.56
KYABRAM,31/07/2021,1.6,1.4, ,17.1,6.9,100,63,3.23,11.44
Totals:,,29.1,53.6, ,,,,,, 
