'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for LAVERTON RAAF Victoria for May 2014,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 June 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
LAVERTON RAAF,01/05/2014,1.9,0.0, ,14.9,3.5,92,49,3.51,9.49
LAVERTON RAAF,02/05/2014,1.9,0.2, ,14.1,9.1,83,59,4.89,5.47
LAVERTON RAAF,03/05/2014,1.7,0.8, ,15.9,9.1,91,67,5.04,8.31
LAVERTON RAAF,04/05/2014,1.5,3.4, ,13.8,7.7,88,71,5.89,6.25
LAVERTON RAAF,05/05/2014,1.8,0.4, ,17.1,8.2,94,60,4.59,7.69
LAVERTON RAAF,06/05/2014,1.7,0.0, ,14.9,9.0,93,61,4.54,8.87
LAVERTON RAAF,07/05/2014,1.7,1.0, ,14.4,9.5,93,52,3.69,7.38
LAVERTON RAAF,08/05/2014,2.1,0.0, ,17.8,1.4,95,39,2.94,11.73
LAVERTON RAAF,09/05/2014,2.3,0.0, ,17.9,4.6,87,55,5.73,7.33
LAVERTON RAAF,10/05/2014,1.2,5.6, ,17.0,13.0,95,73,3.44,3.87
LAVERTON RAAF,11/05/2014,1.6,0.2, ,18.9,7.8,95,62,3.05,8.97
LAVERTON RAAF,12/05/2014,1.4,0.2, ,17.6,5.3,98,56,2.05,10.92
LAVERTON RAAF,13/05/2014,1.9,0.0, ,20.6,5.0,97,47,2.52,10.88
LAVERTON RAAF,14/05/2014,2.5,0.2, ,21.3,4.9,96,41,3.69,10.33
LAVERTON RAAF,15/05/2014,4.3,0.0, ,23.0,14.1,73,40,7.80,10.20
LAVERTON RAAF,16/05/2014,3.8,0.0, ,23.5,15.1,61,39,5.16,8.41
LAVERTON RAAF,17/05/2014,3.0,0.0, ,20.0,15.9,65,51,5.11,3.43
LAVERTON RAAF,18/05/2014,3.5,0.0, ,23.0,16.4,66,44,5.30,7.42
LAVERTON RAAF,19/05/2014,3.7,0.0, ,25.5,15.9,79,37,5.13,7.88
LAVERTON RAAF,20/05/2014,2.1,0.0, ,22.0,11.3,88,55,3.72,6.00
LAVERTON RAAF,21/05/2014,1.9,0.0, ,22.5,6.4,97,50,2.70,9.36
LAVERTON RAAF,22/05/2014,2.9,0.2, ,22.7,12.3,83,45,4.93,5.88
LAVERTON RAAF,23/05/2014,1.7,4.6, ,20.3,14.6,94,63,3.57,7.49
LAVERTON RAAF,24/05/2014,1.2,0.0, ,16.3,7.1,96,65,2.65,7.39
LAVERTON RAAF,25/05/2014,1.9,0.2, ,21.3,10.4,91,60,4.12,7.71
LAVERTON RAAF,26/05/2014,1.7,0.2, ,21.2,8.8,97,61,3.84,4.15
LAVERTON RAAF,27/05/2014,2.6,0.0, ,20.6,15.2,81,53,5.67,3.60
LAVERTON RAAF,28/05/2014,1.7,0.2, ,18.1,10.3,94,62,4.63,6.29
LAVERTON RAAF,29/05/2014,1.1,0.2, ,15.8,6.0,97,55,1.81,5.60
LAVERTON RAAF,30/05/2014,0.9,0.0, ,14.9,2.6,98,72,2.17,8.06
LAVERTON RAAF,31/05/2014,0.9,0.0, ,17.0,6.4,97,67,1.64,5.01
Totals:,,64.1,17.6, ,,,,,, 
