'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for LAVERTON RAAF Victoria for February 2015,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 March 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
LAVERTON RAAF,01/02/2015,2.8,1.0, ,19.9,12.6,93,64,6.44,10.71
LAVERTON RAAF,02/02/2015,5.1,2.0, ,22.5,14.6,73,50,6.00,21.59
LAVERTON RAAF,03/02/2015,5.1,0.0, ,21.1,15.4,72,52,5.11,25.08
LAVERTON RAAF,04/02/2015,4.6,0.0, ,19.3,14.3,84,47,6.70,22.20
LAVERTON RAAF,05/02/2015,5.9,0.0, ,24.7,14.9,78,49,5.58,29.12
LAVERTON RAAF,06/02/2015,7.5,0.0, ,34.3,12.6,92,24,3.70,28.12
LAVERTON RAAF,07/02/2015,8.2,0.0, ,36.7,18.7,65,21,5.39,14.17
LAVERTON RAAF,08/02/2015,3.9,0.2, ,22.2,18.5,87,52,5.56,13.85
LAVERTON RAAF,09/02/2015,6.3,0.0, ,27.2,14.8,80,45,5.23,28.48
LAVERTON RAAF,10/02/2015,5.7,0.0, ,28.7,13.2,94,47,3.97,26.69
LAVERTON RAAF,11/02/2015,5.3,0.0, ,28.5,15.0,91,52,4.29,23.56
LAVERTON RAAF,12/02/2015,4.8,0.0, ,23.2,17.6,86,49,5.00,22.26
LAVERTON RAAF,13/02/2015,5.6,0.0, ,33.3,14.3,95,31,4.24,12.54
LAVERTON RAAF,14/02/2015,4.2,14.0, ,26.0,18.6,96,58,2.86,20.77
LAVERTON RAAF,15/02/2015,6.2,0.0, ,31.4,16.3,94,32,3.40,25.49
LAVERTON RAAF,16/02/2015,5.7,0.0, ,24.9,16.3,80,51,6.04,26.64
LAVERTON RAAF,17/02/2015,2.4,0.0, ,20.0,16.8,80,65,4.20,5.30
LAVERTON RAAF,18/02/2015,2.7,0.0, ,20.5,16.9,83,65,4.32,8.71
LAVERTON RAAF,19/02/2015,5.1,0.0, ,27.8,17.8,88,52,3.55,24.26
LAVERTON RAAF,20/02/2015,3.8,0.0, ,25.5,15.0,95,58,3.54,17.95
LAVERTON RAAF,21/02/2015,6.8,0.0, ,37.6,16.0,94,23,2.97,22.83
LAVERTON RAAF,22/02/2015,6.1,0.0, ,35.1,20.7,73,30,4.58,10.69
LAVERTON RAAF,23/02/2015,3.3,9.0, ,27.9,18.2,90,51,5.17,3.98
LAVERTON RAAF,24/02/2015,4.4,4.2, ,19.8,15.6,75,48,6.06,18.04
LAVERTON RAAF,25/02/2015,4.8,0.0, ,26.5,13.9,90,47,3.37,23.21
LAVERTON RAAF,26/02/2015,3.9,0.0, ,23.2,15.7,90,61,4.14,20.13
LAVERTON RAAF,27/02/2015,3.8,0.0, ,24.1,13.2,93,49,2.95,17.87
LAVERTON RAAF,28/02/2015,6.0,0.0, ,34.2,16.5,96,23,5.19,6.88
Totals:,,140,30.4, ,,,,,, 
