'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for LONGERENONG Victoria for July 2019,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 August 2019,,,,,,,,,,
© Copyright Commonwealth of Australia 2019 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
LONGERENONG,01/07/2019,1.0,0.0, ,12.2,4.6,82,82,4.77,8.45
LONGERENONG,02/07/2019,0.9,0.0, ,15.1,3.7,82,82,3.03,7.70
LONGERENONG,03/07/2019,0.8,0.0, ,13.9,5.2,82,82,2.06,7.44
LONGERENONG,04/07/2019,1.0,0.2, ,15.0,6.2,82,82,3.62,9.98
LONGERENONG,05/07/2019,1.0,0.0, ,15.8,5.5,82,82,2.92,10.02
LONGERENONG,06/07/2019,1.1,0.2, ,16.8,7.0,82,82,3.58,10.05
LONGERENONG,07/07/2019,0.9,0.0, ,13.0,9.1,82,82,2.66,3.32
LONGERENONG,08/07/2019,0.9,9.6, ,13.4,4.4,82,82,2.87,8.63
LONGERENONG,09/07/2019,0.9,2.0, ,14.1,5.4,82,82,2.40,7.67
LONGERENONG,10/07/2019,1.3,0.2, ,15.0,5.0,82,82,7.28,7.79
LONGERENONG,11/07/2019,1.2,10.6, ,14.3,5.7,82,82,6.60,7.44
LONGERENONG,12/07/2019,1.3,3.4, ,12.7,8.7,82,82,7.26,7.34
LONGERENONG,13/07/2019,1.0,3.0, ,10.8,3.6,82,82,5.40,9.22
LONGERENONG,14/07/2019,1.1,0.2, ,13.0,1.1,82,82,7.02,7.43
LONGERENONG,15/07/2019,1.2,0.6, ,13.6,7.6,82,82,5.51,8.85
LONGERENONG,16/07/2019,1.3,0.0, ,14.6,8.9,82,82,5.24,8.38
LONGERENONG,17/07/2019,1.2,1.0, ,13.9,5.9,82,82,5.04,6.83
LONGERENONG,18/07/2019,1.0,1.8, ,13.0,2.5,82,82,3.61,8.85
LONGERENONG,19/07/2019,1.0,0.0, ,13.1,6.5,82,82,2.42,8.89
LONGERENONG,20/07/2019,1.2,0.0, ,15.7,4.3,82,82,4.35,10.96
LONGERENONG,21/07/2019,1.2,0.0, ,15.0,6.9,82,82,4.37,10.51
LONGERENONG,22/07/2019,1.4,0.0, ,16.9,3.7,82,82,6.10,11.12
LONGERENONG,23/07/2019,1.6,0.0, ,13.7,7.0,97,65,7.19,7.81
LONGERENONG,24/07/2019,1.2,2.8, ,14.5,2.6,100,71,3.45,9.85
LONGERENONG,25/07/2019,1.3,0.0, ,14.9,7.0,100,61,3.08,7.14
LONGERENONG,26/07/2019,0.7,0.0, ,13.0,7.1,100,87,1.21,6.60
LONGERENONG,27/07/2019,0.8,2.4, ,12.4,5.5,100,69,1.04,6.83
LONGERENONG,28/07/2019,1.0,0.6, ,12.7,0.1,100,62,1.48,9.60
LONGERENONG,29/07/2019,1.2,0.6, ,14.0,3.3,100,66,2.47,10.39
LONGERENONG,30/07/2019,0.9,0.2, ,11.4,3.3,100,65,1.68,6.90
LONGERENONG,31/07/2019,1.1,0.0, ,11.0,3.4,93,65,2.63,8.79
Totals:,,33.7,39.4, ,,,,,, 
