'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for LONGERENONG Victoria for July 2020,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 August 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
LONGERENONG,01/07/2020,1.0,0.2, ,18.5,-0.4,85,85,4.49,9.69
LONGERENONG,02/07/2020,0.9,4.0, ,12.6,4.0,85,85,5.08,8.50
LONGERENONG,03/07/2020,0.9,0.6, ,12.0,2.0,85,85,4.77,7.52
LONGERENONG,04/07/2020,0.8,0.4, ,14.2,1.4,85,85,3.20,8.14
LONGERENONG,05/07/2020,0.9,0.2, ,12.4,6.5,85,85,3.46,6.65
LONGERENONG,06/07/2020,0.7,0.0, ,12.5,3.6,85,85,2.33,5.24
LONGERENONG,07/07/2020, ,0.0, , ,8.5,100,85,2.19,9.31
LONGERENONG,08/07/2020,0.7,0.0, ,9.5,4.2,85,85,2.02,6.05
LONGERENONG,09/07/2020,0.8,0.0, ,12.7,4.8,85,85,2.21,8.46
LONGERENONG,10/07/2020,0.9,0.2, ,15.5,3.3,85,85,2.27,9.22
LONGERENONG,11/07/2020,0.7,0.4, ,11.4,5.6,85,85,1.80,5.41
LONGERENONG,12/07/2020,1.0,5.2, ,14.1,4.8,85,85,3.86,9.95
LONGERENONG,13/07/2020,1.0,0.0, ,15.0,3.5,85,85,4.11,10.46
LONGERENONG,14/07/2020,1.0,0.0, ,14.7,2.2,85,85,4.08,10.58
LONGERENONG,15/07/2020,0.7,0.2, ,14.0,-1.5,85,85,1.17,10.65
LONGERENONG,16/07/2020,0.8,0.0, ,14.4,-1.5,85,85,1.83,10.72
LONGERENONG,17/07/2020,0.9,0.0, ,14.4,1.7,85,85,2.16,10.80
LONGERENONG,18/07/2020,0.9,0.2, ,12.6,0.5,85,85,3.75,6.25
LONGERENONG,19/07/2020,1.1,0.0, ,14.3,1.7,85,85,6.22,8.36
LONGERENONG,20/07/2020,0.9,1.2, ,14.2,-0.1,85,85,2.81,10.20
LONGERENONG,21/07/2020,0.8,0.0, ,10.9,2.4,85,85,2.51,6.33
LONGERENONG,22/07/2020,0.9,0.0, ,12.5,4.2,85,85,2.15,8.55
LONGERENONG,23/07/2020,0.8,0.0, ,13.0,4.6,85,85,1.31,10.15
LONGERENONG,24/07/2020,1.0,0.0, ,14.1,-0.5,85,85,3.04,11.39
LONGERENONG,25/07/2020,1.0,0.0, ,15.9,2.4,85,85,2.56,11.08
LONGERENONG,26/07/2020,0.9,0.0, ,16.2,-1.5,100,85,2.29,11.42
LONGERENONG,27/07/2020,1.0,0.0, ,16.0,2.7,100,85,4.99,10.79
LONGERENONG,28/07/2020,1.3,0.0, ,16.6,3.1,91,75,3.28,11.16
LONGERENONG,29/07/2020,1.1,0.0, ,14.3,-0.5,100,68,2.23,10.44
LONGERENONG,30/07/2020,1.2,0.2, ,14.9,3.0,100,55,1.62,11.73
LONGERENONG,31/07/2020,1.4,0.0, ,15.8,-1.9,100,52,2.06,12.05
Totals:,,28,13, ,,,,,, 
