'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MALLACOOTA Victoria for March 2017,,,,,,,,,,
Issued at 06:30 GMT on Saturday 01 April 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MALLACOOTA,01/03/2017,5.0,0.0, ,27.8,17.0,90,54,4.33,23.44
MALLACOOTA,02/03/2017,2.8,0.0, ,24.3,19.2,92,76,2.41,13.75
MALLACOOTA,03/03/2017,1.9,26.4, ,22.5,19.3,94,74,4.98,4.28
MALLACOOTA,04/03/2017,1.9,1.8, ,22.2,18.6,92,80,4.59,6.84
MALLACOOTA,05/03/2017,3.1,3.0, ,23.4,18.9,93,66,4.04,13.60
MALLACOOTA,06/03/2017,4.2,0.0, ,22.8,18.4,89,53,6.32,17.05
MALLACOOTA,07/03/2017,2.9,1.2, ,21.8,16.6,89,56,3.97,9.88
MALLACOOTA,08/03/2017,3.7,1.0, ,21.7,16.0,74,56,4.39,15.25
MALLACOOTA,09/03/2017,3.5,0.0, ,22.5,11.2,89,57,3.49,19.00
MALLACOOTA,10/03/2017,3.5,0.0, ,22.5,11.4,93,60,2.38,21.13
MALLACOOTA,11/03/2017,3.5,0.0, ,21.7,12.4,91,65,3.96,20.81
MALLACOOTA,12/03/2017,3.8,0.0, ,27.1,18.2,82,53,4.76,10.06
MALLACOOTA,13/03/2017,3.2,0.2, ,26.0,16.9,91,51,2.42,13.42
MALLACOOTA,14/03/2017,4.0,0.0, ,26.4,15.8,93,58,3.37,20.10
MALLACOOTA,15/03/2017,5.5,0.0, ,28.2,18.9,87,47,6.59,20.06
MALLACOOTA,16/03/2017,3.4,0.0, ,27.4,20.4,88,60,4.93,9.16
MALLACOOTA,17/03/2017,3.3,1.2, ,22.2,17.2,80,51,3.98,11.35
MALLACOOTA,18/03/2017,2.0,0.0, ,21.8,15.2,92,66,2.76,7.03
MALLACOOTA,19/03/2017,4.1,0.0, ,27.9,17.4,93,58,4.53,17.40
MALLACOOTA,20/03/2017,3.1,0.0, ,23.8,18.1,93,57,2.47,15.73
MALLACOOTA,21/03/2017,2.0,0.0, ,23.4,18.2,93,77,1.70,10.09
MALLACOOTA,22/03/2017,2.0,0.0, ,24.6,18.7,94,72,4.35,5.14
MALLACOOTA,23/03/2017,1.3,11.8, ,18.5,16.3,94,86,2.76,5.49
MALLACOOTA,24/03/2017,2.5,13.0, ,21.5,15.9,94,69,2.55,13.60
MALLACOOTA,25/03/2017,2.7,0.0, ,25.3,15.6,91,58,2.97,9.55
MALLACOOTA,26/03/2017,3.2,0.0, ,23.7,16.6,93,65,2.52,18.70
MALLACOOTA,27/03/2017,5.3,0.0, ,32.2,17.7,90,43,4.80,17.90
MALLACOOTA,28/03/2017,2.8,4.2, ,20.2,11.2,92,52,2.68,16.02
MALLACOOTA,29/03/2017,3.5,0.0, ,25.8,11.4,92,53,3.12,17.27
MALLACOOTA,30/03/2017,2.3,0.0, ,17.4,13.4,85,59,4.74,6.89
MALLACOOTA,31/03/2017,3.1,0.2, ,19.2,12.0,80,54,4.21,15.59
Totals:,,99.1,64, ,,,,,, 
