'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MALLACOOTA Victoria for July 2017,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 August 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MALLACOOTA,01/07/2017,1.3,3.0, ,14.0,6.2,92,56,3.16,8.61
MALLACOOTA,02/07/2017,1.4,0.0, ,15.4,2.4,91,49,3.06,9.38
MALLACOOTA,03/07/2017,1.9,0.0, ,17.5,4.9,83,42,3.26,9.25
MALLACOOTA,04/07/2017,2.0,0.0, ,19.5,6.7,84,42,3.21,9.35
MALLACOOTA,05/07/2017,1.3,0.0, ,14.3,7.6,87,61,3.39,5.47
MALLACOOTA,06/07/2017,1.7,0.2, ,14.9,6.4,87,37,3.24,9.61
MALLACOOTA,07/07/2017,1.7,0.0, ,15.2,1.9,87,38,2.92,9.64
MALLACOOTA,08/07/2017,1.6,0.0, ,15.4,2.2,88,42,3.03,9.70
MALLACOOTA,09/07/2017,1.7,0.0, ,15.8,3.2,88,43,3.13,9.24
MALLACOOTA,10/07/2017,1.6,0.0, ,15.7,0.8,87,43,2.99,9.81
MALLACOOTA,11/07/2017,1.1,0.0, ,13.9,6.0,92,67,3.16,6.81
MALLACOOTA,12/07/2017,1.2,5.2, ,14.1,5.0,92,61,2.84,9.50
MALLACOOTA,13/07/2017,1.6,0.2, ,15.7,2.1,92,47,3.21,9.69
MALLACOOTA,14/07/2017,1.7,0.0, ,17.5,6.2,89,46,2.81,8.56
MALLACOOTA,15/07/2017,1.5,0.0, ,13.7,5.9,91,47,3.05,10.10
MALLACOOTA,16/07/2017,1.7,0.0, ,14.2,1.7,90,43,3.31,9.97
MALLACOOTA,17/07/2017,1.7,0.0, ,15.7,3.8,85,44,3.00,8.11
MALLACOOTA,18/07/2017,1.9,0.2, ,18.2,5.6,85,38,2.83,9.06
MALLACOOTA,19/07/2017,1.4,0.0, ,13.1,1.7,89,61,4.35,5.67
MALLACOOTA,20/07/2017,1.6,7.2, ,10.3,8.7,90,57,6.03,6.40
MALLACOOTA,21/07/2017,1.3,18.8, ,12.8,6.6,92,64,3.81,7.87
MALLACOOTA,22/07/2017,1.7,0.2, ,14.9,1.9,92,46,3.24,10.40
MALLACOOTA,23/07/2017,2.4,0.0, ,19.3,6.2,76,35,3.21,10.14
MALLACOOTA,24/07/2017,1.6,0.0, ,15.3,8.5,88,55,3.23,8.55
MALLACOOTA,25/07/2017,2.5,0.0, ,21.2,5.6,89,34,3.38,10.80
MALLACOOTA,26/07/2017,2.4,0.0, ,16.8,5.3,86,40,4.76,9.72
MALLACOOTA,27/07/2017,1.9,0.2, ,15.5,6.4,83,44,3.38,11.02
MALLACOOTA,28/07/2017,1.7,2.6, ,14.4,6.7,90,56,4.18,9.66
MALLACOOTA,29/07/2017,2.5,0.0, ,19.0,5.3,81,35,3.49,11.30
MALLACOOTA,30/07/2017,2.9,0.0, ,21.9,8.4,81,32,3.56,11.38
MALLACOOTA,31/07/2017,0.8,0.0, ,11.0,8.1,93,81,2.60,3.32
Totals:,,53.3,37.8, ,,,,,, 
