'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MALLACOOTA Victoria for January 2019,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 February 2019,,,,,,,,,,
© Copyright Commonwealth of Australia 2019 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MALLACOOTA,01/01/2019,4.9,0.6, ,22.1,16.2,93,73,2.58,30.53
MALLACOOTA,02/01/2019,3.1,0.0, ,22.3,15.7,92,74,3.04,16.29
MALLACOOTA,03/01/2019,4.1,0.0, ,27.8,18.5,86,73,3.46,19.21
MALLACOOTA,04/01/2019,8.8,0.0, ,38.7,19.5,88,32,3.97,30.64
MALLACOOTA,05/01/2019,2.2,0.0, ,20.5,18.0,93,62,3.83,5.93
MALLACOOTA,06/01/2019,5.3,8.4, ,22.9,12.8,92,46,3.98,29.30
MALLACOOTA,07/01/2019,5.4,0.0, ,24.6,12.0,91,58,4.39,30.90
MALLACOOTA,08/01/2019,4.1,0.0, ,27.1,18.7,92,64,3.42,18.09
MALLACOOTA,09/01/2019,2.4,10.2, ,20.5,16.4,91,64,3.54,8.01
MALLACOOTA,10/01/2019,3.1,0.0, ,21.3,15.2,79,59,2.69,12.82
MALLACOOTA,11/01/2019,2.5,0.6, ,25.4,17.1,93,74,4.13,8.95
MALLACOOTA,12/01/2019,6.4,2.6, ,29.0,17.6,91,34,3.02,29.27
MALLACOOTA,13/01/2019,5.1,0.0, ,23.8,17.2,83,65,4.59,27.69
MALLACOOTA,14/01/2019,6.8,0.0, ,30.5,19.4,91,52,5.90,29.26
MALLACOOTA,15/01/2019,6.4,0.0, ,30.9,22.5,85,60,3.80,29.18
MALLACOOTA,16/01/2019,5.3,0.0, ,27.7,18.8,92,65,2.71,27.78
MALLACOOTA,17/01/2019,2.8,0.0, ,29.8,18.7,87,60,2.47,7.83
MALLACOOTA,18/01/2019,3.0,0.0, ,28.1,21.8,90,56,2.64,8.92
MALLACOOTA,19/01/2019,4.5,1.2, ,23.2,18.1,85,56,4.49,20.71
MALLACOOTA,20/01/2019,4.8,0.0, ,21.6,12.0,91,63,3.37,30.57
MALLACOOTA,21/01/2019,5.8,0.0, ,29.1,13.8,93,57,3.08,30.39
MALLACOOTA,22/01/2019,4.4,0.0, ,22.7,19.0,93,86,2.49,26.81
MALLACOOTA,23/01/2019,4.3,0.0, ,24.5,16.9,93,60,3.87,21.09
MALLACOOTA,24/01/2019,3.6,0.0, ,25.6,19.4,83,62,4.30,11.99
MALLACOOTA,25/01/2019,8.0,0.0, ,35.8,20.4,78,40,4.72,28.20
MALLACOOTA,26/01/2019,4.1,0.0, ,23.2,20.2,86,53,3.15,18.15
MALLACOOTA,27/01/2019,1.1,0.4, ,19.7,18.3,91,79,2.48,1.53
MALLACOOTA,28/01/2019,2.3,2.0, ,25.4,16.9,87,70,2.67,7.10
MALLACOOTA,29/01/2019,4.7,0.0, ,27.9,19.4,88,51,2.94,20.44
MALLACOOTA,30/01/2019,2.8,0.0, ,29.1,21.8,93,65,4.14,6.68
MALLACOOTA,31/01/2019,3.5,19.2, ,22.2,20.3,93,54,5.13,12.51
Totals:,,135.6,45.2, ,,,,,, 
