'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MALLACOOTA Victoria for March 2019,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 April 2019,,,,,,,,,,
© Copyright Commonwealth of Australia 2019 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MALLACOOTA,01/03/2019,6.7,0.0, ,30.9,20.1,80,35,5.15,23.89
MALLACOOTA,02/03/2019,6.4,0.0, ,29.7,20.6,80,49,6.73,23.77
MALLACOOTA,03/03/2019,6.5,0.0, ,32.8,20.7,80,34,4.34,22.30
MALLACOOTA,04/03/2019,3.9,0.0, ,24.6,20.8,87,64,2.58,20.10
MALLACOOTA,05/03/2019,2.6,0.2, ,26.6,19.4,91,63,3.30,7.91
MALLACOOTA,06/03/2019,2.8,2.0, ,18.1,15.9,90,54,4.54,10.67
MALLACOOTA,07/03/2019,3.9,0.0, ,19.1,10.9,69,50,4.38,19.29
MALLACOOTA,08/03/2019,3.4,0.0, ,23.6,13.9,74,50,2.75,13.73
MALLACOOTA,09/03/2019,3.2,0.6, ,22.6,14.5,91,61,2.70,17.45
MALLACOOTA,10/03/2019,4.2,0.0, ,28.0,14.0,91,46,3.15,17.91
MALLACOOTA,11/03/2019,2.9,0.0, ,22.3,13.0,89,66,2.19,16.50
MALLACOOTA,12/03/2019,3.9,0.0, ,24.2,16.0,90,45,4.36,14.62
MALLACOOTA,13/03/2019,2.2,0.0, ,18.7,13.9,77,54,2.37,7.17
MALLACOOTA,14/03/2019,1.4,0.6, ,19.2,14.9,91,72,3.30,2.43
MALLACOOTA,15/03/2019,3.4,0.4, ,21.8,12.8,89,52,3.58,16.69
MALLACOOTA,16/03/2019,2.1,13.6, ,21.9,15.3,93,74,3.67,8.58
MALLACOOTA,17/03/2019,2.8,2.0, ,23.2,17.0,93,74,2.93,15.16
MALLACOOTA,18/03/2019,1.2,20.4, ,21.2,19.4,95,93,5.10,4.74
MALLACOOTA,19/03/2019,2.3,6.4, ,23.3,17.7,96,89,1.91,13.97
MALLACOOTA,20/03/2019,2.6,1.0, ,23.3,19.1,95,81,2.68,14.75
MALLACOOTA,21/03/2019,2.3,4.2, ,22.8,18.3,94,80,2.29,12.80
MALLACOOTA,22/03/2019,1.5,2.2, ,21.8,18.2,95,84,3.29,5.76
MALLACOOTA,23/03/2019,2.8,0.8, ,26.3,18.1,93,62,2.71,11.81
MALLACOOTA,24/03/2019,2.4,0.2, ,23.7,17.7,88,74,2.77,11.53
MALLACOOTA,25/03/2019,3.6,0.0, ,25.6,17.8,78,52,4.28,10.07
MALLACOOTA,26/03/2019,3.7,0.0, ,20.2,7.0,88,37,4.55,17.29
MALLACOOTA,27/03/2019,3.2,0.0, ,19.9,11.4,82,50,3.23,18.12
MALLACOOTA,28/03/2019,3.6,0.0, ,24.9,13.0,84,47,3.01,17.09
MALLACOOTA,29/03/2019,3.2,0.0, ,26.4,17.4,91,55,3.82,10.71
MALLACOOTA,30/03/2019,1.5,11.8, ,14.5,13.4,92,65,5.05,1.89
MALLACOOTA,31/03/2019,3.5,21.4, ,19.8,10.0,72,54,6.09,13.14
Totals:,,99.7,87.8, ,,,,,, 
