'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MALLACOOTA Victoria for April 2019,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 May 2019,,,,,,,,,,
© Copyright Commonwealth of Australia 2019 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MALLACOOTA,01/04/2019,3.0,1.8, ,19.8,13.1,84,49,3.40,15.28
MALLACOOTA,02/04/2019,3.3,0.0, ,22.9,9.9,89,54,3.88,17.38
MALLACOOTA,03/04/2019,3.8,0.0, ,26.6,14.7,85,38,3.33,14.51
MALLACOOTA,04/04/2019,1.7,1.2, ,18.5,15.2,92,66,3.98,3.90
MALLACOOTA,05/04/2019,3.7,9.6, ,23.2,15.5,83,51,5.00,15.60
MALLACOOTA,06/04/2019,2.9,0.2, ,22.6,16.4,83,57,3.72,11.30
MALLACOOTA,07/04/2019,2.9,0.0, ,23.2,13.3,90,61,2.98,16.47
MALLACOOTA,08/04/2019,2.4,0.0, ,21.0,11.6,92,60,2.76,13.60
MALLACOOTA,09/04/2019,1.7,1.0, ,15.3,12.7,92,66,3.97,7.46
MALLACOOTA,10/04/2019,2.1,6.6, ,16.7,9.3,87,61,3.72,9.59
MALLACOOTA,11/04/2019,2.3,0.0, ,18.1,12.3,88,52,2.96,11.54
MALLACOOTA,12/04/2019,2.5,0.0, ,20.5,6.8,92,60,3.18,15.56
MALLACOOTA,13/04/2019,2.3,0.2, ,19.9,10.2,90,51,2.73,11.16
MALLACOOTA,14/04/2019,2.2,0.0, ,19.9,13.2,90,70,3.33,14.17
MALLACOOTA,15/04/2019,2.1,3.0, ,21.5,13.5,93,67,2.85,11.42
MALLACOOTA,16/04/2019,3.6,0.0, ,24.9,15.0,85,43,4.03,14.21
MALLACOOTA,17/04/2019, ,0.0, , ,17.0,81,46,4.85,14.71
MALLACOOTA,18/04/2019, , , , , ,85,60,3.34,5.21
MALLACOOTA,19/04/2019,1.8, , ,21.3,14.1,90,69,2.65,8.49
MALLACOOTA,20/04/2019,2.3,0.0, ,22.6,14.9,93,72,3.33,14.09
MALLACOOTA,21/04/2019,3.1,0.0, ,26.4,18.3,90,53,3.78,12.70
MALLACOOTA,22/04/2019,1.6,0.0, ,19.5,17.2,92,71,2.72,6.39
MALLACOOTA,23/04/2019,1.8,0.4, ,21.0,14.6,92,72,2.41,10.77
MALLACOOTA,24/04/2019,1.7,0.0, ,21.5,13.1,94,74,2.44,10.74
MALLACOOTA,25/04/2019,1.8,2.0, ,20.6,15.0,93,61,2.12,8.82
MALLACOOTA,26/04/2019,2.7,0.0, ,20.4,10.2,93,46,4.37,10.44
MALLACOOTA,27/04/2019,2.6,1.8, ,17.3,9.1,77,45,3.87,12.08
MALLACOOTA,28/04/2019,3.0,0.0, ,18.9,9.6,75,49,5.44,12.15
MALLACOOTA,29/04/2019,2.2,0.0, ,18.9,12.6,90,57,3.44,12.41
MALLACOOTA,30/04/2019,2.7,0.0, ,23.3,10.6,89,51,3.68,12.61
Totals:,,69.8,27.8, ,,,,,, 
