'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MALLACOOTA Victoria for January 2022,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 February 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MALLACOOTA,01/01/2022,7.4,0.0, ,30.2,18.3,82,42,4.96,31.80
MALLACOOTA,02/01/2022,5.0,0.0, ,29.0,19.1,90,59,3.49,22.02
MALLACOOTA,03/01/2022,3.1,1.8, ,21.1,17.8,88,74,3.12,15.74
MALLACOOTA,04/01/2022,4.3,0.0, ,23.0,17.3,89,65,3.23,22.94
MALLACOOTA,05/01/2022,2.2,0.4, ,21.9,18.9,94,81,4.66,8.88
MALLACOOTA,06/01/2022,1.3,14.0, ,22.8,19.1,95,90,5.79,4.14
MALLACOOTA,07/01/2022,2.7,27.6, ,25.4,18.4,94,71,5.30,8.17
MALLACOOTA,08/01/2022,3.8,12.8, ,23.1,17.7,93,70,3.82,19.36
MALLACOOTA,09/01/2022,2.1,0.2, ,24.3,15.8,93,84,3.58,8.98
MALLACOOTA,10/01/2022,5.7,0.0, ,26.8,18.0,96,65,3.61,31.26
MALLACOOTA,11/01/2022,1.2,0.2, ,20.9,17.1,96,88,2.58,3.93
MALLACOOTA,12/01/2022,1.3,10.6, ,19.9,18.2,95,87,4.96,3.47
MALLACOOTA,13/01/2022,3.1,0.4, ,22.2,18.3,93,77,5.16,15.93
MALLACOOTA,14/01/2022,4.4,0.2, ,26.7,17.6,91,61,4.10,19.68
MALLACOOTA,15/01/2022,4.2,11.6, ,26.0,18.2,94,65,3.13,20.21
MALLACOOTA,16/01/2022,3.2,0.2, ,25.0,17.0,87,76,2.72,15.21
MALLACOOTA,17/01/2022,3.8,0.0, ,29.2,18.4,88,59,3.23,13.33
MALLACOOTA,18/01/2022,3.3,0.2, ,20.4,16.8,80,63,3.87,13.46
MALLACOOTA,19/01/2022,4.2,2.2, ,21.3,14.5,92,59,4.61,22.41
MALLACOOTA,20/01/2022,4.8,0.0, ,20.9,17.4,86,56,4.25,25.97
MALLACOOTA,21/01/2022,4.3,0.0, ,21.3,12.9,92,65,4.47,26.52
MALLACOOTA,22/01/2022,4.7,0.0, ,21.2,13.9,91,67,4.36,30.26
MALLACOOTA,23/01/2022,4.0,0.0, ,21.8,14.8,91,70,4.18,23.08
MALLACOOTA,24/01/2022,5.3,0.0, ,24.3,18.2,81,64,4.53,28.49
MALLACOOTA,25/01/2022,5.7,0.0, ,25.8,18.6,85,57,4.22,28.77
MALLACOOTA,26/01/2022,5.1,0.0, ,23.7,18.2,86,63,5.04,27.71
MALLACOOTA,27/01/2022,6.9,0.0, ,27.8,20.6,73,45,6.73,25.52
MALLACOOTA,28/01/2022,6.0,0.0, ,30.4,21.7,82,53,4.25,24.27
MALLACOOTA,29/01/2022,1.5,0.0, ,23.3,18.3,92,80,2.44,4.54
MALLACOOTA,30/01/2022,1.8,0.8, ,21.8,18.5,96,91,2.20,8.83
MALLACOOTA,31/01/2022,3.4,0.2, ,24.4,17.3,96,70,2.65,17.59
Totals:,,119.8,83.4, ,,,,,, 
