'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MALLACOOTA Victoria for October 2022,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 November 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MALLACOOTA,01/10/2022,2.4,24.8, ,15.4,8.3,91,59,3.75,13.47
MALLACOOTA,02/10/2022,2.9,0.2, ,15.9,6.1,93,57,2.77,21.28
MALLACOOTA,03/10/2022,3.0,0.0, ,17.1,6.3,92,51,3.46,18.96
MALLACOOTA,04/10/2022,2.3,0.2, ,16.3,7.6,90,63,4.12,11.15
MALLACOOTA,05/10/2022,2.8,0.6, ,14.8,12.1,78,60,7.14,8.48
MALLACOOTA,06/10/2022,2.3,4.8, ,17.6,12.5,89,68,6.56,8.15
MALLACOOTA,07/10/2022,1.9,0.2, ,18.9,13.5,91,72,4.06,6.40
MALLACOOTA,08/10/2022,2.2,4.2, ,16.3,11.7,92,63,3.29,10.95
MALLACOOTA,09/10/2022,3.2,5.2, ,14.6,8.7,89,47,4.78,18.93
MALLACOOTA,10/10/2022,3.4,3.6, ,15.5,7.2,86,47,3.72,21.85
MALLACOOTA,11/10/2022,4.0,0.0, ,19.1,6.8,86,47,5.14,22.93
MALLACOOTA,12/10/2022,4.1,0.0, ,20.1,14.2,79,54,6.49,18.38
MALLACOOTA,13/10/2022,3.3,0.0, ,20.0,15.7,85,63,7.81,11.41
MALLACOOTA,14/10/2022,2.9,11.6, ,17.7,12.6,91,65,4.57,16.98
MALLACOOTA,15/10/2022,3.5,2.4, ,17.9,9.9,86,52,3.44,20.96
MALLACOOTA,16/10/2022,2.4,0.0, ,17.0,11.2,90,61,2.99,12.16
MALLACOOTA,17/10/2022,3.0,0.0, ,16.1,6.5,90,57,3.15,19.91
MALLACOOTA,18/10/2022,3.6,0.0, ,20.5,9.1,91,58,3.31,21.75
MALLACOOTA,19/10/2022,3.9,0.0, ,18.8,10.8,93,51,2.81,25.11
MALLACOOTA,20/10/2022,3.4,0.0, ,19.0,8.8,93,70,3.35,24.50
MALLACOOTA,21/10/2022,1.9,0.8, ,20.3,15.1,95,81,5.95,7.72
MALLACOOTA,22/10/2022,2.2,2.0, ,21.9,17.3,92,72,4.05,7.82
MALLACOOTA,23/10/2022,1.6,19.2, ,16.3,13.9,95,86,3.33,8.84
MALLACOOTA,24/10/2022,2.1,2.8, ,19.3,14.0,96,78,4.97,10.11
MALLACOOTA,25/10/2022,1.7,30.4, ,18.7,15.4,96,84,5.46,8.58
MALLACOOTA,26/10/2022,1.5,20.6, ,16.6,14.4,96,93,1.93,8.64
MALLACOOTA,27/10/2022,2.9,17.0, ,19.7,11.4,96,77,2.38,19.26
MALLACOOTA,28/10/2022,3.4,9.4, ,19.5,11.9,94,49,2.85,17.90
MALLACOOTA,29/10/2022,4.4,0.4, ,18.8,11.7,82,52,6.05,24.34
MALLACOOTA,30/10/2022, ,0.0, , ,10.0,85,54,4.86,25.47
MALLACOOTA,31/10/2022, , , ,28.2, ,94,40,3.90,14.29
Totals:,,82.2,160.4, ,,,,,, 
