'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MANGALORE AIRPORT Victoria for July 2018,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 August 2018,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MANGALORE AIRPORT,01/07/2018,0.7,0.2, ,12.5,-1.5,98,54,0.99,9.76
MANGALORE AIRPORT,02/07/2018,0.8,0.0, ,12.0,-2.3,98,59,1.77,9.79
MANGALORE AIRPORT,03/07/2018,0.9,0.2, ,12.9,-1.2,97,70,2.54,7.65
MANGALORE AIRPORT,04/07/2018,1.8,0.0, ,15.3,1.2,86,61,5.97,7.56
MANGALORE AIRPORT,05/07/2018,2.8,0.0, ,18.1,10.0,75,52,6.97,6.97
MANGALORE AIRPORT,06/07/2018,2.0,0.0, ,14.4,10.0,87,45,4.70,8.46
MANGALORE AIRPORT,07/07/2018,1.8,0.2, ,12.2,7.6,87,55,6.53,6.75
MANGALORE AIRPORT,08/07/2018,1.2,0.2, ,13.8,5.5,97,62,3.41,5.15
MANGALORE AIRPORT,09/07/2018,1.3,0.2, ,14.0,2.5,95,53,3.05,8.10
MANGALORE AIRPORT,10/07/2018,0.9,0.0, ,12.5,1.7,97,56,1.65,9.91
MANGALORE AIRPORT,11/07/2018,0.9,0.0, ,9.6,0.4,98,67,3.08,7.04
MANGALORE AIRPORT,12/07/2018,1.0,3.6, ,12.0,2.2,95,56,2.13,10.19
MANGALORE AIRPORT,13/07/2018,1.1,0.2, ,13.0,-0.3,97,52,2.29,8.61
MANGALORE AIRPORT,14/07/2018,1.0,0.0, ,12.4,-1.9,97,55,1.86,10.25
MANGALORE AIRPORT,15/07/2018,1.5,0.0, ,12.1,0.3,95,52,4.59,10.44
MANGALORE AIRPORT,16/07/2018,1.6,0.0, ,11.0,5.1,83,59,5.81,6.24
MANGALORE AIRPORT,17/07/2018,2.6,0.0, ,16.2,1.9,89,44,6.59,9.43
MANGALORE AIRPORT,18/07/2018,1.5,1.4, ,14.0,-0.1,98,57,4.11,9.39
MANGALORE AIRPORT,19/07/2018,2.2,0.0, ,16.3,4.5,90,49,5.29,9.60
MANGALORE AIRPORT,20/07/2018,1.2,2.4, ,11.9,1.8,97,53,2.88,7.84
MANGALORE AIRPORT,21/07/2018,0.9,0.0, ,11.5,-1.7,98,62,1.61,8.46
MANGALORE AIRPORT,22/07/2018,1.4,0.0, ,12.0,3.1,92,59,3.91,9.18
MANGALORE AIRPORT,23/07/2018,2.0,0.0, ,12.1,4.4,89,52,6.90,7.01
MANGALORE AIRPORT,24/07/2018,1.7,4.4, ,15.9,4.1,97,57,4.86,8.08
MANGALORE AIRPORT,25/07/2018,1.1,0.8, ,13.5,3.7,99,58,1.85,8.93
MANGALORE AIRPORT,26/07/2018,0.9,0.0, ,12.9,1.4,99,71,1.42,8.30
MANGALORE AIRPORT,27/07/2018,1.1,0.4, ,14.3,1.7,99,61,1.70,10.28
MANGALORE AIRPORT,28/07/2018,1.7,0.0, ,17.3,4.8,97,57,3.55,9.56
MANGALORE AIRPORT,29/07/2018,1.9,2.2, ,13.0,9.2,91,51,5.35,8.87
MANGALORE AIRPORT,30/07/2018,1.0,0.4, ,9.9,0.6,98,67,3.38,6.25
MANGALORE AIRPORT,31/07/2018,1.8,0.0, ,14.3,4.5,86,60,4.87,9.00
Totals:,,44.3,16.8, ,,,,,, 
