'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MANGALORE AIRPORT Victoria for July 2021,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 August 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MANGALORE AIRPORT,01/07/2021,1.2,0.2, ,16.0,7.0,97,64,3.14,7.87
MANGALORE AIRPORT,02/07/2021,0.6,0.0, ,11.7,6.7,100,89,5.03,3.64
MANGALORE AIRPORT,03/07/2021,0.7,3.0, ,8.6,5.0,96,80,3.95,4.98
MANGALORE AIRPORT,04/07/2021,0.5,2.2, ,9.5,2.0,99,88,3.39,5.72
MANGALORE AIRPORT,05/07/2021,0.4,1.4, ,8.1,0.4,100,97,1.78,6.56
MANGALORE AIRPORT,06/07/2021,0.7,0.0, ,9.4,2.1,99,61,1.30,5.71
MANGALORE AIRPORT,07/07/2021,0.6,0.0, ,10.0,5.1,93,54,0.52,6.86
MANGALORE AIRPORT,08/07/2021,0.7,0.0, ,10.6,0.8,98,68,1.34,7.79
MANGALORE AIRPORT,09/07/2021,1.1,0.0, ,13.2,1.4,99,56,2.72,9.56
MANGALORE AIRPORT,10/07/2021,1.2,0.2, ,14.6,2.5,97,61,3.16,10.17
MANGALORE AIRPORT,11/07/2021,1.0,0.2, ,13.3,1.6,100,64,2.55,9.39
MANGALORE AIRPORT,12/07/2021,1.4,0.0, ,13.6,2.3,94,66,5.16,8.33
MANGALORE AIRPORT,13/07/2021,0.9,0.2, ,12.9,7.2,91,80,3.84,5.61
MANGALORE AIRPORT,14/07/2021,0.8,5.2, ,10.7,7.3,100,80,5.46,3.74
MANGALORE AIRPORT,15/07/2021,1.1,9.0, ,14.8,7.3,100,75,4.58,5.60
MANGALORE AIRPORT,16/07/2021,0.8,3.4, ,11.7,7.2,99,83,5.22,6.06
MANGALORE AIRPORT,17/07/2021,1.0,5.0, ,11.4,5.6,96,75,4.39,5.48
MANGALORE AIRPORT,18/07/2021,1.1,0.4, ,13.6,4.2,98,57,2.10,8.46
MANGALORE AIRPORT,19/07/2021,0.8,0.2, ,11.1,7.3,96,81,3.13,6.85
MANGALORE AIRPORT,20/07/2021,0.9,1.4, ,10.1,7.7,97,75,5.14,4.74
MANGALORE AIRPORT,21/07/2021,0.9,5.0, ,12.2,2.5,97,69,2.11,9.44
MANGALORE AIRPORT,22/07/2021,0.8,1.6, ,9.9,0.4,99,79,3.38,6.78
MANGALORE AIRPORT,23/07/2021,0.7,1.2, ,8.8,4.8,97,81,3.24,5.42
MANGALORE AIRPORT,24/07/2021,0.8,0.8, ,10.3,6.2,99,81,4.54,6.64
MANGALORE AIRPORT,25/07/2021,1.0,7.4, ,10.2,3.8,99,70,4.19,6.59
MANGALORE AIRPORT,26/07/2021,1.0,2.0, ,13.7,4.8,100,78,3.99,6.13
MANGALORE AIRPORT,27/07/2021,2.4,1.0, ,16.5,5.7,92,49,6.49,11.32
MANGALORE AIRPORT,28/07/2021,2.1,0.8, ,15.4,8.7,96,48,5.80,7.01
MANGALORE AIRPORT,29/07/2021,1.1,1.6, ,12.8,-0.8,98,69,2.80,10.52
MANGALORE AIRPORT,30/07/2021,1.8,0.0, ,12.7,4.1,93,57,6.67,9.39
MANGALORE AIRPORT,31/07/2021,2.1,0.8, ,15.6,7.6,93,58,6.42,11.39
Totals:,,32.2,54.2, ,,,,,, 
