'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MELBOURNE (OLYMPIC PARK) Victoria for January 2018,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 February 2018,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MELBOURNE (OLYMPIC PARK),01/01/2018,6.1,0.0, ,25.3,16.6,82,40,2.66,31.44
MELBOURNE (OLYMPIC PARK),02/01/2018,5.5,0.0, ,21.8,16.4,78,45,3.30,29.68
MELBOURNE (OLYMPIC PARK),03/01/2018,5.0,0.0, ,21.0,14.6,84,45,3.13,27.16
MELBOURNE (OLYMPIC PARK),04/01/2018,5.6,0.2, ,23.6,14.1,80,46,2.25,31.84
MELBOURNE (OLYMPIC PARK),05/01/2018,6.2,0.0, ,30.7,14.7,89,36,1.50,31.68
MELBOURNE (OLYMPIC PARK),06/01/2018,10.7,0.0, ,41.7,18.8,89,11,4.28,31.46
MELBOURNE (OLYMPIC PARK),07/01/2018,3.1,0.0, ,21.8,18.7,78,58,2.65,11.04
MELBOURNE (OLYMPIC PARK),08/01/2018,3.8,0.0, ,21.9,17.3,77,59,2.43,17.50
MELBOURNE (OLYMPIC PARK),09/01/2018,5.5,0.0, ,22.5,15.7,78,46,3.05,30.05
MELBOURNE (OLYMPIC PARK),10/01/2018,4.7,0.0, ,25.6,13.6,84,41,1.93,23.53
MELBOURNE (OLYMPIC PARK),11/01/2018,6.7,0.0, ,34.5,15.5,98,21,2.10,28.63
MELBOURNE (OLYMPIC PARK),12/01/2018,2.1,1.0, ,30.0,20.4,91,40,1.75,1.71
MELBOURNE (OLYMPIC PARK),13/01/2018,3.1,7.0, ,20.9,16.0,90,43,2.81,10.74
MELBOURNE (OLYMPIC PARK),14/01/2018,4.9,15.0, ,19.5,12.7,78,45,3.72,27.52
MELBOURNE (OLYMPIC PARK),15/01/2018,3.9,0.0, ,20.9,14.6,91,59,3.23,21.08
MELBOURNE (OLYMPIC PARK),16/01/2018,5.9,0.0, ,26.9,12.9,97,33,2.29,31.08
MELBOURNE (OLYMPIC PARK),17/01/2018,6.0,0.0, ,30.3,12.4,90,32,1.55,30.91
MELBOURNE (OLYMPIC PARK),18/01/2018,8.9,0.0, ,40.0,16.6,97,10,2.97,30.84
MELBOURNE (OLYMPIC PARK),19/01/2018,9.2,0.0, ,40.3,22.5,88,11,3.32,30.63
MELBOURNE (OLYMPIC PARK),20/01/2018,4.0,0.0, ,24.6,20.3,91,71,2.43,20.17
MELBOURNE (OLYMPIC PARK),21/01/2018,3.8,0.0, ,28.2,21.0,94,54,2.52,14.92
MELBOURNE (OLYMPIC PARK),22/01/2018,5.0,0.0, ,23.9,20.5,90,65,2.71,27.31
MELBOURNE (OLYMPIC PARK),23/01/2018,5.4,0.0, ,23.6,18.0,75,53,2.97,28.29
MELBOURNE (OLYMPIC PARK),24/01/2018,4.8,0.0, ,23.3,14.8,92,58,2.46,27.48
MELBOURNE (OLYMPIC PARK),25/01/2018,5.2,0.0, ,26.6,17.1,87,63,2.28,28.06
MELBOURNE (OLYMPIC PARK),26/01/2018,4.2,0.0, ,28.4,19.4,99,59,2.12,19.90
MELBOURNE (OLYMPIC PARK),27/01/2018,5.9,3.4, ,33.2,21.2,100,45,1.65,27.45
MELBOURNE (OLYMPIC PARK),28/01/2018,7.9,0.0, ,38.1,22.7,91,29,3.25,28.54
MELBOURNE (OLYMPIC PARK),29/01/2018,4.0,0.0, ,33.5,27.8,100,41,4.24,7.31
MELBOURNE (OLYMPIC PARK),30/01/2018,3.5,38.8, ,21.0,15.6,100,43,3.90,14.09
MELBOURNE (OLYMPIC PARK),31/01/2018,4.5,0.0, ,19.1,14.6,71,43,4.40,19.65
Totals:,,165.1,65.4, ,,,,,, 
