'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MELBOURNE (OLYMPIC PARK) Victoria for April 2019,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 May 2019,,,,,,,,,,
© Copyright Commonwealth of Australia 2019 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MELBOURNE (OLYMPIC PARK),01/04/2019,1.7,0.2, ,17.1,13.0,82,52,1.39,6.62
MELBOURNE (OLYMPIC PARK),02/04/2019,3.7,0.0, ,25.9,7.4,92,29,2.59,16.57
MELBOURNE (OLYMPIC PARK),03/04/2019,3.1,0.0, ,24.7,9.4,87,40,2.93,10.92
MELBOURNE (OLYMPIC PARK),04/04/2019,2.2,0.0, ,21.9,13.3,97,54,1.16,13.85
MELBOURNE (OLYMPIC PARK),05/04/2019,4.8,0.0, ,28.5,14.4,99,32,4.98,15.25
MELBOURNE (OLYMPIC PARK),06/04/2019,3.0,0.0, ,20.1,16.5,78,37,2.73,12.45
MELBOURNE (OLYMPIC PARK),07/04/2019,3.9,0.0, ,26.5,9.5,96,29,3.20,15.94
MELBOURNE (OLYMPIC PARK),08/04/2019,2.9,0.0, ,23.1,12.5,85,37,2.87,9.02
MELBOURNE (OLYMPIC PARK),09/04/2019,2.5,1.6, ,16.3,11.1,87,47,3.07,13.94
MELBOURNE (OLYMPIC PARK),10/04/2019,1.7,1.4, ,15.8,10.7,86,48,2.17,4.82
MELBOURNE (OLYMPIC PARK),11/04/2019,2.2,0.0, ,17.3,11.3,87,49,1.86,14.37
MELBOURNE (OLYMPIC PARK),12/04/2019,2.8,0.2, ,24.9,6.7,94,23,1.60,15.28
MELBOURNE (OLYMPIC PARK),13/04/2019,1.9,0.0, ,20.7,10.5,95,48,1.52,10.04
MELBOURNE (OLYMPIC PARK),14/04/2019,2.0,0.0, ,22.5,11.8,100,46,0.79,14.36
MELBOURNE (OLYMPIC PARK),15/04/2019,2.6,0.0, ,27.4,12.9,97,29,1.62,10.85
MELBOURNE (OLYMPIC PARK),16/04/2019,4.8,0.0, ,30.3,17.1,56,22,3.28,14.39
MELBOURNE (OLYMPIC PARK),17/04/2019,5.0,0.0, ,30.0,22.1,75,27,4.44,12.76
MELBOURNE (OLYMPIC PARK),18/04/2019,2.5,0.0, ,17.7,13.2,67,51,2.88,12.79
MELBOURNE (OLYMPIC PARK),19/04/2019,2.0,0.0, ,22.1,8.6,98,42,1.20,13.95
MELBOURNE (OLYMPIC PARK),20/04/2019,3.6,0.0, ,30.2,10.2,98,24,2.34,13.88
MELBOURNE (OLYMPIC PARK),21/04/2019,3.1,0.0, ,27.0,14.8,86,37,3.09,7.47
MELBOURNE (OLYMPIC PARK),22/04/2019,1.5,0.8, ,17.6,13.7,96,53,1.85,6.00
MELBOURNE (OLYMPIC PARK),23/04/2019,1.4,0.0, ,18.5,11.1,94,66,1.71,8.01
MELBOURNE (OLYMPIC PARK),24/04/2019,1.6,0.0, ,23.2,14.6,93,53,1.07,8.21
MELBOURNE (OLYMPIC PARK),25/04/2019,2.0,0.0, ,21.5,10.2,97,40,1.65,10.60
MELBOURNE (OLYMPIC PARK),26/04/2019,2.0,3.0, ,15.8,11.9,88,46,3.39,6.93
MELBOURNE (OLYMPIC PARK),27/04/2019,1.9,0.0, ,16.2,8.7,72,49,2.50,8.46
MELBOURNE (OLYMPIC PARK),28/04/2019,1.6,0.0, ,17.4,12.4,83,60,2.33,5.16
MELBOURNE (OLYMPIC PARK),29/04/2019,1.3,0.0, ,18.1,11.5,88,49,0.92,8.39
MELBOURNE (OLYMPIC PARK),30/04/2019,3.2,0.0, ,23.1,7.9,88,31,3.70,11.70
Totals:,,78.5,7.2, ,,,,,, 
