'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MELBOURNE AIRPORT Victoria for March 2015,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 April 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MELBOURNE AIRPORT,01/03/2015,4.2,16.4,10.2,21.6,13.1,99,49,6.06,21.02
MELBOURNE AIRPORT,02/03/2015,4.3,0.0,5.6,24.1,8.7,89,36,2.81,21.51
MELBOURNE AIRPORT,03/03/2015,4.2,0.0,4.4,23.0,12.5,87,42,3.70,20.02
MELBOURNE AIRPORT,04/03/2015,5.1,0.0,5.0,25.0,12.9,91,34,4.08,23.37
MELBOURNE AIRPORT,05/03/2015,5.1,0.2,8.4,20.3,9.2,82,32,7.56,19.87
MELBOURNE AIRPORT,06/03/2015,2.8,0.0,7.0,20.8,12.0,96,58,6.41,8.02
MELBOURNE AIRPORT,07/03/2015,3.7,1.0,2.8,24.5,12.4,96,41,3.81,12.78
MELBOURNE AIRPORT,08/03/2015,4.2,0.0,3.0,26.6,14.5,94,39,2.56,19.84
MELBOURNE AIRPORT,09/03/2015,4.4,0.0,5.4,24.4,12.2,92,39,4.46,18.33
MELBOURNE AIRPORT,10/03/2015,4.6,0.0,5.4,23.3,14.3,81,35,3.37,21.89
MELBOURNE AIRPORT,11/03/2015,5.5,0.0,7.8,26.6,9.3,90,25,4.08,22.63
MELBOURNE AIRPORT,12/03/2015,4.4,0.0,6.2,20.8,11.0,91,33,6.23,16.10
MELBOURNE AIRPORT,13/03/2015,4.5,0.0,6.6,20.5,13.7,86,39,5.74,21.33
MELBOURNE AIRPORT,14/03/2015,7.6,0.0,6.4,30.3,7.9,97,9,5.86,20.17
MELBOURNE AIRPORT,15/03/2015,3.8,1.0,7.4,18.5,13.4,90,43,6.37,16.82
MELBOURNE AIRPORT,16/03/2015,4.4,0.0,5.2,25.1,8.2,95,32,4.68,13.11
MELBOURNE AIRPORT,17/03/2015,6.6,0.0,6.4,27.4,12.8,66,27,8.93,3.73
MELBOURNE AIRPORT,18/03/2015,3.7,1.6,7.8,26.3,15.1,90,41,3.88,10.62
MELBOURNE AIRPORT,19/03/2015,9.7,0.0,5.8,34.1,14.1,84,22,10.49,15.89
MELBOURNE AIRPORT,20/03/2015,4.6,0.0,12.4,20.9,10.3,83,29,5.85,17.56
MELBOURNE AIRPORT,21/03/2015,4.4,0.0,5.6,22.1,8.9,85,32,4.46,20.79
MELBOURNE AIRPORT,22/03/2015,6.4,0.0,5.6,29.3,8.1,91,24,5.73,19.63
MELBOURNE AIRPORT,23/03/2015,5.6,0.0,9.6,27.3,15.8,97,24,8.33,3.92
MELBOURNE AIRPORT,24/03/2015,2.7,0.4,7.2,15.4,12.0,92,45,6.47,6.46
MELBOURNE AIRPORT,25/03/2015,3.6,0.0,6.2,21.9,10.9,71,36,3.44,13.12
MELBOURNE AIRPORT,26/03/2015,4.8,0.0,2.4,19.9,6.8,84,22,7.83,10.71
MELBOURNE AIRPORT,27/03/2015,3.9,0.2,6.4,18.9,11.2,78,42,7.44,11.01
MELBOURNE AIRPORT,28/03/2015,2.9,0.0,4.8,20.0,8.0,89,42,2.73,14.74
MELBOURNE AIRPORT,29/03/2015,4.3,0.0,2.6,24.9,7.3,87,31,3.84,18.17
MELBOURNE AIRPORT,30/03/2015,4.1,0.0,5.2,24.9,8.5,89,34,3.70,17.91
MELBOURNE AIRPORT,31/03/2015,4.3,0.0,4.2,27.8,9.1,92,31,3.16,17.98
Totals:,,144.4,20.8,189,,,,,, 
