'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MELBOURNE AIRPORT Victoria for April 2015,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 May 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MELBOURNE AIRPORT,01/04/2015,7.6,0.0,6.6,30.8,14.0,71,22,7.98,12.36
MELBOURNE AIRPORT,02/04/2015,4.1,0.6,8.6,17.9,10.2,86,36,8.11,15.49
MELBOURNE AIRPORT,03/04/2015,3.5,0.0,5.8,19.8,5.4,90,37,4.37,17.28
MELBOURNE AIRPORT,04/04/2015,3.9,0.0,4.2,24.8,7.5,95,28,3.33,15.32
MELBOURNE AIRPORT,05/04/2015,2.9,0.0,4.6,20.6,6.2,91,44,3.78,11.05
MELBOURNE AIRPORT,06/04/2015,2.6,0.0,4.0,17.7,7.5,90,34,2.93,10.52
MELBOURNE AIRPORT,07/04/2015,2.2,0.0,2.6,16.9,9.0,97,57,6.69,4.29
MELBOURNE AIRPORT,08/04/2015,2.6,9.4,3.8,17.9,10.0,96,52,6.02,10.13
MELBOURNE AIRPORT,09/04/2015,2.6,0.0,1.6,19.0,7.0,95,48,4.13,11.13
MELBOURNE AIRPORT,10/04/2015,2.6,0.0,3.0,19.5,7.0,96,49,2.98,15.92
MELBOURNE AIRPORT,11/04/2015,3.7,0.0,4.0,24.7,9.9,95,32,3.57,14.90
MELBOURNE AIRPORT,12/04/2015,2.8,0.0,3.2,18.8,13.6,84,47,4.14,11.71
MELBOURNE AIRPORT,13/04/2015,2.7,0.0,3.0,21.6,4.8,95,36,2.35,14.28
MELBOURNE AIRPORT,14/04/2015,3.8,1.2,2.4,24.9,10.8,94,36,5.25,7.18
MELBOURNE AIRPORT,15/04/2015,5.1,2.0,4.4,27.3,15.2,91,37,7.32,13.78
MELBOURNE AIRPORT,16/04/2015,2.4,0.0,6.6,18.4,14.2,90,53,4.36,9.03
MELBOURNE AIRPORT,17/04/2015,1.5,0.0,3.2,16.1,8.0,94,56,2.09,6.61
MELBOURNE AIRPORT,18/04/2015,2.8,2.6,1.8,21.8,11.9,99,33,3.17,10.34
MELBOURNE AIRPORT,19/04/2015,2.6,4.2,2.4,14.2,7.5,90,46,6.82,10.36
MELBOURNE AIRPORT,20/04/2015,2.8,1.0,2.4,15.8,4.7,89,41,5.60,12.12
MELBOURNE AIRPORT,21/04/2015,2.5,0.0,3.2,17.6,3.9,92,48,4.55,12.36
MELBOURNE AIRPORT,22/04/2015,2.0,0.0,2.8,18.5,6.9,93,64,5.26,6.92
MELBOURNE AIRPORT,23/04/2015,1.4,0.0,1.8,17.3,11.3,96,73,3.73,5.91
MELBOURNE AIRPORT,24/04/2015,2.3,0.2,0.8,21.1,11.8,99,45,3.36,7.89
MELBOURNE AIRPORT,25/04/2015,0.9,4.2,2.6,13.9,10.2,99,84,3.74,4.78
MELBOURNE AIRPORT,26/04/2015,2.4,6.6,1.1,16.2,9.1,96,51,6.77,8.49
MELBOURNE AIRPORT,27/04/2015,2.1,0.0,2.8,15.9,9.5,88,56,5.05,7.31
MELBOURNE AIRPORT,28/04/2015,1.8,1.6,1.8,16.0,7.9,96,53,3.57,7.28
MELBOURNE AIRPORT,29/04/2015,1.9,0.0,1.6,17.1,5.6,100,45,2.37,12.44
MELBOURNE AIRPORT,30/04/2015,2.5,0.0,1.6,19.3,5.4,95,37,3.29,12.53
Totals:,,84.6,33.6,98.3,,,,,, 
