'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MELBOURNE AIRPORT Victoria for June 2016,,,,,,,,,,
Issued at 22:30 GMT on Friday 01 July 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MELBOURNE AIRPORT,01/06/2016,1.5,0.0,1.4,16.0,3.8,93,49,3.01,9.35
MELBOURNE AIRPORT,02/06/2016,0.9,0.0,1.2,13.2,2.4,99,71,3.14,9.59
MELBOURNE AIRPORT,03/06/2016,0.8,0.0,0.8,14.0,6.2,100,62,1.25,8.34
MELBOURNE AIRPORT,04/06/2016,0.6,5.0,1.0,14.3,8.4,99,92,1.85,3.89
MELBOURNE AIRPORT,05/06/2016,0.6,3.6,1.4,14.0,10.3,99,86,2.21,3.48
MELBOURNE AIRPORT,06/06/2016,1.3,4.8,1.6,13.2,6.6,90,72,5.77,7.22
MELBOURNE AIRPORT,07/06/2016,1.1,0.0,1.0,14.2,8.2,93,76,4.85,4.96
MELBOURNE AIRPORT,08/06/2016,1.3,1.6,0.8,13.5,7.2,93,76,8.68,4.65
MELBOURNE AIRPORT,09/06/2016,2.0,1.0,0.8,17.3,9.8,95,53,6.20,7.82
MELBOURNE AIRPORT,10/06/2016,1.6,0.2,2.0,15.1,7.3,96,57,5.45,8.19
MELBOURNE AIRPORT,11/06/2016,2.0,5.0,3.6,12.7,6.0,89,44,5.85,5.85
MELBOURNE AIRPORT,12/06/2016,1.5,0.4,2.0,13.4,4.1,87,45,3.09,7.94
MELBOURNE AIRPORT,13/06/2016,2.0,0.0,1.0,12.8,3.4,88,53,7.78,9.25
MELBOURNE AIRPORT,14/06/2016,2.2,0.0,2.4,14.5,6.8,83,52,7.04,8.69
MELBOURNE AIRPORT,15/06/2016,2.1,0.0,3.0,17.5,6.2,90,49,5.22,9.22
MELBOURNE AIRPORT,16/06/2016,1.7,0.0,2.0,13.3,6.9,88,67,9.17,4.62
MELBOURNE AIRPORT,17/06/2016,0.9,3.0,1.2,14.4,8.3,99,78,4.35,3.84
MELBOURNE AIRPORT,18/06/2016,1.0,13.8,2.2,11.7,9.3,99,68,3.81,4.29
MELBOURNE AIRPORT,19/06/2016,0.8,0.2,0.6,12.4,5.2,96,73,2.48,6.95
MELBOURNE AIRPORT,20/06/2016,0.8,6.4,1.4,12.4,8.9,100,82,5.91,3.43
MELBOURNE AIRPORT,21/06/2016,1.7,5.0,0.6,14.1,7.8,91,60,6.81,6.99
MELBOURNE AIRPORT,22/06/2016,2.0,0.2,2.0,14.9,8.4,89,51,6.34,6.69
MELBOURNE AIRPORT,23/06/2016,1.9,0.2,3.4,13.5,8.9,95,58,8.97,5.83
MELBOURNE AIRPORT,24/06/2016,1.6,9.8,3.8,9.6,4.6,86,58,7.11,6.84
MELBOURNE AIRPORT,25/06/2016,1.3,0.0,0.6,11.9,1.7,90,56,3.87,8.07
MELBOURNE AIRPORT,26/06/2016,1.4,0.0,0.4,10.2,2.2,93,56,6.00,8.25
MELBOURNE AIRPORT,27/06/2016,1.1,0.2,0.6,10.4,4.9,91,71,5.05,4.91
MELBOURNE AIRPORT,28/06/2016,2.0,0.2,0.6,15.9,4.8,91,56,6.45,8.25
MELBOURNE AIRPORT,29/06/2016,2.1,0.0,1.8,15.0,7.2,96,50,7.09,9.40
MELBOURNE AIRPORT,30/06/2016,1.6,0.0,3.2,10.3,8.3,93,63,9.60,4.42
Totals:,,43.4,60.6,48.4,,,,,, 
