'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MELBOURNE AIRPORT Victoria for July 2017,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 August 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MELBOURNE AIRPORT,01/07/2017,1.8,0.0,0.8,12.6,-0.4,99,44,5.55,9.41
MELBOURNE AIRPORT,02/07/2017,2.6,0.0,2.4,12.6,-0.6,95,31,7.65,9.19
MELBOURNE AIRPORT,03/07/2017,2.0,0.0,3.8,12.9,2.7,92,48,6.93,3.96
MELBOURNE AIRPORT,04/07/2017,2.0,3.0,2.0,15.9,7.7,90,52,6.09,8.28
MELBOURNE AIRPORT,05/07/2017,1.6,0.2,2.0,14.3,8.7,91,53,4.41,7.27
MELBOURNE AIRPORT,06/07/2017,2.2,0.0,2.0,14.4,2.6,93,39,6.00,9.18
MELBOURNE AIRPORT,07/07/2017,2.0,0.0,2.6,12.8,6.6,87,51,6.71,9.63
MELBOURNE AIRPORT,08/07/2017,1.8,0.0,2.2,13.9,4.0,92,57,6.53,6.52
MELBOURNE AIRPORT,09/07/2017,2.0,0.0,0.4,14.1,4.8,97,44,6.13,8.81
MELBOURNE AIRPORT,10/07/2017,2.2,0.0,2.2,16.0,4.8,88,46,5.52,8.03
MELBOURNE AIRPORT,11/07/2017,1.1,1.0,2.2,13.8,3.9,95,56,2.47,8.23
MELBOURNE AIRPORT,12/07/2017,1.9,0.0,1.4,14.3,1.6,92,48,5.31,9.69
MELBOURNE AIRPORT,13/07/2017,2.5,0.0,3.2,12.6,3.7,83,52,12.18,5.37
MELBOURNE AIRPORT,14/07/2017,2.6,0.4,3.6,14.9,8.6,89,42,7.62,8.99
MELBOURNE AIRPORT,15/07/2017,1.6,0.2,2.2,12.4,1.9,92,46,3.85,8.49
MELBOURNE AIRPORT,16/07/2017,2.2,0.0,2.8,11.3,2.7,89,48,9.29,8.55
MELBOURNE AIRPORT,17/07/2017,2.8,0.0,3.4,14.9,5.2,85,49,11.16,5.33
MELBOURNE AIRPORT,18/07/2017,1.9,0.2,3.2,14.2,7.4,90,53,6.02,8.10
MELBOURNE AIRPORT,19/07/2017,1.1,2.4,2.2,12.1,6.5,96,75,6.95,6.53
MELBOURNE AIRPORT,20/07/2017,1.5,2.6,1.8,10.7,4.9,93,62,6.93,7.70
MELBOURNE AIRPORT,21/07/2017,1.6,1.6,0.6,14.1,1.3,94,49,3.57,10.58
MELBOURNE AIRPORT,22/07/2017,2.3,0.0,2.8,12.1,3.9,87,52,10.81,6.73
MELBOURNE AIRPORT,23/07/2017,2.1,0.0,3.4,14.6,6.3,91,56,8.02,6.86
MELBOURNE AIRPORT,24/07/2017,1.9,3.8,3.0,15.4,4.3,97,50,4.99,7.74
MELBOURNE AIRPORT,25/07/2017,2.7,0.0,2.2,16.6,7.9,88,52,8.70,9.81
MELBOURNE AIRPORT,26/07/2017,1.9,0.0,1.8,14.9,8.3,93,52,5.33,8.14
MELBOURNE AIRPORT,27/07/2017,1.7,0.0,2.0,12.2,3.6,92,63,8.52,8.01
MELBOURNE AIRPORT,28/07/2017,2.2,0.6,2.2,14.7,5.4,88,44,4.97,9.24
MELBOURNE AIRPORT,29/07/2017,4.1,0.0,5.2,16.1,7.9,73,42,14.75,11.19
MELBOURNE AIRPORT,30/07/2017,3.0,0.0,5.8,17.0,8.7,83,29,5.37,10.48
MELBOURNE AIRPORT,31/07/2017,1.6,0.0,3.4,14.7,2.9,93,50,2.94,11.49
Totals:,,64.5,16,78.8,,,,,, 
