'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MELBOURNE AIRPORT Victoria for August 2023,,,,,,,,,,
Issued at 22:30 GMT on Friday 01 September 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MELBOURNE AIRPORT,01/08/2023,1.6,0.0,2.8,14.7,8.8,87,59,3.48,7.52
MELBOURNE AIRPORT,02/08/2023,2.1,0.0,3.0,16.6,3.9,95,54,5.33,11.26
MELBOURNE AIRPORT,03/08/2023,3.7,0.0,2.6,19.9,7.7,88,40,8.83,11.85
MELBOURNE AIRPORT,04/08/2023,2.7,0.0,5.0,17.0,11.5,79,63,10.17,7.57
MELBOURNE AIRPORT,05/08/2023,1.6,0.0,2.8,13.3,4.9,92,57,3.76,8.97
MELBOURNE AIRPORT,06/08/2023,1.1,0.0,0.6,13.7,6.6,96,70,2.46,7.55
MELBOURNE AIRPORT,07/08/2023,1.2,0.0,1.4,13.1,5.3,96,58,1.95,8.31
MELBOURNE AIRPORT,08/08/2023,1.6,0.0,1.0,15.4,1.4,98,47,2.26,11.91
MELBOURNE AIRPORT,09/08/2023,3.4,0.0,2.4,18.4,4.1,94,41,8.78,12.30
MELBOURNE AIRPORT,10/08/2023,2.2,1.6,4.0,14.2,8.3,88,54,6.29,9.25
MELBOURNE AIRPORT,11/08/2023,2.2,0.4,2.8,15.3,6.6,87,51,4.82,9.94
MELBOURNE AIRPORT,12/08/2023,1.8,0.4,3.2,15.7,9.1,97,56,4.60,7.45
MELBOURNE AIRPORT,13/08/2023,1.4,4.0,2.0,13.7,4.2,96,60,2.46,11.53
MELBOURNE AIRPORT,14/08/2023,1.6,0.0,1.0,12.5,1.7,96,53,3.30,9.50
MELBOURNE AIRPORT,15/08/2023,1.9,0.0,1.2,13.4,1.1,95,42,2.90,13.16
MELBOURNE AIRPORT,16/08/2023,2.7,0.0,2.6,15.1,0.5,89,39,5.67,13.55
MELBOURNE AIRPORT,17/08/2023,2.3,0.0,3.2,12.3,5.0,80,56,8.52,6.71
MELBOURNE AIRPORT,18/08/2023,2.5,4.6,2.6,13.0,7.2,93,43,7.00,11.17
MELBOURNE AIRPORT,19/08/2023,2.5,0.4,2.2,17.8,6.0,80,58,6.11,8.47
MELBOURNE AIRPORT,20/08/2023,2.7,0.0,3.0,18.5,10.1,83,46,4.27,12.16
MELBOURNE AIRPORT,21/08/2023,2.3,0.0,3.0,16.8,8.9,90,64,8.02,11.29
MELBOURNE AIRPORT,22/08/2023,1.1,0.2,3.0,13.3,11.2,96,82,4.71,5.50
MELBOURNE AIRPORT,23/08/2023,2.4,10.0,1.4,17.0,4.4,93,48,4.35,11.41
MELBOURNE AIRPORT,24/08/2023,2.8,0.0,2.2,17.5,5.7,90,51,6.18,14.36
MELBOURNE AIRPORT,25/08/2023,3.7,0.0,3.8,20.6,9.4,96,39,6.94,14.38
MELBOURNE AIRPORT,26/08/2023,1.7,0.0,2.8,14.3,9.6,90,61,3.02,9.08
MELBOURNE AIRPORT,27/08/2023,2.0,0.0,1.6,16.6,6.3,94,59,2.86,13.66
MELBOURNE AIRPORT,28/08/2023,1.9,0.0,1.8,18.1,7.3,98,65,2.86,12.85
MELBOURNE AIRPORT,29/08/2023,2.2,0.6,2.8,16.8,9.4,93,64,8.92,5.97
MELBOURNE AIRPORT,30/08/2023,2.4,5.6,3.8,16.3,12.0,95,57,7.07,9.02
MELBOURNE AIRPORT,31/08/2023,2.2,0.2,1.4,15.8,4.8,89,64,5.75,11.66
Totals:,,67.5,28,77,,,,,, 
