'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MELBOURNE REGIONAL OFFICE Victoria for January 2011,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 February 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MELBOURNE REGIONAL OFFICE,01/01/2011,3.6,0.0, ,23.1,17.1,81,49,0.00,20.41
MELBOURNE REGIONAL OFFICE,02/01/2011,4.8,0.0, ,21.6,15.3,72,40,0.00,31.32
MELBOURNE REGIONAL OFFICE,03/01/2011,4.7,0.0, ,20.9,14.5,60,40,0.00,31.27
MELBOURNE REGIONAL OFFICE,04/01/2011,5.4,0.0,25.8,22.0,12.7,73,44,0.00,35.05
MELBOURNE REGIONAL OFFICE,05/01/2011,5.2,0.0, ,21.9,14.6,79,52,0.00,32.83
MELBOURNE REGIONAL OFFICE,06/01/2011,5.5,0.0, ,30.8,15.9,85,25,0.00,33.30
MELBOURNE REGIONAL OFFICE,07/01/2011,4.9,0.0, ,33.4,17.9,53,29,0.00,28.67
MELBOURNE REGIONAL OFFICE,08/01/2011,5.3,0.0, ,34.5,23.0,85,31,0.00,27.66
MELBOURNE REGIONAL OFFICE,09/01/2011,2.7,0.6, ,22.7,18.1,83,58,0.00,14.15
MELBOURNE REGIONAL OFFICE,10/01/2011,2.1,0.2, ,25.0,18.7,96,73,0.00,9.71
MELBOURNE REGIONAL OFFICE,11/01/2011,2.8,7.0, ,26.3,20.1,97,67,0.00,13.84
MELBOURNE REGIONAL OFFICE,12/01/2011,2.9,15.4, ,27.6,20.9,96,67,0.00,14.14
MELBOURNE REGIONAL OFFICE,13/01/2011,1.8,4.8, ,27.8,22.5,96,75,0.00,7.69
MELBOURNE REGIONAL OFFICE,14/01/2011,3.8,28.2, ,26.9,20.5,95,54,0.00,20.13
MELBOURNE REGIONAL OFFICE,15/01/2011,5.8,22.4, ,29.5,18.5,90,40,0.00,33.15
MELBOURNE REGIONAL OFFICE,16/01/2011,5.4,0.0, ,26.2,18.3,88,60,0.00,30.99
MELBOURNE REGIONAL OFFICE,17/01/2011,2.7,0.0, ,21.3,15.6,91,45,0.00,14.96
MELBOURNE REGIONAL OFFICE,18/01/2011,3.7,0.0, ,21.9,15.5,100,47,0.00,22.35
MELBOURNE REGIONAL OFFICE,19/01/2011,4.1,0.0,23.2,22.5,15.3,72,45,0.00,25.99
MELBOURNE REGIONAL OFFICE,20/01/2011,5.6,0.0,4.0,28.4,13.3,83,38,0.00,33.96
MELBOURNE REGIONAL OFFICE,21/01/2011,5.0,0.0,6.2,32.3,16.6,75,32,0.00,29.14
MELBOURNE REGIONAL OFFICE,22/01/2011,4.7,0.0, ,27.5,16.9,80,52,0.00,27.49
MELBOURNE REGIONAL OFFICE,23/01/2011,5.6,0.0, ,29.0,18.3,86,48,0.00,32.17
MELBOURNE REGIONAL OFFICE,24/01/2011,4.1,4.6,13.4,21.7,15.1,90,44,0.00,25.55
MELBOURNE REGIONAL OFFICE,25/01/2011,4.3,0.0,4.8,27.7,14.5,90,34,0.00,26.19
MELBOURNE REGIONAL OFFICE,26/01/2011,3.0,6.2, ,21.6,16.0,94,60,0.00,17.18
MELBOURNE REGIONAL OFFICE,27/01/2011,5.3,0.2,6.6,25.7,14.9,89,39,0.00,32.90
MELBOURNE REGIONAL OFFICE,28/01/2011,5.0,0.0, ,23.1,16.4,71,43,0.00,31.94
MELBOURNE REGIONAL OFFICE,29/01/2011,5.1,0.0, ,28.0,13.4,76,31,0.00,32.25
MELBOURNE REGIONAL OFFICE,30/01/2011,5.2,0.0, ,38.1,16.4,74,17,0.00,31.14
MELBOURNE REGIONAL OFFICE,31/01/2011,4.2,0.0,27.4,32.5,20.1,83,50,0.00,21.95
Totals:,,134.3,89.6,111.4,,,,,, 
