'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MELBOURNE REGIONAL OFFICE Victoria for March 2011,,,,,,,,,,
Issued at 22:34 GMT on Friday 01 April 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MELBOURNE REGIONAL OFFICE,01/03/2011,3.1,0.2,1.0,19.5,14.3,87,39,0.00,22.19
MELBOURNE REGIONAL OFFICE,02/03/2011,2.9,0.4,3.0,19.8,11.1,67,38,0.00,22.20
MELBOURNE REGIONAL OFFICE,03/03/2011,2.8,0.0,4.2,20.1,13.6,66,50,0.00,19.28
MELBOURNE REGIONAL OFFICE,04/03/2011,2.2,0.0,3.2,18.6,13.6,70,50,0.00,14.95
MELBOURNE REGIONAL OFFICE,05/03/2011,3.7,0.0, ,24.5,10.8,70,33,0.00,27.31
MELBOURNE REGIONAL OFFICE,06/03/2011,3.7,0.0, ,28.0,11.3,85,26,0.00,26.56
MELBOURNE REGIONAL OFFICE,07/03/2011,3.7,0.0,9.2,29.2,15.6,72,29,0.00,25.78
MELBOURNE REGIONAL OFFICE,08/03/2011,2.0,0.0,8.0,27.2,19.4,80,38,0.00,11.00
MELBOURNE REGIONAL OFFICE,09/03/2011,1.7,0.2,3.2,23.8,19.4,96,67,0.00,8.65
MELBOURNE REGIONAL OFFICE,10/03/2011,1.8,11.2,0.6,18.7,15.2,97,64,0.00,10.27
MELBOURNE REGIONAL OFFICE,11/03/2011,3.6,0.2,1.4,27.1,15.4,85,51,0.00,23.80
MELBOURNE REGIONAL OFFICE,12/03/2011,3.8,0.0, ,30.7,17.7,92,45,0.00,23.59
MELBOURNE REGIONAL OFFICE,13/03/2011,2.6,0.0, ,32.5,20.8,95,29,0.00,14.78
MELBOURNE REGIONAL OFFICE,14/03/2011,3.5,6.2, ,23.7,15.0,80,39,0.00,25.17
MELBOURNE REGIONAL OFFICE,15/03/2011,3.3,0.2,18.4,25.6,12.3,91,38,0.00,24.33
MELBOURNE REGIONAL OFFICE,16/03/2011,3.2,0.0,4.2,22.0,15.4,67,44,0.00,23.87
MELBOURNE REGIONAL OFFICE,17/03/2011,2.0,0.0,5.0,18.9,14.4,59,47,0.00,14.44
MELBOURNE REGIONAL OFFICE,18/03/2011,2.1,0.0,3.4,19.5,14.2,65,49,0.00,15.06
MELBOURNE REGIONAL OFFICE,19/03/2011,3.1,0.0, ,23.5,12.8,78,48,0.00,23.41
MELBOURNE REGIONAL OFFICE,20/03/2011,3.1,2.0, ,30.1,13.6,96,35,0.00,21.71
MELBOURNE REGIONAL OFFICE,21/03/2011,1.9,0.2,9.6,24.9,16.8,88,58,0.00,10.64
MELBOURNE REGIONAL OFFICE,22/03/2011,1.7,0.0,1.6,24.0,19.1,93,67,0.00,9.33
MELBOURNE REGIONAL OFFICE,23/03/2011,2.7,0.0,2.6,23.1,16.4,81,39,0.00,19.52
MELBOURNE REGIONAL OFFICE,24/03/2011,1.7,0.0,4.0,19.7,15.2,93,64,0.00,10.71
MELBOURNE REGIONAL OFFICE,25/03/2011,2.0,9.4,1.8,19.0,13.6,93,45,0.00,14.31
MELBOURNE REGIONAL OFFICE,26/03/2011,1.6,0.2, ,18.0,15.0,74,54,0.00,10.10
MELBOURNE REGIONAL OFFICE,27/03/2011,2.0,0.0, ,20.3,14.6,78,54,0.00,14.52
MELBOURNE REGIONAL OFFICE,28/03/2011,2.7,0.0,6.8,24.3,13.7,84,48,0.00,20.84
MELBOURNE REGIONAL OFFICE,29/03/2011,2.6,0.0,2.6,29.0,12.9,91,26,0.00,20.89
MELBOURNE REGIONAL OFFICE,30/03/2011,1.9,0.0,4.4,22.6,14.4,86,42,0.00,13.33
MELBOURNE REGIONAL OFFICE,31/03/2011,2.2,0.0,3.8,19.8,13.8,65,38,0.00,18.64
Totals:,,80.9,30.4,102,,,,,, 
