'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MELBOURNE REGIONAL OFFICE Victoria for February 2013,,,,,,,,,,
Issued at 22:38 GMT on Friday 01 March 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MELBOURNE REGIONAL OFFICE,01/02/2013,3.6,28.0,4.8,21.1,12.2,92,39,0.00,23.56
MELBOURNE REGIONAL OFFICE,02/02/2013,4.0,0.0, ,21.8,13.9,73,42,0.00,26.38
MELBOURNE REGIONAL OFFICE,03/02/2013,4.0,0.8, ,26.1,16.1,94,39,0.00,23.95
MELBOURNE REGIONAL OFFICE,04/02/2013,4.0,0.2,16.8,22.7,17.2,82,47,0.00,24.34
MELBOURNE REGIONAL OFFICE,05/02/2013,4.3,0.0,5.2,28.9,15.9,83,22,0.00,27.39
MELBOURNE REGIONAL OFFICE,06/02/2013,4.2,0.0,5.6,37.2,16.1,87,8,0.00,26.36
MELBOURNE REGIONAL OFFICE,07/02/2013,4.5,0.0,9.8,30.9,20.1,66,35,0.00,26.43
MELBOURNE REGIONAL OFFICE,08/02/2013,4.4,0.0,7.2,30.0,18.1,74,31,0.00,26.40
MELBOURNE REGIONAL OFFICE,09/02/2013,4.2,0.0, ,30.2,16.5,93,28,0.00,24.99
MELBOURNE REGIONAL OFFICE,10/02/2013,3.7,3.8, ,23.5,15.6,94,37,0.00,22.90
MELBOURNE REGIONAL OFFICE,11/02/2013,4.3,0.2,17.8,25.7,15.9,68,41,0.00,27.33
MELBOURNE REGIONAL OFFICE,12/02/2013,4.0,0.0,6.2,26.0,16.2,76,48,0.00,24.58
MELBOURNE REGIONAL OFFICE,13/02/2013,4.3,0.0,5.8,32.7,15.7,81,29,0.00,26.50
MELBOURNE REGIONAL OFFICE,14/02/2013,3.8,0.0,6.6,33.0,18.8,81,32,0.00,21.73
MELBOURNE REGIONAL OFFICE,15/02/2013,4.6,0.0,6.2,31.4,19.7,81,41,0.00,26.20
MELBOURNE REGIONAL OFFICE,16/02/2013,4.3,0.0, ,35.4,19.5,81,24,0.00,25.21
MELBOURNE REGIONAL OFFICE,17/02/2013,4.4,0.0, ,35.7,19.8,70,24,0.00,26.07
MELBOURNE REGIONAL OFFICE,18/02/2013,4.2,0.0,23.6,36.7,21.2,58,18,0.00,25.58
MELBOURNE REGIONAL OFFICE,19/02/2013,1.3,0.4,10.4,21.0,20.5,89,31,0.00,5.26
MELBOURNE REGIONAL OFFICE,20/02/2013,4.1,0.4,3.0,29.5,15.8,77,37,0.00,25.77
MELBOURNE REGIONAL OFFICE,21/02/2013,3.4,0.0,5.4,31.8,17.3,86,41,0.00,19.42
MELBOURNE REGIONAL OFFICE,22/02/2013,3.8,0.0,5.4,32.6,20.7,82,29,0.00,21.77
MELBOURNE REGIONAL OFFICE,23/02/2013,4.2,0.0, ,32.1,19.4,82,29,0.00,25.01
MELBOURNE REGIONAL OFFICE,24/02/2013,3.6,0.0, ,34.3,19.4,73,19,0.00,21.81
MELBOURNE REGIONAL OFFICE,25/02/2013,3.8,0.0, ,29.7,22.2,78,43,0.00,21.62
MELBOURNE REGIONAL OFFICE,26/02/2013,2.3,23.2, ,27.5,17.3,95,60,0.00,12.16
MELBOURNE REGIONAL OFFICE,27/02/2013,1.6,5.6,26.4,27.6,17.7,93,55,0.00,7.29
MELBOURNE REGIONAL OFFICE,28/02/2013,2.1,7.8,3.6,21.4,14.2,93,35,0.00,12.48
Totals:,,105,70.4,169.8,,,,,, 
