'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MELBOURNE REGIONAL OFFICE Victoria for February 2014,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 March 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MELBOURNE REGIONAL OFFICE,01/02/2014,5.0,0.0, ,30.2,18.6,89,44,0.00,27.96
MELBOURNE REGIONAL OFFICE,02/02/2014,5.3,0.0, ,39.0,18.3,93,22,0.00,29.82
MELBOURNE REGIONAL OFFICE,03/02/2014,2.0,0.0,16.6,34.0,22.7,85,25,0.00,8.24
MELBOURNE REGIONAL OFFICE,04/02/2014,4.1,0.6,4.6,26.2,14.8,63,30,0.00,26.62
MELBOURNE REGIONAL OFFICE,05/02/2014,4.5,0.0,6.0,31.1,13.9,70,25,0.00,28.69
MELBOURNE REGIONAL OFFICE,06/02/2014,4.6,0.0,6.4,35.6,17.4,71,20,0.00,27.62
MELBOURNE REGIONAL OFFICE,07/02/2014,4.4,0.0,8.6,36.6,22.9,77,18,0.00,24.58
MELBOURNE REGIONAL OFFICE,08/02/2014,4.7,0.0, ,41.0,18.6,84,12,0.00,27.73
MELBOURNE REGIONAL OFFICE,09/02/2014,4.4,0.0, ,40.4,22.2,59,9,0.00,26.80
MELBOURNE REGIONAL OFFICE,10/02/2014,4.4,0.0,24.6,24.9,15.9,66,40,0.00,28.66
MELBOURNE REGIONAL OFFICE,11/02/2014,4.4,0.0,6.2,27.0,14.6,77,43,0.00,27.78
MELBOURNE REGIONAL OFFICE,12/02/2014,3.7,0.0,4.0,27.2,17.1,87,54,0.00,21.14
MELBOURNE REGIONAL OFFICE,13/02/2014,1.8,0.0,3.8,26.9,18.9,79,57,0.00,8.36
MELBOURNE REGIONAL OFFICE,14/02/2014,2.0,0.0,2.4,27.0,19.4,85,48,0.00,9.88
MELBOURNE REGIONAL OFFICE,15/02/2014,2.4,0.0, ,28.9,21.0,82,53,0.00,11.45
MELBOURNE REGIONAL OFFICE,16/02/2014,3.7,7.2, ,24.1,17.1,96,48,0.00,22.24
MELBOURNE REGIONAL OFFICE,17/02/2014,3.8,6.4,11.4,25.9,16.2,74,40,0.00,23.86
MELBOURNE REGIONAL OFFICE,18/02/2014,4.1,0.0,4.6,30.4,14.5,81,36,0.00,25.69
MELBOURNE REGIONAL OFFICE,19/02/2014,2.3,0.0,5.2,25.4,17.5,89,32,0.00,12.50
MELBOURNE REGIONAL OFFICE,20/02/2014,3.1,8.2,3.6,20.8,12.6,82,33,0.00,21.13
MELBOURNE REGIONAL OFFICE,21/02/2014,2.5,0.2,3.6,20.8,13.2,74,43,0.00,16.37
MELBOURNE REGIONAL OFFICE,22/02/2014,1.7,0.4, ,20.2,14.2,89,54,0.00,8.81
MELBOURNE REGIONAL OFFICE,23/02/2014,3.8,0.0, ,23.8,14.2,77,47,0.00,25.69
MELBOURNE REGIONAL OFFICE,24/02/2014,3.7,0.0,9.6,25.2,14.6,87,50,0.00,23.57
MELBOURNE REGIONAL OFFICE,25/02/2014,3.0,0.0,4.0,33.0,15.5,86,21,0.00,17.69
MELBOURNE REGIONAL OFFICE,26/02/2014,2.7,0.0,5.4,22.6,15.1,89,41,0.00,16.91
MELBOURNE REGIONAL OFFICE,27/02/2014,3.0,0.2,3.8,22.3,14.4,78,39,0.00,20.07
MELBOURNE REGIONAL OFFICE,28/02/2014,3.6,0.0,4.0,23.5,13.8,77,46,0.00,24.89
Totals:,,98.7,23.2,138.4,,,,,, 
