'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MELBOURNE REGIONAL OFFICE Victoria for December 2014,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 January 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MELBOURNE REGIONAL OFFICE,01/12/2014,4.1,0.4,22.4,29.3,21.1,80,37,0.00,22.10
MELBOURNE REGIONAL OFFICE,02/12/2014,5.0,0.2,5.0,26.1,16.7,80,43,0.00,29.83
MELBOURNE REGIONAL OFFICE,03/12/2014,1.4,0.0,6.4,23.9,16.5,96,59,0.00,5.82
MELBOURNE REGIONAL OFFICE,04/12/2014,5.1,9.2,3.2,27.7,17.6,94,50,0.00,28.44
MELBOURNE REGIONAL OFFICE,05/12/2014,1.2,0.0,4.4,21.4,17.7,85,68,0.00,4.61
MELBOURNE REGIONAL OFFICE,06/12/2014,2.6,3.0, ,22.9,15.6,91,60,0.00,14.06
MELBOURNE REGIONAL OFFICE,07/12/2014,1.6,15.2, ,17.9,13.8,94,71,0.00,7.54
MELBOURNE REGIONAL OFFICE,08/12/2014,4.4,2.4,8.0,21.8,14.0,90,56,0.00,27.12
MELBOURNE REGIONAL OFFICE,09/12/2014,4.4,0.0,4.0,21.7,15.5,78,48,0.00,27.10
MELBOURNE REGIONAL OFFICE,10/12/2014,1.7,0.0,4.8,21.3,13.7,87,63,0.00,8.09
MELBOURNE REGIONAL OFFICE,11/12/2014,4.3,0.6,1.4,22.1,16.3,93,62,0.00,25.02
MELBOURNE REGIONAL OFFICE,12/12/2014,5.4,0.0,3.2,27.8,14.3,84,35,0.00,33.18
MELBOURNE REGIONAL OFFICE,13/12/2014,5.3,0.0, ,31.5,15.1,81,18,0.00,32.82
MELBOURNE REGIONAL OFFICE,14/12/2014,4.4,0.0, ,26.2,21.4,75,33,0.00,24.47
MELBOURNE REGIONAL OFFICE,15/12/2014,4.9,0.0, ,24.2,16.7,82,53,0.00,28.73
MELBOURNE REGIONAL OFFICE,16/12/2014,4.6,0.0, ,32.6,16.6,86,9,0.00,27.78
MELBOURNE REGIONAL OFFICE,17/12/2014,4.5,0.0,34.8,22.7,12.2,67,28,0.00,30.54
MELBOURNE REGIONAL OFFICE,18/12/2014,3.0,0.0, ,24.6,12.1,79,24,0.00,18.24
MELBOURNE REGIONAL OFFICE,19/12/2014,4.3,1.8,10.2,21.1,11.3,78,40,0.00,28.75
MELBOURNE REGIONAL OFFICE,20/12/2014,5.0,0.0, ,23.8,12.6,74,40,0.00,32.24
MELBOURNE REGIONAL OFFICE,21/12/2014,5.2,0.0, ,33.8,13.7,87,20,0.00,31.01
MELBOURNE REGIONAL OFFICE,22/12/2014,3.3,0.0,16.4,25.2,17.9,82,61,0.00,17.63
MELBOURNE REGIONAL OFFICE,23/12/2014,1.9,1.0,3.8,26.8,19.9,91,45,0.00,8.45
MELBOURNE REGIONAL OFFICE,24/12/2014,5.3,0.6,3.2,23.0,14.4,81,47,0.00,33.49
MELBOURNE REGIONAL OFFICE,25/12/2014,5.2,0.0, ,24.1,14.4,91,38,0.00,32.35
MELBOURNE REGIONAL OFFICE,26/12/2014,4.7,7.4, ,21.1,10.9,87,37,0.00,32.12
MELBOURNE REGIONAL OFFICE,27/12/2014,5.1,0.0, ,23.0,12.2,74,34,0.00,33.90
MELBOURNE REGIONAL OFFICE,28/12/2014,5.1,0.0, ,32.1,13.4,79,19,0.00,31.45
MELBOURNE REGIONAL OFFICE,29/12/2014,2.5,0.0, ,26.4,17.5,79,21,0.00,12.67
MELBOURNE REGIONAL OFFICE,30/12/2014,4.2,0.2, ,24.6,13.4,68,28,0.00,27.10
MELBOURNE REGIONAL OFFICE,31/12/2014,5.0,0.2, ,25.8,11.9,74,33,0.00,32.69
Totals:,,124.7,42.2,131.2,,,,,, 
