'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MILDURA AIRPORT Victoria for November 2012,,,,,,,,,,
Issued at 22:38 GMT on Saturday 01 December 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MILDURA AIRPORT,01/11/2012,6.5,0.4,11.0,24.3,12.8,89,23,5.89,27.84
MILDURA AIRPORT,02/11/2012,6.1,0.0, ,23.8,6.9,80,15,3.85,29.09
MILDURA AIRPORT,03/11/2012,6.3,0.0, ,27.8,11.6,66,15,2.73,27.96
MILDURA AIRPORT,04/11/2012,10.0,0.0,7.4,37.1,13.2,50,7,4.42,30.23
MILDURA AIRPORT,05/11/2012,8.8,0.0,14.0,33.3,23.4,45,10,5.41,16.25
MILDURA AIRPORT,06/11/2012,5.7,0.6,8.8,27.6,17.0,82,20,3.39,20.62
MILDURA AIRPORT,07/11/2012,6.2,1.6,4.2,28.7,15.3,89,16,3.12,24.73
MILDURA AIRPORT,08/11/2012,6.8,0.0,7.2,26.6,10.7,84,18,4.17,30.00
MILDURA AIRPORT,09/11/2012,6.6,0.0, ,25.2,7.7,83,13,3.90,30.83
MILDURA AIRPORT,10/11/2012,6.7,0.0,18.0,25.5,7.2,64,7,3.29,31.04
MILDURA AIRPORT,11/11/2012,8.7,0.0,8.0,31.9,9.3,57,3,4.08,31.17
MILDURA AIRPORT,12/11/2012,9.9,0.0,12.0,31.5,16.7,31,8,5.29,31.12
MILDURA AIRPORT,13/11/2012,6.6,0.0,13.0,26.0,9.1,67,8,3.04,31.15
MILDURA AIRPORT,14/11/2012,6.6,0.0,8.0,29.2,8.0,54,7,2.36,30.70
MILDURA AIRPORT,15/11/2012,5.5,0.0,6.4,27.7,11.5,73,11,2.55,20.01
MILDURA AIRPORT,16/11/2012,7.5,0.2,6.4,26.1,13.1,85,10,4.80,31.33
MILDURA AIRPORT,17/11/2012,7.0,0.2,9.6,26.5,8.7,70,12,3.69,30.97
MILDURA AIRPORT,18/11/2012,7.2,0.0,8.5,26.3,8.8,73,9,3.95,31.97
MILDURA AIRPORT,19/11/2012,7.4,0.0,7.2,28.8,9.4,65,5,3.15,32.12
MILDURA AIRPORT,20/11/2012,9.8,0.0,9.6,33.7,12.3,55,7,4.93,31.67
MILDURA AIRPORT,21/11/2012,8.1,0.0,13.0,27.9,15.3,80,13,5.20,31.69
MILDURA AIRPORT,22/11/2012,8.0,0.0,10.6,29.3,10.6,59,9,3.92,32.29
MILDURA AIRPORT,23/11/2012,7.2,0.0,10.2,32.3,12.4,63,13,2.62,29.90
MILDURA AIRPORT,24/11/2012,9.2,0.0,8.2,38.2,17.8,41,8,3.60,26.99
MILDURA AIRPORT,25/11/2012,9.0,0.0,9.2,37.1,18.1,51,14,3.34,31.90
MILDURA AIRPORT,26/11/2012,9.1,0.0,13.0,35.5,21.2,53,21,4.61,26.70
MILDURA AIRPORT,27/11/2012,9.6,0.2,10.4,37.4,21.2,68,19,4.19,32.40
MILDURA AIRPORT,28/11/2012,9.4,0.0,10.6,39.8,20.6,68,19,3.24,32.86
MILDURA AIRPORT,29/11/2012,12.7,0.0,10.0,45.5,23.2,66,7,5.07,30.71
MILDURA AIRPORT,30/11/2012,6.2,0.4,16.6,31.9,23.9,80,36,4.20,18.79
Totals:,,234.4,3.6,271.1,,,,,, 
