'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MILDURA AIRPORT Victoria for January 2015,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 February 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MILDURA AIRPORT,01/01/2015,8.2,0.0,9.4,37.5,14.6,40,8,2.42,30.70
MILDURA AIRPORT,02/01/2015,10.4,0.0,10.6,42.3,22.6,31,5,3.29,33.02
MILDURA AIRPORT,03/01/2015,12.8,0.0,14.8,43.5,24.9,82,12,7.11,25.88
MILDURA AIRPORT,04/01/2015,6.4,4.0,15.8,33.0,20.2,79,33,3.33,22.01
MILDURA AIRPORT,05/01/2015,8.9,0.0,8.4,38.2,20.8,64,22,3.92,27.06
MILDURA AIRPORT,06/01/2015,8.7,0.0,12.6,39.2,24.0,52,23,3.37,27.05
MILDURA AIRPORT,07/01/2015,9.7,0.0,12.0,41.1,24.8,56,13,3.34,30.77
MILDURA AIRPORT,08/01/2015,8.2,0.0,16.0,40.2,23.9,94,20,4.57,18.72
MILDURA AIRPORT,09/01/2015,1.3,15.0,7.6,24.2,21.7,98,77,1.82,3.54
MILDURA AIRPORT,10/01/2015,1.3,15.6,1.6,22.5,18.2,100,82,3.96,3.67
MILDURA AIRPORT,11/01/2015,3.5,6.0,12.0,26.3,18.5,93,67,4.77,13.31
MILDURA AIRPORT,12/01/2015,3.4,0.0,1.6,27.8,19.4,89,69,4.48,11.96
MILDURA AIRPORT,13/01/2015,6.3,16.4,2.2,29.5,22.0,100,42,6.54,23.43
MILDURA AIRPORT,14/01/2015,5.3,0.0,9.6,27.1,18.0,88,40,5.87,15.88
MILDURA AIRPORT,15/01/2015,6.6,0.0,8.0,26.0,13.8,82,31,4.09,30.89
MILDURA AIRPORT,16/01/2015,7.7,0.0,7.6,31.1,12.9,83,21,3.88,31.78
MILDURA AIRPORT,17/01/2015,7.1,0.0,10.4,29.4,14.7,84,21,4.00,27.98
MILDURA AIRPORT,18/01/2015,7.1,0.0,10.8,27.1,13.4,71,25,4.04,31.90
MILDURA AIRPORT,19/01/2015,7.3,0.0,9.8,28.9,14.3,62,13,3.00,31.99
MILDURA AIRPORT,20/01/2015,4.1,0.0,8.0,27.8,15.3,67,17,2.68,6.51
MILDURA AIRPORT,21/01/2015,7.7,0.0,4.0,35.8,15.2,76,16,2.57,30.78
MILDURA AIRPORT,22/01/2015,8.3,0.0,10.2,37.0,20.3,71,23,3.24,29.54
MILDURA AIRPORT,23/01/2015,8.5,0.0,12.0,35.8,22.4,58,21,3.55,28.69
MILDURA AIRPORT,24/01/2015,8.7,0.0,10.6,32.4,16.5,61,16,4.38,30.88
MILDURA AIRPORT,25/01/2015,7.6,0.0,13.4,26.9,15.6,74,19,4.97,31.16
MILDURA AIRPORT,26/01/2015,6.8,0.0,11.0,25.0,11.2,67,22,4.06,31.39
MILDURA AIRPORT,27/01/2015,8.3,0.0,9.6,28.3,12.5,60,17,5.46,31.43
MILDURA AIRPORT,28/01/2015,8.4,0.0,12.0,30.8,12.5,63,24,5.22,31.03
MILDURA AIRPORT,29/01/2015,8.9, , ,29.8,15.9,54,14,5.34,31.57
MILDURA AIRPORT,30/01/2015,7.6,0.0,21.0,28.4,13.4,65,15,4.04,31.03
MILDURA AIRPORT,31/01/2015,7.2,0.0,9.8,28.2,13.2,66,20,4.10,29.30
Totals:,,222.3,57,302.4,,,,,, 
