'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MILDURA AIRPORT Victoria for September 2015,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 October 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MILDURA AIRPORT,01/09/2015,3.8,0.0,2.8,21.9,3.7,82,26,3.58,15.98
MILDURA AIRPORT,02/09/2015,2.0,0.8,6.0,14.6,10.5,96,35,2.92,5.99
MILDURA AIRPORT,03/09/2015,1.9,7.8,1.4,17.1,7.2,98,62,3.68,8.84
MILDURA AIRPORT,04/09/2015,2.6,0.0,1.2,16.4,7.2,92,46,3.06,16.06
MILDURA AIRPORT,05/09/2015,2.4,0.0,3.0,17.9,1.4,98,39,1.77,17.01
MILDURA AIRPORT,06/09/2015,4.0,0.0,3.4,22.4,7.0,86,32,4.83,13.10
MILDURA AIRPORT,07/09/2015,3.2,0.0,4.2,17.1,4.6,95,33,4.50,15.41
MILDURA AIRPORT,08/09/2015,2.8,0.0,4.6,19.6,6.0,93,56,4.50,13.75
MILDURA AIRPORT,09/09/2015,2.6,0.2,2.1,19.4,7.6,99,53,3.23,14.87
MILDURA AIRPORT,10/09/2015,3.1,0.0,2.7,19.7,5.4,99,30,2.18,19.17
MILDURA AIRPORT,11/09/2015,4.1,0.0,3.8,22.9,5.0,85,26,3.29,19.36
MILDURA AIRPORT,12/09/2015,4.4,0.0,5.0,26.5,7.5,82,18,2.84,17.48
MILDURA AIRPORT,13/09/2015,6.2,0.0,4.6,29.6,10.0,71,13,4.21,19.28
MILDURA AIRPORT,14/09/2015,8.4,0.0,9.0,32.3,13.8,82,12,6.95,19.11
MILDURA AIRPORT,15/09/2015,3.7,0.8,10.4,20.0,8.9,90,34,3.66,18.65
MILDURA AIRPORT,16/09/2015,3.8,0.0,4.0,22.2,2.9,94,26,3.20,16.75
MILDURA AIRPORT,17/09/2015,3.6,3.4,4.2,20.8,7.2,95,36,3.75,17.54
MILDURA AIRPORT,18/09/2015,3.6,0.0,4.0,19.9,4.6,96,34,3.29,20.41
MILDURA AIRPORT,19/09/2015,3.3,0.0,5.0,21.5,4.8,96,31,1.76,20.52
MILDURA AIRPORT,20/09/2015,4.0,0.0,4.0,26.1,5.0,93,20,1.87,21.02
MILDURA AIRPORT,21/09/2015,4.1,0.0,5.2,20.7,8.2,88,30,4.71,16.22
MILDURA AIRPORT,22/09/2015,4.1,0.0,5.6,18.1,5.0,92,25,4.60,21.58
MILDURA AIRPORT,23/09/2015,4.1,0.0,6.2,17.4,2.1,83,22,4.45,21.91
MILDURA AIRPORT,24/09/2015,4.0,0.0,5.5,18.2,2.1,87,26,3.94,21.97
MILDURA AIRPORT,25/09/2015,4.3,0.0,4.9,20.7,4.1,87,24,3.64,21.91
MILDURA AIRPORT,26/09/2015,4.3,0.0,5.0,24.0,2.9,74,21,2.40,22.20
MILDURA AIRPORT,27/09/2015,4.1,0.0,4.7,26.0,5.9,74,17,1.74,21.29
MILDURA AIRPORT,28/09/2015,5.5,0.0,5.2,27.9,6.9,65,13,3.00,21.13
MILDURA AIRPORT,29/09/2015,4.2,0.0,8.6,21.1,5.4,82,30,3.28,22.12
MILDURA AIRPORT,30/09/2015,4.2,0.0,5.7,22.1,4.9,85,24,2.68,22.19
Totals:,,116.4,13,142,,,,,, 
