'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MILDURA AIRPORT Victoria for February 2021,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 March 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MILDURA AIRPORT,01/02/2021,5.4,0.0,10.4,29.7,17.5,76,19,2.97,15.90
MILDURA AIRPORT,02/02/2021,7.4,0.0,8.0,27.8,13.1,71,19,4.72,28.59
MILDURA AIRPORT,03/02/2021,6.2,0.0,8.0,29.0,12.3,74,22,2.59,28.47
MILDURA AIRPORT,04/02/2021,5.6,0.0,7.0,32.7,16.0,72,14,3.12,10.97
MILDURA AIRPORT,05/02/2021,7.3,0.0,9.1,27.5,14.2,81,13,5.33,25.10
MILDURA AIRPORT,06/02/2021,6.2,0.0,8.0,27.2,15.1,84,32,5.79,20.39
MILDURA AIRPORT,07/02/2021,6.4,0.0,7.0,28.0,14.9,85,24,4.12,25.32
MILDURA AIRPORT,08/02/2021,7.0,0.0,12.0,29.0,12.5,71,14,3.70,27.68
MILDURA AIRPORT,09/02/2021,6.0,0.0, ,30.5,14.4,65,18,2.99,20.09
MILDURA AIRPORT,10/02/2021,6.5,0.0,8.0,37.0,14.3,57,12,1.70,27.38
MILDURA AIRPORT,11/02/2021,11.0,0.0,10.8,39.7,23.5,46,17,5.96,24.34
MILDURA AIRPORT,12/02/2021,5.4,0.0,15.0,27.2,17.9,81,28,4.38,16.12
MILDURA AIRPORT,13/02/2021,6.5,0.0,8.0,28.7,11.5,80,26,3.90,26.85
MILDURA AIRPORT,14/02/2021,7.5,0.0,9.0,30.6,13.5,67,15,4.20,26.56
MILDURA AIRPORT,15/02/2021,7.3,0.0, ,33.6,15.4,63,21,3.39,26.50
MILDURA AIRPORT,16/02/2021,7.6,0.0,10.0,35.0,17.5,47,15,3.20,25.65
MILDURA AIRPORT,17/02/2021,7.6,0.0,8.0,36.8,19.8,52,17,3.20,23.73
MILDURA AIRPORT,18/02/2021,8.7,0.0, ,33.6,21.9,47,17,4.71,25.95
MILDURA AIRPORT,19/02/2021,8.4,0.0,15.6,37.3,20.5,46,15,3.54,25.80
MILDURA AIRPORT,20/02/2021,6.3,0.0, ,38.5,21.2,46,16,2.19,19.23
MILDURA AIRPORT,21/02/2021,7.5,0.2, ,33.8,19.5,61,19,3.76,23.80
MILDURA AIRPORT,22/02/2021,6.9,0.0,28.0,27.5,14.2,75,21,5.27,24.47
MILDURA AIRPORT,23/02/2021,6.5,0.0,12.0,24.5,11.6,64,18,4.95,25.09
MILDURA AIRPORT,24/02/2021,6.0,0.0,4.0,24.8,10.9,57,19,4.08,22.90
MILDURA AIRPORT,25/02/2021,6.5,0.0,12.0,27.4,11.6,60,20,4.08,24.64
MILDURA AIRPORT,26/02/2021,5.1,0.0,8.0,27.0,12.5,83,29,2.55,24.00
MILDURA AIRPORT,27/02/2021, ,0.0,7.2, ,11.2,55,15,1.93,24.38
MILDURA AIRPORT,28/02/2021,7.3,0.0,6.6,35.4,13.7,52,11,3.03,24.16
Totals:,,186.1,0.2,231.7,,,,,, 
