'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOORABBIN AIRPORT Victoria for August 2010,,,,,,,,,,
Issued at 04:30 GMT on Wednesday 01 September 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOORABBIN AIRPORT,01/08/2010,1.7,6.4, ,12.7,7.8,91,64,6.88,8.27
MOORABBIN AIRPORT,02/08/2010,1.7,8.4, ,14.6,5.9,95,65,5.86,12.54
MOORABBIN AIRPORT,03/08/2010,1.3,0.6, ,12.4,9.4,96,65,3.94,7.33
MOORABBIN AIRPORT,04/08/2010,1.2,0.0, ,12.2,8.0,93,70,4.19,6.27
MOORABBIN AIRPORT,05/08/2010,1.4,7.6, ,12.8,5.5,91,71,4.61,10.02
MOORABBIN AIRPORT,06/08/2010,1.2,4.2, ,12.1,7.5,94,74,3.25,11.83
MOORABBIN AIRPORT,07/08/2010,1.7,1.2, ,14.6,3.8,96,45,2.77,11.90
MOORABBIN AIRPORT,08/08/2010,2.2,0.0, ,14.1,3.7,89,50,5.54,13.51
MOORABBIN AIRPORT,09/08/2010,2.1,0.0, ,15.6,5.2,88,45,3.40,13.42
MOORABBIN AIRPORT,10/08/2010,0.8,0.2, ,10.8,3.7,95,84,3.09,4.86
MOORABBIN AIRPORT,11/08/2010,1.1,5.2, ,12.0,6.4,95,72,3.79,5.32
MOORABBIN AIRPORT,12/08/2010,1.7,16.8, ,13.5,8.0,96,69,7.93,12.21
MOORABBIN AIRPORT,13/08/2010,1.5,1.4, ,13.5,9.4,94,64,3.09,10.07
MOORABBIN AIRPORT,14/08/2010,2.7,0.0, ,15.7,6.9,86,54,8.99,9.29
MOORABBIN AIRPORT,15/08/2010,1.6,0.2, ,13.7,10.7,93,71,6.84,7.49
MOORABBIN AIRPORT,16/08/2010,1.9,4.4, ,11.5,7.8,88,58,5.95,11.79
MOORABBIN AIRPORT,17/08/2010,1.7,1.2, ,12.9,4.8,86,63,3.44,14.14
MOORABBIN AIRPORT,18/08/2010,2.0,0.0, ,13.4,3.8,89,59,7.60,5.40
MOORABBIN AIRPORT,19/08/2010,2.9,0.2, ,15.5,9.5,87,42,6.74,13.07
MOORABBIN AIRPORT,20/08/2010,2.5,4.2, ,13.5,6.2,85,51,6.99,11.39
MOORABBIN AIRPORT,21/08/2010,2.2,2.0, ,14.2,7.4,82,59,5.07,12.34
MOORABBIN AIRPORT,22/08/2010,2.8,0.0, ,15.7,6.7,84,48,5.84,15.16
MOORABBIN AIRPORT,23/08/2010,2.9,0.0, ,16.0,5.0,83,45,5.88,13.52
MOORABBIN AIRPORT,24/08/2010,2.5,1.4, ,14.2,8.4,92,54,7.81,12.64
MOORABBIN AIRPORT,25/08/2010,1.8,11.2, ,11.3,4.0,88,64,7.53,8.93
MOORABBIN AIRPORT,26/08/2010,2.0,2.4, ,13.0,6.9,83,63,5.34,11.32
MOORABBIN AIRPORT,27/08/2010,1.6,2.6, ,11.9,7.3,92,70,4.61,12.75
MOORABBIN AIRPORT,28/08/2010,1.7,1.0, ,13.5,7.6,95,68,2.69,13.79
MOORABBIN AIRPORT,29/08/2010,1.9,0.4, ,14.3,7.5,95,53,1.91,15.26
MOORABBIN AIRPORT,30/08/2010, ,0.0, ,17.2,4.5,91,42,3.37, 
MOORABBIN AIRPORT,31/08/2010, ,0.0, ,14.0,8.9,85,57,8.17, 
Totals:,,54.3,83.2, ,,,,,, 
