'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOORABBIN AIRPORT Victoria for February 2014,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 March 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOORABBIN AIRPORT,01/02/2014,5.7,0.0, ,28.4,16.5,93,46,3.30,27.37
MOORABBIN AIRPORT,02/02/2014,7.4,0.0, ,37.9,18.1,100,28,2.54,29.67
MOORABBIN AIRPORT,03/02/2014,6.3,0.0, ,33.4,20.1,81,27,5.98,6.46
MOORABBIN AIRPORT,04/02/2014,7.6,0.2, ,26.3,12.1,74,33,8.83,28.81
MOORABBIN AIRPORT,05/02/2014,8.4,0.0, ,30.1,12.9,67,27,6.67,29.02
MOORABBIN AIRPORT,06/02/2014,7.6,0.0, ,35.3,13.3,81,24,3.24,28.62
MOORABBIN AIRPORT,07/02/2014,8.5,0.0, ,36.5,19.3,85,21,4.53,26.91
MOORABBIN AIRPORT,08/02/2014,8.0,0.0, ,40.0,16.1,92,13,2.71,27.80
MOORABBIN AIRPORT,09/02/2014,13.2,0.0, ,40.5,20.6,73,11,8.72,24.98
MOORABBIN AIRPORT,10/02/2014,6.0,0.0, ,24.5,12.0,80,40,5.51,28.69
MOORABBIN AIRPORT,11/02/2014,5.4,0.0, ,25.1,12.7,84,48,4.39,27.95
MOORABBIN AIRPORT,12/02/2014,5.0,0.0, ,28.8,14.6,91,50,4.13,20.98
MOORABBIN AIRPORT,13/02/2014,3.4,0.0, ,28.1,18.0,83,40,2.64,8.45
MOORABBIN AIRPORT,14/02/2014,3.9,0.0, ,29.0,18.0,72,42,2.75,10.79
MOORABBIN AIRPORT,15/02/2014,4.4,0.0, ,27.6,20.1,91,55,3.64,18.54
MOORABBIN AIRPORT,16/02/2014,4.3,0.4, ,23.0,16.6,96,54,6.67,19.98
MOORABBIN AIRPORT,17/02/2014,5.1,0.4, ,24.9,13.8,83,37,4.04,21.99
MOORABBIN AIRPORT,18/02/2014,6.3,0.0, ,31.0,12.1,88,32,3.47,26.48
MOORABBIN AIRPORT,19/02/2014,4.2,0.0, ,23.6,17.0,87,46,4.97,14.66
MOORABBIN AIRPORT,20/02/2014,4.8,9.4, ,20.5,12.9,75,42,7.41,17.25
MOORABBIN AIRPORT,21/02/2014,4.2,0.0, ,19.9,14.2,78,46,6.01,15.95
MOORABBIN AIRPORT,22/02/2014,3.4,0.2, ,20.6,14.3,77,54,4.94,11.27
MOORABBIN AIRPORT,23/02/2014,4.7,0.0, ,23.0,13.7,86,49,3.58,25.90
MOORABBIN AIRPORT,24/02/2014,4.3,0.0, ,24.8,11.7,93,51,2.65,24.13
MOORABBIN AIRPORT,25/02/2014,7.7,0.0, ,34.6,12.2,92,18,5.49,15.87
MOORABBIN AIRPORT,26/02/2014,3.9,0.0, ,20.7,15.2,94,50,4.78,19.13
MOORABBIN AIRPORT,27/02/2014,4.5,3.2, ,21.9,12.0,83,44,4.67,21.68
MOORABBIN AIRPORT,28/02/2014,4.7,0.0, ,23.7,9.6,84,49,4.42,25.04
Totals:,,162.9,13.8, ,,,,,, 
