'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOORABBIN AIRPORT Victoria for July 2018,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 August 2018,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOORABBIN AIRPORT,01/07/2018,1.0,2.4, ,13.8,1.8,91,59,2.42,9.09
MOORABBIN AIRPORT,02/07/2018,1.3,0.0, ,14.7,0.0,96,50,2.94,9.32
MOORABBIN AIRPORT,03/07/2018,2.2,0.0, ,14.8,5.3,79,57,7.69,6.10
MOORABBIN AIRPORT,04/07/2018,4.3,0.0, ,18.1,11.4,62,38,10.12,5.80
MOORABBIN AIRPORT,05/07/2018,3.6,0.2, ,19.5,12.3,73,38,7.00,2.41
MOORABBIN AIRPORT,06/07/2018,2.4,0.0, ,14.4,10.8,78,46,6.53,8.08
MOORABBIN AIRPORT,07/07/2018,2.0,2.2, ,12.6,8.8,84,58,7.90,6.77
MOORABBIN AIRPORT,08/07/2018,1.4,3.4, ,13.6,8.9,90,70,5.92,7.24
MOORABBIN AIRPORT,09/07/2018,1.3,3.2, ,13.6,9.1,90,63,4.02,7.53
MOORABBIN AIRPORT,10/07/2018,1.4,0.0, ,11.2,9.0,76,62,3.47,5.98
MOORABBIN AIRPORT,11/07/2018,1.6,0.0, ,12.3,5.0,76,56,4.35,7.84
MOORABBIN AIRPORT,12/07/2018,0.7,0.6, ,10.8,4.7,95,75,1.57,6.20
MOORABBIN AIRPORT,13/07/2018,1.0,0.4, ,13.8,4.5,99,62,2.17,8.71
MOORABBIN AIRPORT,14/07/2018,1.6,0.0, ,14.9,4.1,88,47,3.31,9.83
MOORABBIN AIRPORT,15/07/2018,2.8,0.0, ,14.4,6.4,74,44,8.06,9.56
MOORABBIN AIRPORT,16/07/2018,2.7,1.0, ,13.2,7.9,72,47,8.26,5.80
MOORABBIN AIRPORT,17/07/2018,3.3,0.0, ,17.5,8.0,82,40,8.77,9.57
MOORABBIN AIRPORT,18/07/2018,2.8,3.8, ,15.5,6.6,79,49,8.60,10.15
MOORABBIN AIRPORT,19/07/2018,3.0,0.0, ,16.8,8.5,88,43,8.95,6.59
MOORABBIN AIRPORT,20/07/2018,1.7,5.4, ,11.6,7.1,86,59,5.91,7.15
MOORABBIN AIRPORT,21/07/2018,1.7,0.2, ,13.5,6.2,85,52,4.00,8.41
MOORABBIN AIRPORT,22/07/2018,2.6,0.0, ,15.1,8.0,75,41,5.90,10.31
MOORABBIN AIRPORT,23/07/2018,3.9,0.0, ,15.2,8.5,70,35,11.06,6.22
MOORABBIN AIRPORT,24/07/2018,2.2,0.2, ,15.0,8.9,88,58,8.53,7.14
MOORABBIN AIRPORT,25/07/2018,1.9,7.4, ,15.1,7.8,83,52,4.25,9.60
MOORABBIN AIRPORT,26/07/2018,1.9,0.4, ,15.1,7.2,90,49,4.19,9.61
MOORABBIN AIRPORT,27/07/2018,2.7,0.0, ,18.8,9.2,81,43,5.01,10.95
MOORABBIN AIRPORT,28/07/2018,2.1,0.0, ,19.3,6.6,88,44,3.18,10.62
MOORABBIN AIRPORT,29/07/2018,2.3,3.0, ,14.0,10.8,89,51,7.54,6.66
MOORABBIN AIRPORT,30/07/2018,2.2,0.0, ,13.4,7.8,86,52,7.38,6.98
MOORABBIN AIRPORT,31/07/2018,3.2,0.0, ,16.2,8.7,71,48,8.89,9.29
Totals:,,68.8,33.8, ,,,,,, 
