'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOORABBIN AIRPORT Victoria for June 2023,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 July 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOORABBIN AIRPORT,01/06/2023,1.6,0.2, ,14.8,11.8,93,49,3.98,8.67
MOORABBIN AIRPORT,02/06/2023,1.3,0.0, ,15.4,4.5,89,51,2.39,8.96
MOORABBIN AIRPORT,03/06/2023,1.0,4.6, ,15.0,7.4,96,69,2.36,6.07
MOORABBIN AIRPORT,04/06/2023,1.2,0.0, ,18.1,7.1,98,63,2.58,8.77
MOORABBIN AIRPORT,05/06/2023,1.6,0.0, ,20.2,7.9,96,52,2.93,8.67
MOORABBIN AIRPORT,06/06/2023,1.3,0.2, ,18.5,9.7,96,70,4.20,6.50
MOORABBIN AIRPORT,07/06/2023,1.7,0.2, ,20.0,10.4,91,72,6.70,3.60
MOORABBIN AIRPORT,08/06/2023,2.1,11.0, ,17.3,13.2,94,51,6.30,6.68
MOORABBIN AIRPORT,09/06/2023,2.1,4.6, ,14.9,9.4,88,45,5.76,8.66
MOORABBIN AIRPORT,10/06/2023,1.8,0.0, ,15.2,8.3,82,62,5.86,6.50
MOORABBIN AIRPORT,11/06/2023,2.1,0.0, ,17.6,10.5,79,50,4.33,6.78
MOORABBIN AIRPORT,12/06/2023,1.9,0.0, ,15.7,10.3,80,54,4.79,7.06
MOORABBIN AIRPORT,13/06/2023,1.8,0.0, ,14.7,9.9,80,66,6.41,6.15
MOORABBIN AIRPORT,14/06/2023,1.6,1.8, ,15.0,9.3,90,57,4.63,6.28
MOORABBIN AIRPORT,15/06/2023,1.7,0.0, ,15.2,9.0,84,68,6.45,4.19
MOORABBIN AIRPORT,16/06/2023,3.0,0.0, ,18.7,10.4,85,45,7.78,9.06
MOORABBIN AIRPORT,17/06/2023,3.0,0.0, ,17.5,11.3,91,43,9.50,8.40
MOORABBIN AIRPORT,18/06/2023,2.0,10.6, ,14.7,7.1,89,50,6.40,8.52
MOORABBIN AIRPORT,19/06/2023,1.3,13.8, ,11.2,7.2,93,63,5.43,6.77
MOORABBIN AIRPORT,20/06/2023,0.9,0.6, ,12.1,5.4,93,66,2.85,7.51
MOORABBIN AIRPORT,21/06/2023,1.1,0.2, ,12.1,3.9,93,55,2.81,8.73
MOORABBIN AIRPORT,22/06/2023,1.4,0.0, ,14.4,6.0,91,47,3.16,7.03
MOORABBIN AIRPORT,23/06/2023,0.9,3.8, ,11.1,7.1,91,73,3.20,6.72
MOORABBIN AIRPORT,24/06/2023,2.1,1.8, ,15.1,6.3,86,54,7.33,8.88
MOORABBIN AIRPORT,25/06/2023,2.3,1.0, ,12.6,8.7,77,55,8.47,4.20
MOORABBIN AIRPORT,26/06/2023,1.6,0.0, ,14.1,9.9,83,65,5.81,6.78
MOORABBIN AIRPORT,27/06/2023,1.7,0.6, ,14.7,5.4,91,55,5.62,8.50
MOORABBIN AIRPORT,28/06/2023,0.9,0.4, ,12.0,8.7,95,73,3.90,4.43
MOORABBIN AIRPORT,29/06/2023,1.2,7.2, ,12.4,6.2,92,67,4.94,7.12
MOORABBIN AIRPORT,30/06/2023,1.2,0.0, ,13.9,8.0,91,75,5.60,7.02
Totals:,,49.4,62.6, ,,,,,, 
