'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MORTLAKE RACECOURSE Victoria for August 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MORTLAKE RACECOURSE,01/08/2009,1.3,0.8, ,14.6,7.5,98,76,5.19,11.00
MORTLAKE RACECOURSE,02/08/2009,1.7,0.6, ,14.2,6.8,99,65,8.79,9.06
MORTLAKE RACECOURSE,03/08/2009,1.5,4.8, ,11.9,2.9,97,58,4.76,12.73
MORTLAKE RACECOURSE,04/08/2009,1.3,0.0, ,13.3,4.9,99,69,4.14,10.65
MORTLAKE RACECOURSE,05/08/2009,1.5,1.6, ,14.5,3.4,99,66,4.55,11.77
MORTLAKE RACECOURSE,06/08/2009,2.9,0.0, ,17.8,8.2,90,44,7.08,8.58
MORTLAKE RACECOURSE,07/08/2009,2.1,5.0, ,11.8,7.2,96,44,6.59,12.49
MORTLAKE RACECOURSE,08/08/2009,1.7,0.0, ,13.5,1.1,96,59,4.33,13.62
MORTLAKE RACECOURSE,09/08/2009,1.6,0.2, ,12.6,3.0,87,61,4.10,11.42
MORTLAKE RACECOURSE,10/08/2009,1.6,1.2, ,13.0,6.5,95,65,5.79,9.65
MORTLAKE RACECOURSE,11/08/2009,1.1,3.8, ,13.0,8.2,99,80,5.10,9.05
MORTLAKE RACECOURSE,12/08/2009,1.1,0.2, ,15.3,4.1,99,80,1.54,11.67
MORTLAKE RACECOURSE,13/08/2009,1.2,0.0, ,15.2,8.5,99,76,2.28,10.66
MORTLAKE RACECOURSE,14/08/2009,1.7,1.4, ,16.9,3.3,99,67,3.64,14.47
MORTLAKE RACECOURSE,15/08/2009,3.5,0.0, ,19.3,8.6,90,49,9.77,13.46
MORTLAKE RACECOURSE,16/08/2009,2.3,4.4, ,13.2,11.1,96,52,9.67,8.91
MORTLAKE RACECOURSE,17/08/2009,2.0,5.6, ,13.9,5.4,97,58,6.30,13.54
MORTLAKE RACECOURSE,18/08/2009,1.8,0.4, ,16.0,4.6,99,65,4.46,12.31
MORTLAKE RACECOURSE,19/08/2009,2.9,0.0, ,18.2,7.7,91,51,6.70,15.11
MORTLAKE RACECOURSE,20/08/2009,1.9,3.0, ,17.1,8.8,97,64,3.10,13.80
MORTLAKE RACECOURSE,21/08/2009,1.9,7.6, ,12.9,10.2,95,63,7.60,11.49
MORTLAKE RACECOURSE,22/08/2009,2.3,1.4, ,14.4,3.1,98,55,6.73,14.88
MORTLAKE RACECOURSE,23/08/2009,2.6,1.4, ,16.4,8.0,92,57,8.49,12.89
MORTLAKE RACECOURSE,24/08/2009,2.1,7.0, ,13.6,6.8,98,61,9.55,12.30
MORTLAKE RACECOURSE,25/08/2009,1.7,7.6, ,12.5,4.4,95,70,10.30,11.00
MORTLAKE RACECOURSE,26/08/2009,2.1,7.6, ,14.1,4.7,93,66,9.83,11.43
MORTLAKE RACECOURSE,27/08/2009,1.9,0.2, ,15.0,8.9,96,73,9.18,12.47
MORTLAKE RACECOURSE,28/08/2009,2.2,1.0, ,17.4,7.2,99,66,6.01,14.09
MORTLAKE RACECOURSE,29/08/2009,1.3,7.8, ,13.7,9.8,99,80,5.54,9.70
MORTLAKE RACECOURSE,30/08/2009,1.8,7.8, ,13.5,4.0,94,71,7.18,13.75
MORTLAKE RACECOURSE,31/08/2009,2.0,1.0, ,14.5,7.6,97,68,7.06,13.80
Totals:,,58.6,83.4, ,,,,,, 
