'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MORTLAKE RACECOURSE Victoria for May 2010,,,,,,,,,,
Issued at 04:44 GMT on Monday 26 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MORTLAKE RACECOURSE,01/05/2010,2.7,0.0, ,21.7,5.3,99,54,4.58,15.67
MORTLAKE RACECOURSE,02/05/2010,1.8,0.4, ,16.6,9.0,98,58,3.38,14.04
MORTLAKE RACECOURSE,03/05/2010,2.3,0.0, ,20.8,0.8,99,52,3.36,14.49
MORTLAKE RACECOURSE,04/05/2010,2.6,0.0, ,18.4,6.8,95,49,6.68,7.98
MORTLAKE RACECOURSE,05/05/2010,1.6,4.4, ,14.9,4.9,98,67,4.90,12.74
MORTLAKE RACECOURSE,06/05/2010,1.5,2.6, ,16.0,7.8,99,63,3.01,12.99
MORTLAKE RACECOURSE,07/05/2010,1.2,0.0, ,18.0,8.0,99,86,6.04,11.81
MORTLAKE RACECOURSE,08/05/2010,1.5,4.4, ,17.3,5.9,99,68,3.22,11.85
MORTLAKE RACECOURSE,09/05/2010,1.8,0.0, ,20.0,10.9,99,65,4.11,12.18
MORTLAKE RACECOURSE,10/05/2010,3.4,0.2, ,21.5,9.4,97,41,6.67,13.97
MORTLAKE RACECOURSE,11/05/2010,1.4,9.6, ,11.8,5.8,99,64,5.34,13.31
MORTLAKE RACECOURSE,12/05/2010,1.1,3.2, ,13.7,4.4,99,72,2.94,12.72
MORTLAKE RACECOURSE,13/05/2010,0.9,0.2, ,14.1,4.3,99,79,1.88,10.89
MORTLAKE RACECOURSE,14/05/2010,0.9,0.4, ,14.1,3.5,99,76,0.85,12.00
MORTLAKE RACECOURSE,15/05/2010,1.3,0.0, ,16.3,1.2,99,60,1.84,13.08
MORTLAKE RACECOURSE,16/05/2010,1.1,0.0, ,16.5,1.9,99,62,1.19,12.74
MORTLAKE RACECOURSE,17/05/2010,1.2,0.2, ,17.0,3.1,99,56,1.26,13.13
MORTLAKE RACECOURSE,18/05/2010,1.5,0.0, ,17.4,1.4,99,55,2.01,13.22
MORTLAKE RACECOURSE,19/05/2010,1.2,0.0, ,17.3,1.7,99,63,1.40,12.88
MORTLAKE RACECOURSE,20/05/2010,1.1,0.2, ,16.3,3.3,99,67,1.73,12.49
MORTLAKE RACECOURSE,21/05/2010,1.1,0.0, ,14.3,5.2,99,52,1.73,11.77
MORTLAKE RACECOURSE,22/05/2010,0.9,0.0, ,13.9,-1.9,99,66,1.92,11.85
MORTLAKE RACECOURSE,23/05/2010,1.6,0.2, ,15.9,-0.2,99,50,3.09,12.71
MORTLAKE RACECOURSE,24/05/2010,1.2,0.0, ,12.9,3.8,99,66,4.99,7.27
MORTLAKE RACECOURSE,25/05/2010,0.9,2.6, ,15.1,10.8,99,84,3.43,8.96
MORTLAKE RACECOURSE,26/05/2010,0.9,0.0, ,15.1,9.7,99,78,2.70,7.36
MORTLAKE RACECOURSE,27/05/2010,1.2,0.2, ,17.8,8.4,99,65,2.76,9.94
MORTLAKE RACECOURSE,28/05/2010,0.9,1.2, ,14.6,8.8,99,82,5.15,7.48
MORTLAKE RACECOURSE,29/05/2010,0.7,0.4, ,14.1,10.0,99,86,2.52,7.89
MORTLAKE RACECOURSE,30/05/2010,1.3,0.8, ,17.7,11.0,99,76,5.66,8.86
MORTLAKE RACECOURSE,31/05/2010,1.1,0.6, ,16.5,4.3,99,66,2.55,11.04
Totals:,,43.9,31.8, ,,,,,, 
