'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MORTLAKE RACECOURSE Victoria for November 2018,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 December 2018,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MORTLAKE RACECOURSE,01/11/2018,6.6,0.0, ,33.4,11.7,100,22,5.11,12.34
MORTLAKE RACECOURSE,02/11/2018,7.5,0.6, ,27.1,16.3,81,24,8.43,21.09
MORTLAKE RACECOURSE,03/11/2018,2.9,0.0, ,16.9,7.3,92,55,4.87,13.65
MORTLAKE RACECOURSE,04/11/2018,3.5,0.0, ,21.4,4.6,100,51,3.05,19.62
MORTLAKE RACECOURSE,05/11/2018,3.7,8.0, ,24.2,11.3,100,62,4.62,17.93
MORTLAKE RACECOURSE,06/11/2018,3.3,10.4, ,20.3,10.4,100,46,3.51,14.85
MORTLAKE RACECOURSE,07/11/2018,3.2,0.4, ,15.1,3.1,100,48,5.06,20.24
MORTLAKE RACECOURSE,08/11/2018,3.0,1.2, ,16.3,2.8,100,52,3.08,19.90
MORTLAKE RACECOURSE,09/11/2018,3.1,1.0, ,18.6,7.6,100,56,3.65,17.20
MORTLAKE RACECOURSE,10/11/2018,2.9,0.2, ,17.3,7.2,100,58,2.52,17.55
MORTLAKE RACECOURSE,11/11/2018,4.2,0.0, ,21.6,2.7,100,50,2.27,27.51
MORTLAKE RACECOURSE,12/11/2018,5.9,0.0, ,31.6,9.7,100,20,3.49,17.64
MORTLAKE RACECOURSE,13/11/2018,5.0,0.0, ,29.0,13.5,100,36,3.80,17.41
MORTLAKE RACECOURSE,14/11/2018,2.3,0.4, ,18.6,11.5,100,65,3.38,10.25
MORTLAKE RACECOURSE,15/11/2018,3.7,0.2, ,18.8,5.1,100,44,2.64,23.02
MORTLAKE RACECOURSE,16/11/2018,4.5,0.0, ,19.9,1.0,100,38,2.96,29.61
MORTLAKE RACECOURSE,17/11/2018,4.5,0.0, ,20.8,0.4,100,45,3.42,29.60
MORTLAKE RACECOURSE,18/11/2018,6.6,0.0, ,29.3,2.1,100,23,3.47,28.36
MORTLAKE RACECOURSE,19/11/2018,7.8,0.0, ,31.8,10.7,96,18,5.10,25.31
MORTLAKE RACECOURSE,20/11/2018,3.1,0.0, ,20.9,19.4,100,32,3.84,8.26
MORTLAKE RACECOURSE,21/11/2018,4.0,3.0, ,21.5,4.7,100,34,3.99,16.15
MORTLAKE RACECOURSE,22/11/2018,2.2,2.8, ,14.7,5.5,100,61,4.78,10.70
MORTLAKE RACECOURSE,23/11/2018,1.8,5.2, ,12.7,8.7,100,68,6.63,8.21
MORTLAKE RACECOURSE,24/11/2018,2.6,5.6, ,16.3,9.9,100,61,4.45,14.16
MORTLAKE RACECOURSE,25/11/2018,2.0,0.4, ,16.1,10.3,100,76,3.53,11.27
MORTLAKE RACECOURSE,26/11/2018,2.7,0.2, ,18.5,8.5,100,63,2.39,15.11
MORTLAKE RACECOURSE,27/11/2018,2.8,0.0, ,18.6,6.7,100,63,3.31,15.92
MORTLAKE RACECOURSE,28/11/2018,2.7,0.0, ,18.8,11.2,100,67,4.97,14.46
MORTLAKE RACECOURSE,29/11/2018,2.5,0.0, ,18.1,11.1,100,65,2.56,13.02
MORTLAKE RACECOURSE,30/11/2018,3.2,0.0, ,20.0,7.6,100,50,2.21,17.64
Totals:,,113.8,39.6, ,,,,,, 
