'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MORTLAKE RACECOURSE Victoria for September 2022,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 October 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MORTLAKE RACECOURSE,01/09/2022,1.7,0.0, ,15.7,5.2,100,63,3.22,10.33
MORTLAKE RACECOURSE,02/09/2022,1.6,6.6, ,12.4,1.4,100,59,2.70,13.02
MORTLAKE RACECOURSE,03/09/2022,1.5,0.4, ,13.9,2.5,100,73,2.80,12.45
MORTLAKE RACECOURSE,04/09/2022,1.4,0.2, ,12.8,2.1,100,72,2.64,11.30
MORTLAKE RACECOURSE,05/09/2022,1.7,0.0, ,14.6,1.1,100,57,2.09,12.85
MORTLAKE RACECOURSE,06/09/2022,2.1,0.0, ,16.3,3.5,100,63,3.91,14.66
MORTLAKE RACECOURSE,07/09/2022,2.9,0.0, ,20.1,5.8,100,48,3.96,15.42
MORTLAKE RACECOURSE,08/09/2022,0.7,1.2, ,14.9,9.6,100,95,4.98,4.27
MORTLAKE RACECOURSE,09/09/2022,2.7,7.2, ,20.1,9.3,100,58,4.37,14.99
MORTLAKE RACECOURSE,10/09/2022,1.9,4.4, ,13.4,9.9,100,61,5.13,11.39
MORTLAKE RACECOURSE,11/09/2022,2.3,0.0, ,16.0,6.8,100,61,4.91,14.72
MORTLAKE RACECOURSE,12/09/2022,2.0,1.2, ,13.4,3.0,100,56,3.24,14.98
MORTLAKE RACECOURSE,13/09/2022,2.2,0.2, ,14.6,0.1,100,45,2.20,16.62
MORTLAKE RACECOURSE,14/09/2022,2.8,0.0, ,16.4,2.3,100,49,5.96,15.05
MORTLAKE RACECOURSE,15/09/2022,2.8,6.6, ,18.7,8.9,100,44,3.79,13.84
MORTLAKE RACECOURSE,16/09/2022,1.4,0.2, ,14.5,5.2,100,74,4.48,7.50
MORTLAKE RACECOURSE,17/09/2022,1.3,5.4, ,12.9,6.5,100,79,7.77,8.32
MORTLAKE RACECOURSE,18/09/2022,1.9,3.0, ,14.7,8.5,100,70,5.86,12.10
MORTLAKE RACECOURSE,19/09/2022,1.7,14.4, ,14.8,4.6,100,75,3.35,12.94
MORTLAKE RACECOURSE,20/09/2022,2.5,0.8, ,17.8,4.8,100,56,4.60,13.58
MORTLAKE RACECOURSE,21/09/2022,2.2,2.6, ,19.3,10.6,100,57,2.74,10.92
MORTLAKE RACECOURSE,22/09/2022,1.6,0.0, ,17.4,11.4,100,79,1.97,9.32
MORTLAKE RACECOURSE,23/09/2022,1.8,0.0, ,15.4,11.0,100,70,3.04,10.36
MORTLAKE RACECOURSE,24/09/2022,2.5,0.0, ,13.8,3.8,100,51,3.29,19.06
MORTLAKE RACECOURSE,25/09/2022,2.7,0.0, ,18.2,0.9,100,46,2.56,17.48
MORTLAKE RACECOURSE,26/09/2022,0.9,3.4, ,13.8,10.3,100,100,2.32,6.18
MORTLAKE RACECOURSE,27/09/2022,1.2,12.4, ,15.1,9.7,100,91,4.55,8.95
MORTLAKE RACECOURSE,28/09/2022,1.5,0.2, ,14.2,9.7,100,74,4.17,7.53
MORTLAKE RACECOURSE,29/09/2022,2.0,0.0, ,15.5,6.3,100,69,2.76,14.29
MORTLAKE RACECOURSE,30/09/2022,2.0,0.0, ,16.1,5.2,100,69,4.11,11.94
Totals:,,57.5,70.4, ,,,,,, 
