'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MORWELL (LATROBE VALLEY AIRPORT) Victoria for October 2018,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 November 2018,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MORWELL (LATROBE VALLEY AIRPORT),01/10/2018,3.5,0.0, ,21.7,3.6,92,41,2.38,21.04
MORWELL (LATROBE VALLEY AIRPORT),02/10/2018,2.8,0.0, ,19.5,8.0,88,52,2.90,14.22
MORWELL (LATROBE VALLEY AIRPORT),03/10/2018,2.6,0.0, ,19.1,9.9,91,62,4.80,10.71
MORWELL (LATROBE VALLEY AIRPORT),04/10/2018,2.5,0.0, ,16.0,3.8,91,52,2.75,15.12
MORWELL (LATROBE VALLEY AIRPORT),05/10/2018,3.4,0.0, ,18.6,6.3,93,42,3.61,19.30
MORWELL (LATROBE VALLEY AIRPORT),06/10/2018,3.6,0.2, ,22.5,3.1,95,39,1.81,22.29
MORWELL (LATROBE VALLEY AIRPORT),07/10/2018,4.3,0.0, ,23.6,2.4,94,31,2.90,22.68
MORWELL (LATROBE VALLEY AIRPORT),08/10/2018,4.7,0.0, ,25.6,11.2,95,28,2.95,22.53
MORWELL (LATROBE VALLEY AIRPORT),09/10/2018,1.7,0.0, ,17.4,11.8,94,73,3.00,6.77
MORWELL (LATROBE VALLEY AIRPORT),10/10/2018,2.5,9.8, ,13.9,9.1,91,52,5.13,11.57
MORWELL (LATROBE VALLEY AIRPORT),11/10/2018,3.7,0.0, ,17.3,9.1,84,48,5.13,20.75
MORWELL (LATROBE VALLEY AIRPORT),12/10/2018,4.1,0.0, ,18.9,8.8,88,43,4.59,23.57
MORWELL (LATROBE VALLEY AIRPORT),13/10/2018,4.3,0.0, ,23.1,5.4,94,34,2.62,23.90
MORWELL (LATROBE VALLEY AIRPORT),14/10/2018,3.6,0.0, ,25.4,6.4,95,32,1.86,16.45
MORWELL (LATROBE VALLEY AIRPORT),15/10/2018,4.0,0.4, ,28.3,7.7,93,34,1.96,17.07
MORWELL (LATROBE VALLEY AIRPORT),16/10/2018,2.5,0.8, ,25.5,14.1,91,48,2.24,6.44
MORWELL (LATROBE VALLEY AIRPORT),17/10/2018,2.3,3.0, ,21.7,14.6,94,67,1.79,11.15
MORWELL (LATROBE VALLEY AIRPORT),18/10/2018,2.2,9.6, ,20.5,12.6,96,61,1.99,10.10
MORWELL (LATROBE VALLEY AIRPORT),19/10/2018,4.1,0.2, ,26.3,8.7,95,42,1.91,21.94
MORWELL (LATROBE VALLEY AIRPORT),20/10/2018,1.9,0.4, ,15.9,12.2,91,68,5.16,6.10
MORWELL (LATROBE VALLEY AIRPORT),21/10/2018,3.0,5.6, ,18.8,7.4,93,56,3.15,16.74
MORWELL (LATROBE VALLEY AIRPORT),22/10/2018,4.5,0.0, ,26.5,4.0,95,30,1.85,24.46
MORWELL (LATROBE VALLEY AIRPORT),23/10/2018,3.1,0.0, ,19.7,8.6,91,57,5.33,13.15
MORWELL (LATROBE VALLEY AIRPORT),24/10/2018,3.2,0.0, ,17.8,2.6,92,39,2.07,20.08
MORWELL (LATROBE VALLEY AIRPORT),25/10/2018,4.8,0.0, ,22.5,3.0,91,32,4.05,23.52
MORWELL (LATROBE VALLEY AIRPORT),26/10/2018,3.3,0.0, ,18.9,5.9,90,53,5.39,15.83
MORWELL (LATROBE VALLEY AIRPORT),27/10/2018,3.3,0.0, ,18.7,8.0,91,56,7.19,14.09
MORWELL (LATROBE VALLEY AIRPORT),28/10/2018,3.8,0.0, ,18.9,0.7,91,45,3.41,23.96
MORWELL (LATROBE VALLEY AIRPORT),29/10/2018,4.2,0.0, ,20.5,7.5,82,39,2.49,24.89
MORWELL (LATROBE VALLEY AIRPORT),30/10/2018,5.9,0.0, ,26.5,3.2,93,24,3.98,26.04
MORWELL (LATROBE VALLEY AIRPORT),31/10/2018,3.1,0.0, ,21.7,9.9,91,59,3.44,14.77
Totals:,,106.5,30, ,,,,,, 
