'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MORWELL (LATROBE VALLEY AIRPORT) Victoria for June 2020,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 July 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MORWELL (LATROBE VALLEY AIRPORT),01/06/2020,1.0,0.2, ,12.3,5.0,95,71,4.07,5.76
MORWELL (LATROBE VALLEY AIRPORT),02/06/2020,1.1,0.8, ,13.0,7.6,94,77,7.23,6.23
MORWELL (LATROBE VALLEY AIRPORT),03/06/2020,1.6,4.4, ,13.4,8.7,88,60,5.44,8.20
MORWELL (LATROBE VALLEY AIRPORT),04/06/2020,0.8,0.0, ,14.1,6.8,95,60,1.29,8.39
MORWELL (LATROBE VALLEY AIRPORT),05/06/2020,1.0,0.0, ,12.9,-0.3,97,63,2.84,9.16
MORWELL (LATROBE VALLEY AIRPORT),06/06/2020,0.7,0.0, ,11.4,4.3,94,81,3.10,3.99
MORWELL (LATROBE VALLEY AIRPORT),07/06/2020,0.8,0.2, ,12.3,3.5,96,62,1.57,7.10
MORWELL (LATROBE VALLEY AIRPORT),08/06/2020,0.8,0.2, ,13.6,-2.1,97,54,1.26,8.99
MORWELL (LATROBE VALLEY AIRPORT),09/06/2020,0.5,0.0, ,13.6,-2.5,98,52,0.62,9.09
MORWELL (LATROBE VALLEY AIRPORT),10/06/2020,0.6,0.0, ,15.4,-0.8,97,49,0.66,8.96
MORWELL (LATROBE VALLEY AIRPORT),11/06/2020,0.8,0.2, ,14.4,1.1,99,61,1.57,8.88
MORWELL (LATROBE VALLEY AIRPORT),12/06/2020,0.6,0.2, ,15.5,-0.4,98,60,0.88,8.78
MORWELL (LATROBE VALLEY AIRPORT),13/06/2020,0.6,0.2, ,13.8,0.1,99,69,1.13,7.45
MORWELL (LATROBE VALLEY AIRPORT),14/06/2020,1.8,7.0, ,14.7,2.0,98,51,6.04,8.24
MORWELL (LATROBE VALLEY AIRPORT),15/06/2020,2.1,0.0, ,18.4,10.5,87,59,6.21,5.94
MORWELL (LATROBE VALLEY AIRPORT),16/06/2020,1.8,0.0, ,17.1,11.8,94,59,6.31,5.95
MORWELL (LATROBE VALLEY AIRPORT),17/06/2020,0.9,1.6, ,14.6,3.3,97,52,1.78,8.88
MORWELL (LATROBE VALLEY AIRPORT),18/06/2020,0.8,0.0, ,14.6,-0.4,98,60,1.60,8.97
MORWELL (LATROBE VALLEY AIRPORT),19/06/2020,0.9,0.2, ,15.6,0.7,99,57,1.57,6.84
MORWELL (LATROBE VALLEY AIRPORT),20/06/2020,0.7,2.6, ,15.4,4.0,98,75,1.90,6.59
MORWELL (LATROBE VALLEY AIRPORT),21/06/2020,0.6,0.2, ,12.8,4.3,100,77,2.22,7.47
MORWELL (LATROBE VALLEY AIRPORT),22/06/2020,0.8,3.4, ,11.5,5.1,96,79,4.74,4.84
MORWELL (LATROBE VALLEY AIRPORT),23/06/2020,0.9,9.0, ,13.9,8.4,96,80,4.47,6.93
MORWELL (LATROBE VALLEY AIRPORT),24/06/2020,0.7,0.8, ,15.5,8.0,100,79,2.29,8.12
MORWELL (LATROBE VALLEY AIRPORT),25/06/2020,1.3,0.2, ,15.7,7.6,100,58,3.97,8.15
MORWELL (LATROBE VALLEY AIRPORT),26/06/2020,0.9,1.0, ,12.8,7.2,98,73,3.87,7.54
MORWELL (LATROBE VALLEY AIRPORT),27/06/2020,0.5,0.2, ,13.5,0.0,100,50,0.66,8.89
MORWELL (LATROBE VALLEY AIRPORT),28/06/2020,0.5,0.2, ,12.9,-1.1,100,59,0.54,9.09
MORWELL (LATROBE VALLEY AIRPORT),29/06/2020,0.5,0.2, ,12.3,-0.8,100,72,1.13,8.74
MORWELL (LATROBE VALLEY AIRPORT),30/06/2020,0.6,0.2, ,12.8,-0.3,100,70,1.18,8.32
Totals:,,27.2,33.2, ,,,,,, 
