'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MORWELL (LATROBE VALLEY AIRPORT) Victoria for January 2022,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 February 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MORWELL (LATROBE VALLEY AIRPORT),01/01/2022, , , ,37.7, ,83,18,2.66,26.78
MORWELL (LATROBE VALLEY AIRPORT),02/01/2022,7.3,0.0, ,34.2,15.9,83,27,3.73,24.96
MORWELL (LATROBE VALLEY AIRPORT),03/01/2022,5.4,0.0, ,26.5,13.0,85,40,3.46,24.07
MORWELL (LATROBE VALLEY AIRPORT),04/01/2022,3.2,0.0, ,24.0,15.3,94,62,3.62,13.03
MORWELL (LATROBE VALLEY AIRPORT),05/01/2022,1.5,0.6, ,20.1,16.6,93,82,6.31,2.62
MORWELL (LATROBE VALLEY AIRPORT),06/01/2022,3.4,20.0, ,25.8,17.8,92,70,4.56,13.92
MORWELL (LATROBE VALLEY AIRPORT),07/01/2022,3.4,0.2, ,26.8,16.0,94,64,2.56,14.34
MORWELL (LATROBE VALLEY AIRPORT),08/01/2022,3.3,17.0, ,23.5,17.9,92,62,5.23,11.18
MORWELL (LATROBE VALLEY AIRPORT),09/01/2022,3.9,0.0, ,26.1,12.6,90,58,2.27,18.67
MORWELL (LATROBE VALLEY AIRPORT),10/01/2022,6.5,0.0, ,31.9,16.2,95,17,2.59,26.32
MORWELL (LATROBE VALLEY AIRPORT),11/01/2022,5.4,0.0, ,27.5,16.4,92,47,3.46,24.51
MORWELL (LATROBE VALLEY AIRPORT),12/01/2022,2.4,0.8, ,22.7,17.3,94,68,5.11,6.08
MORWELL (LATROBE VALLEY AIRPORT),13/01/2022,5.0,0.6, ,26.4,17.2,94,57,5.50,22.90
MORWELL (LATROBE VALLEY AIRPORT),14/01/2022,3.5,0.0, ,28.3,17.1,93,59,3.38,12.29
MORWELL (LATROBE VALLEY AIRPORT),15/01/2022,3.8,29.6, ,24.6,18.4,95,64,5.34,16.27
MORWELL (LATROBE VALLEY AIRPORT),16/01/2022,6.4,0.0, ,29.4,14.2,91,34,3.11,29.45
MORWELL (LATROBE VALLEY AIRPORT),17/01/2022,3.7,0.0, ,24.0,15.7,93,55,5.36,12.22
MORWELL (LATROBE VALLEY AIRPORT),18/01/2022,4.5,0.0, ,22.7,14.8,82,44,3.54,20.06
MORWELL (LATROBE VALLEY AIRPORT),19/01/2022,3.4,4.6, ,20.9,14.9,95,54,4.66,13.69
MORWELL (LATROBE VALLEY AIRPORT),20/01/2022,5.7,0.0, ,23.5,13.2,91,48,5.67,30.45
MORWELL (LATROBE VALLEY AIRPORT),21/01/2022,6.4,0.0, ,27.5,12.1,94,33,3.90,30.38
MORWELL (LATROBE VALLEY AIRPORT),22/01/2022,6.5,0.0, ,29.6,13.1,94,36,3.39,30.25
MORWELL (LATROBE VALLEY AIRPORT),23/01/2022,6.8,0.0, ,30.7,14.5,93,37,3.88,30.14
MORWELL (LATROBE VALLEY AIRPORT),24/01/2022,6.6,0.0, ,32.1,15.0,94,34,2.94,28.74
MORWELL (LATROBE VALLEY AIRPORT),25/01/2022,6.4,0.0, ,33.4,14.3,96,31,2.68,26.66
MORWELL (LATROBE VALLEY AIRPORT),26/01/2022,5.9,0.0, ,29.5,16.7,94,51,4.42,27.03
MORWELL (LATROBE VALLEY AIRPORT),27/01/2022,3.2,0.0, ,28.0,17.1,93,64,2.56,12.60
MORWELL (LATROBE VALLEY AIRPORT),28/01/2022,4.4,6.6, ,32.8,17.1,95,50,3.55,13.47
MORWELL (LATROBE VALLEY AIRPORT),29/01/2022,2.0,34.8, ,22.8,17.2,95,73,3.22,7.06
MORWELL (LATROBE VALLEY AIRPORT),30/01/2022,2.6,5.2, ,24.0,17.8,95,73,4.41,10.42
MORWELL (LATROBE VALLEY AIRPORT),31/01/2022,5.3,0.2, ,29.4,18.2,95,60,3.82,25.51
Totals:,,137.8,120.2, ,,,,,, 
