'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOUNT BAW BAW Victoria for November 2012,,,,,,,,,,
Issued at 22:38 GMT on Saturday 01 December 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOUNT BAW BAW,01/11/2012,1.8,7.2, ,1.2,-0.2,99,40,8.28,14.79
MOUNT BAW BAW,02/11/2012,2.2,19.2, ,6.9,-1.6,99,59,4.17,19.81
MOUNT BAW BAW,03/11/2012,3.7,0.2, ,13.0,-1.3,91,29,2.77,26.84
MOUNT BAW BAW,04/11/2012,4.4,0.0, ,16.4,6.5,79,43,3.49,28.22
MOUNT BAW BAW,05/11/2012,4.6,0.0, ,18.3,9.5,73,37,5.20,20.87
MOUNT BAW BAW,06/11/2012,3.8,0.0, ,18.3,11.6,99,48,4.75,19.40
MOUNT BAW BAW,07/11/2012,2.2,8.4, ,10.5,9.3,99,75,2.52,15.27
MOUNT BAW BAW,08/11/2012,2.4,2.2, ,11.7,2.7,99,80,2.98,19.48
MOUNT BAW BAW,09/11/2012,2.0,9.8, ,3.9,0.8,99,72,6.13,22.80
MOUNT BAW BAW,10/11/2012,3.3,11.6, ,8.8,-1.3,99,42,2.04,28.66
MOUNT BAW BAW,11/11/2012,4.5,0.0, ,14.9,-0.5,68,29,3.05,30.95
MOUNT BAW BAW,12/11/2012,3.8,0.0, ,15.0,7.8,99,45,6.67,22.97
MOUNT BAW BAW,13/11/2012,3.3,1.2, ,8.9,-1.9,99,58,1.96,30.10
MOUNT BAW BAW,14/11/2012,3.5,0.0, ,11.8,-1.6,99,43,2.66,28.40
MOUNT BAW BAW,15/11/2012,3.1,0.0, ,8.0,2.4,99,35,4.10,23.84
MOUNT BAW BAW,16/11/2012,1.4,2.8, ,3.7,-0.9,99,99,5.84,21.88
MOUNT BAW BAW,17/11/2012,2.6,0.2, ,8.6,-1.3,99,67,2.54,23.04
MOUNT BAW BAW,18/11/2012,1.5,0.0, ,3.0,-0.6,99,99,4.48,20.78
MOUNT BAW BAW,19/11/2012,3.6,4.8, ,10.6,-0.6,99,55,3.27,31.93
MOUNT BAW BAW,20/11/2012,4.9,0.0, ,16.8,2.4,78,26,3.06,30.72
MOUNT BAW BAW,21/11/2012,3.4,0.0, ,13.6,10.2,99,42,5.60,18.69
MOUNT BAW BAW,22/11/2012,3.5,0.6, ,12.1,-1.6,99,60,2.45,30.14
MOUNT BAW BAW,23/11/2012,4.5,0.0, ,15.8,3.4,88,36,2.23,31.35
MOUNT BAW BAW,24/11/2012,5.8,0.0, ,20.7,10.3,62,31,3.50,30.18
MOUNT BAW BAW,25/11/2012,5.3,0.0, ,20.6,12.4,99,37,2.81,29.76
MOUNT BAW BAW,26/11/2012,5.0,0.0, ,18.8,9.9,91,21,2.91,27.33
MOUNT BAW BAW,27/11/2012,3.3,9.2, ,14.0,8.4,99,55,3.82,20.59
MOUNT BAW BAW,28/11/2012,4.8,9.0, ,19.1,7.5,99,61,2.68,32.61
MOUNT BAW BAW,29/11/2012,6.3,0.0, ,26.0,13.1,81,40,2.90,32.08
MOUNT BAW BAW,30/11/2012,4.3,0.0, ,21.1,15.5,99,55,4.01,21.85
Totals:,,108.8,86.4, ,,,,,, 
