'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOUNT BAW BAW Victoria for December 2013,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 January 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOUNT BAW BAW,01/12/2013,5.5,0.0, ,17.5,1.7,55,33,2.92,35.74
MOUNT BAW BAW,02/12/2013,7.4,0.0, ,22.9,12.0,46,32,3.93,37.46
MOUNT BAW BAW,03/12/2013,5.7,0.0, ,20.6,15.0,92,34,5.03,29.01
MOUNT BAW BAW,04/12/2013,0.6,6.0, ,10.7,10.1,99,98,5.82,2.39
MOUNT BAW BAW,05/12/2013,0.9,31.6, ,0.9,-1.5,99,99,6.23,13.90
MOUNT BAW BAW,06/12/2013,1.4,34.4, ,3.2,-2.0,99,99,6.68,23.73
MOUNT BAW BAW,07/12/2013,4.6,1.0, ,12.5,-1.4,99,43,3.84,38.19
MOUNT BAW BAW,08/12/2013,4.0,0.0, ,16.7,3.1,66,45,3.90,21.69
MOUNT BAW BAW,09/12/2013,2.6,0.0, ,15.4,12.2,99,40,5.10,7.45
MOUNT BAW BAW,10/12/2013,2.0,16.6, ,5.1,-0.1,99,83,6.65,26.74
MOUNT BAW BAW,11/12/2013,1.9,0.6, ,6.4,0.2,99,87,6.74,24.70
MOUNT BAW BAW,12/12/2013,4.9,1.4, ,13.6,0.8,99,37,4.46,37.74
MOUNT BAW BAW,13/12/2013,3.4,0.0, ,12.8,5.3,99,71,4.48,28.54
MOUNT BAW BAW,14/12/2013,3.8,3.6, ,11.3,0.9,99,27,2.96,27.02
MOUNT BAW BAW,15/12/2013,4.9,0.0, ,14.2,3.7,88,33,2.78,35.22
MOUNT BAW BAW,16/12/2013,5.3,0.0, ,16.7,6.5,98,16,2.41,33.86
MOUNT BAW BAW,17/12/2013,6.6,0.0, ,19.8,9.6,78,17,2.41,38.35
MOUNT BAW BAW,18/12/2013,7.2,0.0, ,22.9,11.8,69,12,2.40,38.23
MOUNT BAW BAW,19/12/2013,7.3,0.0, ,26.3,15.6,61,27,3.26,34.04
MOUNT BAW BAW,20/12/2013,6.9,0.0, ,26.3,18.2,99,34,4.35,32.45
MOUNT BAW BAW,21/12/2013,3.3,2.8, ,19.8,9.6,94,52,2.83,15.70
MOUNT BAW BAW,22/12/2013,3.3,0.0, ,18.3,11.8,99,47,4.74,13.55
MOUNT BAW BAW,23/12/2013,1.1,8.4, ,9.9,5.7,99,94,5.52,8.55
MOUNT BAW BAW,24/12/2013,5.1,13.2, ,14.6,0.1,99,31,3.29,37.38
MOUNT BAW BAW,25/12/2013,5.4,0.0, ,17.5,9.4,84,30,2.45,33.49
MOUNT BAW BAW,26/12/2013,4.1,0.0, ,16.5,11.3,99,38,2.83,22.89
MOUNT BAW BAW,27/12/2013,2.4,7.2, ,17.7,8.3,99,63,2.56,11.23
MOUNT BAW BAW,28/12/2013,7.2,0.0, ,21.9,9.1,99,22,5.97,38.29
MOUNT BAW BAW,29/12/2013,4.9,0.0, ,9.2,0.3,99,9,6.76,38.68
MOUNT BAW BAW,30/12/2013,5.4,0.0, ,12.0,1.7,99,11,4.03,39.96
MOUNT BAW BAW,31/12/2013,5.0,0.0, ,14.6,1.1,99,33,3.66,37.14
Totals:,,134.1,126.8, ,,,,,, 
