'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOUNT BAW BAW Victoria for August 2019,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 September 2019,,,,,,,,,,
© Copyright Commonwealth of Australia 2019 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOUNT BAW BAW,01/08/2019,1.4,0.0, ,2.7,1.2,100,26,4.61,7.76
MOUNT BAW BAW,02/08/2019,1.5,0.6, ,5.1,-2.5,100,23,4.01,9.94
MOUNT BAW BAW,03/08/2019,0.3,0.0, ,0.9,-2.4,100,99,6.21,5.63
MOUNT BAW BAW,04/08/2019,0.5,5.8, ,-0.1,-1.5,100,100,1.57,5.92
MOUNT BAW BAW,05/08/2019,0.6,0.6, ,2.9,-2.8,100,87,1.86,9.07
MOUNT BAW BAW,06/08/2019,1.1,0.4, ,5.0,-2.2,99,52,3.75,7.88
MOUNT BAW BAW,07/08/2019,0.9,0.2, ,3.4,-0.6,100,69,4.09,9.61
MOUNT BAW BAW,08/08/2019,0.4,18.4, ,-1.5,-2.9,100,99,4.80,7.16
MOUNT BAW BAW,09/08/2019,0.2,23.8, ,-3.0,-3.2,99,99,7.01,2.19
MOUNT BAW BAW,10/08/2019,0.3,22.0, ,-1.6,-5.1,99,99,4.46,1.46
MOUNT BAW BAW,11/08/2019,0.4,37.8, ,-0.3,-5.0,100,99,2.39,3.85
MOUNT BAW BAW,12/08/2019,0.6,37.2, ,0.0,-4.6,100,99,0.00,6.62
MOUNT BAW BAW,13/08/2019,0.5,11.0, ,0.8,-2.4,100,100,1.66,4.54
MOUNT BAW BAW,14/08/2019,0.6,10.0, ,1.3,-1.2,100,99,0.86,7.01
MOUNT BAW BAW,15/08/2019,1.0,0.2, ,3.2,-3.2,99,65,3.26,11.05
MOUNT BAW BAW,16/08/2019,0.9,0.2, ,2.5,-0.1,100,67,5.38,5.14
MOUNT BAW BAW,17/08/2019,1.0,31.4, ,4.9,-2.0,100,74,1.98,11.79
MOUNT BAW BAW,18/08/2019,1.7,0.0, ,6.6,-0.5,100,44,5.62,11.70
MOUNT BAW BAW,19/08/2019,0.3,12.6, ,-0.6,-5.1,99,99,5.97,3.54
MOUNT BAW BAW,20/08/2019,0.3,9.4, ,2.0,-4.9,100,99,7.33,5.50
MOUNT BAW BAW,21/08/2019,0.3,5.6, ,1.4,-0.7,100,100,10.43,6.22
MOUNT BAW BAW,22/08/2019,0.4,17.6, ,3.0,-2.6,100,99,3.49,5.04
MOUNT BAW BAW,23/08/2019,2.0,10.6, ,9.0,-5.3,99,18,2.79,14.06
MOUNT BAW BAW,24/08/2019,2.0,0.0, ,5.1,0.8,100,24,5.22,14.20
MOUNT BAW BAW,25/08/2019,0.4,18.6, ,-0.9,-3.1,100,99,4.54,6.32
MOUNT BAW BAW,26/08/2019,0.6,4.2, ,0.0,-3.9,100,99,1.69,7.17
MOUNT BAW BAW,27/08/2019,0.8,1.0, ,2.2,-2.9,100,99,2.44,12.76
MOUNT BAW BAW,28/08/2019,0.4,0.0, ,0.0,-1.9,100,99,5.67,6.36
MOUNT BAW BAW,29/08/2019,0.7,19.2, ,5.4,-4.3,100,99,2.37,9.30
MOUNT BAW BAW,30/08/2019,1.8,0.4, ,8.3,-3.4,99,31,2.38,15.03
MOUNT BAW BAW,31/08/2019,2.2,0.0, ,8.8,1.0,69,26,2.66,15.26
Totals:,,26.1,298.8, ,,,,,, 
