'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOUNT BULLER Victoria for September 2013,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 October 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOUNT BULLER,01/09/2013,2.3,0.0, ,9.7,2.7,79,65,6.71,20.06
MOUNT BULLER,02/09/2013,3.3,0.0, ,12.9,6.3,81,28,4.76,20.40
MOUNT BULLER,03/09/2013,3.0,0.0, ,13.6,7.5,92,25,2.79,20.61
MOUNT BULLER,04/09/2013,2.5,0.0, ,11.6,7.1,92,60,9.25,20.18
MOUNT BULLER,05/09/2013,1.8,0.0, ,11.0,6.8,100,66,6.91,12.19
MOUNT BULLER,06/09/2013,1.6,0.6, ,5.4,4.1,100,34,5.32,3.90
MOUNT BULLER,07/09/2013,2.3,2.8, ,6.6,1.8,100,42,5.29,21.65
MOUNT BULLER,08/09/2013,3.0,0.0, ,8.9,-1.4,95,21,5.02,22.75
MOUNT BULLER,09/09/2013,3.2,0.0, ,10.3,1.2,82,33,11.34,13.98
MOUNT BULLER,10/09/2013,1.0,7.2, ,2.7,2.2,100,93,3.89,12.95
MOUNT BULLER,11/09/2013,0.6,3.8, ,0.0,-2.4,100,98,7.36,11.14
MOUNT BULLER,12/09/2013,2.1,4.8, ,3.3,-3.0,99,22,5.87,17.32
MOUNT BULLER,13/09/2013,2.3,3.0, ,3.2,-4.6,100,11,6.20,17.16
MOUNT BULLER,14/09/2013,1.4,0.4, ,6.4,-1.2,100,76,2.57,14.71
MOUNT BULLER,15/09/2013,2.1,0.0, ,9.3,0.1,100,59,3.28,19.01
MOUNT BULLER,16/09/2013,0.9,3.8, ,4.6,2.5,100,78,8.34,4.91
MOUNT BULLER,17/09/2013,1.1,23.0, ,7.8,2.5,100,94,4.75,11.77
MOUNT BULLER,18/09/2013,0.9,1.0, ,4.5,2.3,100,94,7.59,14.10
MOUNT BULLER,19/09/2013,0.6,29.2, ,0.9,-1.5,100,99,6.76,10.79
MOUNT BULLER,20/09/2013,0.6,20.8, ,3.3,-2.7,100,98,7.87,9.86
MOUNT BULLER,21/09/2013,2.8,4.2, ,6.5,-1.4,100,26,5.47,24.32
MOUNT BULLER,22/09/2013,1.7,2.8, ,9.5,0.7,100,86,5.68,21.07
MOUNT BULLER,23/09/2013,3.7,0.4, ,13.5,2.4,100,33,8.46,23.82
MOUNT BULLER,24/09/2013,3.1,0.0, ,11.2,4.2,100,44,8.01,23.55
MOUNT BULLER,25/09/2013,2.5,1.4, ,10.3,5.4,100,51,9.06,17.88
MOUNT BULLER,26/09/2013,1.1,27.8, ,1.7,0.2,100,76,11.11,13.10
MOUNT BULLER,27/09/2013,2.8,6.4, ,6.9,-3.9,99,42,8.43,27.54
MOUNT BULLER,28/09/2013,1.2,0.4, ,3.3,-2.0,99,75,9.12,13.99
MOUNT BULLER,29/09/2013,2.2,3.6, ,9.2,-1.7,100,75,7.52,27.19
MOUNT BULLER,30/09/2013,4.0,0.0, ,13.2,2.6,82,33,14.40,12.29
Totals:,,61.7,147.4, ,,,,,, 
