'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOUNT BULLER Victoria for September 2015,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 October 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOUNT BULLER,01/09/2015,2.1,0.0, ,5.8,-2.0,100,10,3.26,16.90
MOUNT BULLER,02/09/2015,2.1,0.0, ,4.0,-1.2,100,20,5.22,15.11
MOUNT BULLER,03/09/2015, ,1.8, , ,-1.1,100,65,10.77,14.54
MOUNT BULLER,04/09/2015, , , ,5.2, ,99,30,2.42,17.12
MOUNT BULLER,05/09/2015,1.9,0.0, ,6.1,-1.1,95,32,2.54,17.48
MOUNT BULLER,06/09/2015,0.8,0.0, ,1.4,0.6,100,81,9.90,10.44
MOUNT BULLER,07/09/2015,0.5,10.8, ,-0.4,-2.8,100,98,6.03,8.84
MOUNT BULLER,08/09/2015,0.6,13.0, ,2.0,-3.6,100,98,5.65,9.00
MOUNT BULLER,09/09/2015,0.6,1.0, ,2.0,-3.7,100,99,10.10,16.72
MOUNT BULLER,10/09/2015,1.3,0.0, ,5.3,-2.0,100,83,4.82,17.65
MOUNT BULLER,11/09/2015,1.8,0.0, ,6.4,-0.1,100,62,5.21,18.80
MOUNT BULLER,12/09/2015,2.1,0.0, ,11.3,1.4,100,54,3.00,16.20
MOUNT BULLER,13/09/2015,2.5,0.0, ,12.0,4.9,94,46,3.10,18.60
MOUNT BULLER,14/09/2015,2.3,0.0, ,11.3,4.9,99,61,10.80,18.68
MOUNT BULLER,15/09/2015,0.9,10.8, ,3.3,0.6,100,74,9.88,6.43
MOUNT BULLER,16/09/2015,2.0,1.6, ,4.8,-3.1,100,38,4.35,18.52
MOUNT BULLER,17/09/2015,2.0,0.0, ,7.1,-3.2,100,58,5.40,19.80
MOUNT BULLER,18/09/2015,2.2,0.0, ,7.8,-2.4,100,42,2.87,19.41
MOUNT BULLER,19/09/2015,1.5,0.0, ,7.6,1.3,100,72,5.22,13.39
MOUNT BULLER,20/09/2015,1.1,0.0, ,7.2,1.7,100,85,5.44,10.21
MOUNT BULLER,21/09/2015,1.4,0.0, ,7.8,3.1,100,75,7.70,13.02
MOUNT BULLER,22/09/2015,0.5,6.6, ,-1.8,-3.7,100,94,9.27,9.95
MOUNT BULLER,23/09/2015,1.1,0.8, ,-1.1,-6.8,97,75,9.16,21.25
MOUNT BULLER,24/09/2015,1.1,0.2, ,0.9,-5.7,100,77,9.35,18.10
MOUNT BULLER,25/09/2015,2.2,0.0, ,7.2,-2.8,100,53,8.41,21.64
MOUNT BULLER,26/09/2015,2.7,0.0, ,7.8,0.4,95,27,3.27,20.99
MOUNT BULLER,27/09/2015,2.9,0.0, ,9.5,2.7,92,31,3.83,20.63
MOUNT BULLER,28/09/2015,2.8,0.0, ,10.4,2.2,84,53,6.59,20.03
MOUNT BULLER,29/09/2015,2.8,0.0, ,7.3,2.0,96,35,8.31,22.06
MOUNT BULLER,30/09/2015, ,0.0, , ,-1.8,95,54,2.89,20.63
Totals:,,45.8,46.6, ,,,,,, 
