'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOUNT HOTHAM Victoria for May 2010,,,,,,,,,,
Issued at 04:44 GMT on Monday 26 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOUNT HOTHAM,01/05/2010,1.8,0.0, ,5.5,2.4,99,49,11.12,14.20
MOUNT HOTHAM,02/05/2010,1.4,0.0, ,6.5,1.8,99,63,6.49,14.16
MOUNT HOTHAM,03/05/2010,1.2,0.0, ,7.9,2.7,98,79,8.82,15.92
MOUNT HOTHAM,04/05/2010,1.3,6.6, ,6.6,2.9,99,69,15.24,7.46
MOUNT HOTHAM,05/05/2010,0.5,10.0, ,-0.3,-2.5,99,97,6.76,11.20
MOUNT HOTHAM,06/05/2010,0.9,3.8, ,1.3,-2.8,99,69,5.41,9.42
MOUNT HOTHAM,07/05/2010,0.9,0.6, ,4.2,-1.5,99,75,5.49,10.02
MOUNT HOTHAM,08/05/2010,1.9,3.8, ,8.0,0.4,99,35,5.25,13.82
MOUNT HOTHAM,09/05/2010,2.2,0.2, ,8.2,3.3,98,24,5.97,15.25
MOUNT HOTHAM,10/05/2010,1.3,0.0, ,4.1,2.1,99,60,9.98,12.03
MOUNT HOTHAM,11/05/2010,0.5,0.0, ,0.3,0.3,99,87,10.58,9.17
MOUNT HOTHAM,12/05/2010,0.4,3.6, ,0.4,-4.8,98,96,8.16,13.10
MOUNT HOTHAM,13/05/2010,0.3,0.0, ,2.0,-4.0,99,98,11.83,11.51
MOUNT HOTHAM,14/05/2010,1.4,0.0, ,4.5,-1.1,99,57,8.70,14.45
MOUNT HOTHAM,15/05/2010,1.5,0.2, ,8.3,0.1,98,34,2.69,14.34
MOUNT HOTHAM,16/05/2010,1.9,0.0, ,8.4,1.1,86,30,4.06,14.42
MOUNT HOTHAM,17/05/2010,1.6,0.0, ,6.7,1.3,88,36,3.98,13.16
MOUNT HOTHAM,18/05/2010,1.3,0.0, ,6.3,0.4,88,51,3.17,13.90
MOUNT HOTHAM,19/05/2010,1.3,0.0, ,5.4,-0.3,99,51,4.53,14.01
MOUNT HOTHAM,20/05/2010,1.0,0.0, ,4.6,-0.4,96,60,2.92,11.75
MOUNT HOTHAM,21/05/2010,0.7,0.0, ,2.1,-2.7,98,76,3.62,12.35
MOUNT HOTHAM,22/05/2010,0.9,0.0, ,3.3,-3.5,95,63,2.96,13.66
MOUNT HOTHAM,23/05/2010,1.4,0.0, ,3.6,-3.1,98,46,6.52,13.66
MOUNT HOTHAM,24/05/2010,1.0,0.0, ,3.5,-1.6,99,68,12.58,8.18
MOUNT HOTHAM,25/05/2010,0.3,6.6, ,4.1,0.7,99,98,8.79,7.30
MOUNT HOTHAM,26/05/2010,0.4,5.4, ,3.4,1.7,99,98,7.85,10.52
MOUNT HOTHAM,27/05/2010,0.6,0.0, ,4.2,1.3,99,88,3.66,8.88
MOUNT HOTHAM,28/05/2010,0.3,2.4, ,3.4,1.5,99,98,12.02,7.83
MOUNT HOTHAM,29/05/2010,0.3,14.8, ,3.0,1.1,99,98,8.49,6.67
MOUNT HOTHAM,30/05/2010,0.3,7.8, ,4.2,0.9,99,98,15.02,7.81
MOUNT HOTHAM,31/05/2010,0.3,10.4, ,3.7,0.6,99,98,9.46,12.13
Totals:,,31.1,76.2, ,,,,,, 
