'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOUNT HOTHAM Victoria for September 2014,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOUNT HOTHAM,01/09/2014,1.0,0.0, ,2.9,1.1,99,78,13.73,12.19
MOUNT HOTHAM,02/09/2014,0.4,0.2, ,-2.5,-3.5,99,99,10.40,9.42
MOUNT HOTHAM,03/09/2014,0.7,0.0, ,-2.1,-5.6,99,99,6.33,16.91
MOUNT HOTHAM,04/09/2014,0.8,4.8, ,-1.2,-5.5,99,99,5.07,17.21
MOUNT HOTHAM,05/09/2014,0.9,0.2, ,-0.3,-4.3,99,99,4.43,17.37
MOUNT HOTHAM,06/09/2014,1.6,0.8, ,4.1,-3.8,99,60,3.06,17.83
MOUNT HOTHAM,07/09/2014,2.3,0.2, ,9.3,-2.7,99,43,5.37,18.11
MOUNT HOTHAM,08/09/2014,1.1,0.0, ,4.5,0.5,99,78,14.52,14.80
MOUNT HOTHAM,09/09/2014,0.2,12.2, ,5.3,0.7,100,99,17.95,2.50
MOUNT HOTHAM,10/09/2014,0.5,69.0, ,1.5,-0.1,99,99,9.63,9.61
MOUNT HOTHAM,11/09/2014,0.4,3.4, ,1.8,-0.5,99,99,11.81,6.77
MOUNT HOTHAM,12/09/2014,1.5,5.4, ,4.3,-4.9,99,74,3.67,18.49
MOUNT HOTHAM,13/09/2014,1.7,0.2, ,5.7,-1.7,99,67,4.81,18.99
MOUNT HOTHAM,14/09/2014,1.7,0.2, ,6.2,-0.7,99,62,4.83,16.26
MOUNT HOTHAM,15/09/2014,1.6,0.0, ,5.9,0.5,99,64,7.42,14.16
MOUNT HOTHAM,16/09/2014,1.3,2.0, ,5.8,1.7,99,73,8.94,11.53
MOUNT HOTHAM,17/09/2014,0.6,9.2, ,-0.9,-3.1,99,99,4.75,9.09
MOUNT HOTHAM,18/09/2014,0.8,1.2, ,-0.9,-5.1,99,91,7.08,16.48
MOUNT HOTHAM,19/09/2014,2.2,0.4, ,3.1,-4.8,99,25,5.04,20.07
MOUNT HOTHAM,20/09/2014,2.4,0.2, ,4.6,-5.1,99,20,4.92,20.57
MOUNT HOTHAM,21/09/2014,2.9,0.0, ,7.2,-3.3,90,8,4.08,21.02
MOUNT HOTHAM,22/09/2014,2.9,0.0, ,9.3,1.7,91,36,5.60,21.15
MOUNT HOTHAM,23/09/2014,3.8,0.0, ,12.4,3.1,80,23,7.00,19.33
MOUNT HOTHAM,24/09/2014,2.0,0.2, ,7.3,3.2,99,50,10.21,12.00
MOUNT HOTHAM,25/09/2014,1.1,22.4, ,4.8,1.7,99,80,9.65,11.27
MOUNT HOTHAM,26/09/2014,1.7,0.4, ,5.9,1.2,99,72,4.26,16.96
MOUNT HOTHAM,27/09/2014,1.4,0.0, ,6.1,-0.7,99,79,6.06,15.76
MOUNT HOTHAM,28/09/2014,2.1,0.6, ,9.5,2.1,99,66,13.51,19.29
MOUNT HOTHAM,29/09/2014,3.6,0.0, ,10.1,4.0,99,24,11.63,20.56
MOUNT HOTHAM,30/09/2014,1.6,0.0, ,7.8,2.5,99,71,13.30,13.07
Totals:,,46.8,133.2, ,,,,,, 
