'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOUNT HOTHAM Victoria for April 2016,,,,,,,,,,
Issued at 22:30 GMT on Sunday 01 May 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOUNT HOTHAM,01/04/2016,2.3,0.2, ,10.4,4.6,93,62,11.52,17.90
MOUNT HOTHAM,02/04/2016,2.4,0.0, ,12.4,5.7,99,58,9.41,17.11
MOUNT HOTHAM,03/04/2016,2.4,0.6, ,12.2,0.5,99,52,3.75,19.31
MOUNT HOTHAM,04/04/2016,2.7,0.0, ,12.7,4.6,94,56,8.21,19.32
MOUNT HOTHAM,05/04/2016,4.0,0.0, ,13.8,7.9,89,33,14.11,17.40
MOUNT HOTHAM,06/04/2016,2.7,0.0, ,10.5,9.1,99,30,10.98,5.13
MOUNT HOTHAM,07/04/2016,2.6,19.0, ,9.3,-0.2,99,32,5.93,18.53
MOUNT HOTHAM,08/04/2016,2.4,0.0, ,8.4,2.1,98,35,6.91,15.35
MOUNT HOTHAM,09/04/2016,2.6,0.0, ,9.4,2.4,94,40,6.93,18.55
MOUNT HOTHAM,10/04/2016,0.8,0.0, ,8.4,2.9,99,94,10.10,9.98
MOUNT HOTHAM,11/04/2016,2.3,0.2, ,11.3,3.4,99,53,7.07,17.26
MOUNT HOTHAM,12/04/2016,2.4,0.0, ,10.9,3.5,99,18,2.93,15.76
MOUNT HOTHAM,13/04/2016,1.6,0.2, ,11.3,2.2,99,74,8.23,12.91
MOUNT HOTHAM,14/04/2016,2.2,0.0, ,11.9,5.7,86,70,11.25,15.38
MOUNT HOTHAM,15/04/2016,2.3,0.0, ,12.1,7.7,79,70,12.23,11.70
MOUNT HOTHAM,16/04/2016,2.3,0.0, ,13.7,8.4,99,48,5.27,13.94
MOUNT HOTHAM,17/04/2016,1.4,0.2, ,11.6,3.4,99,69,3.40,9.99
MOUNT HOTHAM,18/04/2016,2.0,0.4, ,11.8,3.9,95,61,6.51,15.17
MOUNT HOTHAM,19/04/2016,2.0,0.0, ,11.0,5.5,96,60,6.76,14.92
MOUNT HOTHAM,20/04/2016,2.0,0.0, ,12.0,5.7,78,59,3.47,14.44
MOUNT HOTHAM,21/04/2016,2.4,0.0, ,11.5,7.0,99,39,8.72,9.16
MOUNT HOTHAM,22/04/2016,0.6,14.0, ,5.9,3.7,99,99,7.28,10.98
MOUNT HOTHAM,23/04/2016,3.1,1.2, ,9.3,-1.2,99,10,7.92,15.63
MOUNT HOTHAM,24/04/2016,2.5,0.0, ,13.2,0.5,74,29,3.25,15.49
MOUNT HOTHAM,25/04/2016,2.9,0.0, ,12.2,3.8,81,28,6.01,15.35
MOUNT HOTHAM,26/04/2016,3.8,0.0, ,11.8,6.1,63,27,9.45,15.20
MOUNT HOTHAM,27/04/2016,2.5,0.0, ,9.5,5.1,99,42,14.61,12.44
MOUNT HOTHAM,28/04/2016,1.5,0.0, ,10.4,6.0,90,76,13.82,7.49
MOUNT HOTHAM,29/04/2016,1.1,0.0, ,8.3,7.1,99,75,13.51,4.42
MOUNT HOTHAM,30/04/2016,0.3,55.6, ,8.3,7.0,100,99,13.07,3.82
Totals:,,66.1,91.6, ,,,,,, 
