'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOUNT HOTHAM Victoria for March 2019,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 April 2019,,,,,,,,,,
© Copyright Commonwealth of Australia 2019 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOUNT HOTHAM,01/03/2019,6.0,0.4, ,22.9,12.0,37,23,4.79,21.90
MOUNT HOTHAM,02/03/2019,5.8,0.0, ,20.7,11.3,44,27,5.42,23.37
MOUNT HOTHAM,03/03/2019,5.8,0.0, ,20.1,12.1,42,27,5.69,22.88
MOUNT HOTHAM,04/03/2019,6.9,0.0, ,22.9,13.7,42,24,7.84,20.03
MOUNT HOTHAM,05/03/2019,4.9,2.0, ,15.9,11.3,50,36,10.31,9.77
MOUNT HOTHAM,06/03/2019,2.0,14.6, ,6.6,5.5,100,50,8.21,12.46
MOUNT HOTHAM,07/03/2019,3.8,0.0, ,12.5,-3.5,99,13,5.01,22.57
MOUNT HOTHAM,08/03/2019,3.0,0.0, ,13.0,5.3,100,44,9.87,14.67
MOUNT HOTHAM,09/03/2019,3.8,0.4, ,16.0,5.9,71,38,4.23,20.70
MOUNT HOTHAM,10/03/2019,2.5,0.0, ,14.2,9.3,100,56,7.34,11.53
MOUNT HOTHAM,11/03/2019,1.7,2.4, ,11.3,6.2,100,80,7.83,14.53
MOUNT HOTHAM,12/03/2019,2.1,0.0, ,10.1,4.2,100,65,7.29,16.32
MOUNT HOTHAM,13/03/2019,2.3,0.2, ,11.5,0.4,100,60,5.08,18.14
MOUNT HOTHAM,14/03/2019,2.7,0.0, ,14.8,3.4,99,49,5.38,14.40
MOUNT HOTHAM,15/03/2019,3.3,0.0, ,15.2,3.4,100,45,5.10,21.13
MOUNT HOTHAM,16/03/2019,2.7,0.0, ,16.9,5.1,100,65,5.20,17.60
MOUNT HOTHAM,17/03/2019,2.6,0.0, ,15.8,7.4,100,61,5.86,15.51
MOUNT HOTHAM,18/03/2019,1.8,0.2, ,11.1,5.9,100,60,10.45,6.05
MOUNT HOTHAM,19/03/2019,1.6,2.2, ,14.5,8.1,100,86,3.33,11.12
MOUNT HOTHAM,20/03/2019,2.1,0.2, ,17.9,9.8,100,66,2.26,11.60
MOUNT HOTHAM,21/03/2019,2.6,0.0, ,17.5,10.9,100,61,3.47,15.07
MOUNT HOTHAM,22/03/2019,2.0,15.4, ,15.2,8.8,96,59,3.42,9.21
MOUNT HOTHAM,23/03/2019,2.4,6.4, ,12.9,8.3,100,46,7.51,7.67
MOUNT HOTHAM,24/03/2019,1.3,1.6, ,11.0,7.8,100,83,11.82,10.56
MOUNT HOTHAM,25/03/2019,0.6,116.0, ,7.8,7.6,100,89,13.68,1.34
MOUNT HOTHAM,26/03/2019,1.9,6.2, ,8.8,-2.8,99,60,6.88,15.15
MOUNT HOTHAM,27/03/2019,3.4,0.0, ,13.2,-2.1,81,4,3.24,18.76
MOUNT HOTHAM,28/03/2019,2.3,0.0, ,12.2,5.7,94,66,10.26,15.66
MOUNT HOTHAM,29/03/2019,1.3,0.0, ,10.1,6.8,100,71,12.90,1.86
MOUNT HOTHAM,30/03/2019,0.4,27.4, ,0.6,0.4,100,99,8.55,5.84
MOUNT HOTHAM,31/03/2019,0.6,1.2, ,3.8,-3.3,100,99,6.76,9.03
Totals:,,86.2,196.8, ,,,,,, 
