'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOUNT MOORNAPA Victoria for May 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOUNT MOORNAPA,01/05/2009,2.4,0.0, ,17.4,6.3,81,37,3.31,11.74
MOUNT MOORNAPA,02/05/2009,1.7,0.0, ,14.5,7.8,86,48,1.90,15.05
MOUNT MOORNAPA,03/05/2009,1.7,0.0, ,15.5,6.6,88,57,2.22,15.08
MOUNT MOORNAPA,04/05/2009,1.6,0.0, ,14.4,8.0,90,62,2.60,12.79
MOUNT MOORNAPA,05/05/2009,1.5,0.0, ,14.6,6.1,90,55,1.58,14.56
MOUNT MOORNAPA,06/05/2009,1.3,0.0, ,12.6,6.2,96,64,2.59,12.73
MOUNT MOORNAPA,07/05/2009,1.8,0.0, ,15.2,7.1,83,61,3.57,12.27
MOUNT MOORNAPA,08/05/2009,1.6,0.0, ,14.3,7.4,94,58,2.93,13.48
MOUNT MOORNAPA,09/05/2009,1.7,0.0, ,16.2,9.0,92,62,3.11,13.37
MOUNT MOORNAPA,10/05/2009,1.2,0.0, ,14.5,7.7,97,70,1.85,11.59
MOUNT MOORNAPA,11/05/2009,1.4,0.0, ,15.3,7.0,97,57,1.69,13.59
MOUNT MOORNAPA,12/05/2009,1.1,0.2, ,13.3,7.5,97,65,1.57,10.42
MOUNT MOORNAPA,13/05/2009,2.2,0.0, ,15.3,5.9,90,39,4.18,12.58
MOUNT MOORNAPA,14/05/2009,3.0,0.0, ,16.1,10.0,60,44,5.59,10.24
MOUNT MOORNAPA,15/05/2009,3.8,0.0, ,18.8,11.3,55,42,6.93,8.93
MOUNT MOORNAPA,16/05/2009,2.2,0.0, ,11.8,11.0,84,45,5.87,8.92
MOUNT MOORNAPA,17/05/2009,1.8,0.4, ,16.0,7.2,93,51,3.47,12.57
MOUNT MOORNAPA,18/05/2009,1.5,0.2, ,14.5,6.6,94,41,2.16,13.17
MOUNT MOORNAPA,19/05/2009,1.3,0.0, ,15.9,6.4,92,49,1.62,12.81
MOUNT MOORNAPA,20/05/2009,1.7,0.0, ,16.8,9.9,69,42,2.08,12.39
MOUNT MOORNAPA,21/05/2009,1.3,0.0, ,16.3,8.5,96,52,1.83,12.52
MOUNT MOORNAPA,22/05/2009,1.8,0.0, ,17.2,9.2,82,50,2.84,12.46
MOUNT MOORNAPA,23/05/2009,1.7,0.0, ,17.9,10.5,79,55,2.61,11.58
MOUNT MOORNAPA,24/05/2009,2.8,0.0, ,22.0,13.1,57,31,3.19,11.11
MOUNT MOORNAPA,25/05/2009,2.5,0.0, ,17.2,11.4,64,43,4.07,8.28
MOUNT MOORNAPA,26/05/2009,1.1,0.0, ,13.5,9.7,94,64,2.41,7.31
MOUNT MOORNAPA,27/05/2009,1.4,0.0, ,14.2,7.3,88,47,2.59,9.45
MOUNT MOORNAPA,28/05/2009,1.1,0.0, ,11.8,6.9,90,54,2.23,8.43
MOUNT MOORNAPA,29/05/2009,0.6,5.2, ,9.4,6.4,97,90,2.05,8.72
MOUNT MOORNAPA,30/05/2009,0.7,9.4, ,12.1,6.6,97,81,1.42,9.69
MOUNT MOORNAPA,31/05/2009,0.9,0.8, ,12.4,6.0,97,72,2.60,10.70
Totals:,,52.4,16.2, ,,,,,, 
