'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOUNT MOORNAPA Victoria for February 2013,,,,,,,,,,
Issued at 22:38 GMT on Friday 01 March 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOUNT MOORNAPA,01/02/2013,1.9,0.4, ,15.8,8.9,100,53,1.58,8.86
MOUNT MOORNAPA,02/02/2013,4.4,0.0, ,22.3,8.0,87,34,1.82,25.06
MOUNT MOORNAPA,03/02/2013,3.0,0.0, ,24.0,11.5,100,43,1.52,13.50
MOUNT MOORNAPA,04/02/2013,5.0,0.0, ,25.5,11.7,100,32,1.60,27.70
MOUNT MOORNAPA,05/02/2013,5.3,0.0, ,30.4,12.8,98,28,1.39,26.72
MOUNT MOORNAPA,06/02/2013,7.6,0.0, ,35.8,17.0,58,10,3.00,25.64
MOUNT MOORNAPA,07/02/2013,7.5,0.0, ,36.7,22.1,100,15,4.43,19.92
MOUNT MOORNAPA,08/02/2013,5.1,0.0, ,29.4,14.3,99,42,1.58,26.20
MOUNT MOORNAPA,09/02/2013,4.0,0.0, ,29.9,14.4,100,38,1.28,18.22
MOUNT MOORNAPA,10/02/2013,1.5,0.2, ,17.6,12.2,100,65,1.21,6.29
MOUNT MOORNAPA,11/02/2013,3.2,1.2, ,22.1,10.6,100,54,1.94,17.36
MOUNT MOORNAPA,12/02/2013,4.0,0.0, ,24.5,12.2,100,48,1.62,22.23
MOUNT MOORNAPA,13/02/2013,4.9,0.0, ,26.7,12.4,100,33,1.74,26.04
MOUNT MOORNAPA,14/02/2013,3.3,0.0, ,26.1,14.3,100,45,1.81,14.10
MOUNT MOORNAPA,15/02/2013,5.0,0.0, ,28.5,14.6,100,43,1.62,26.31
MOUNT MOORNAPA,16/02/2013,5.2,0.0, ,29.6,14.3,100,34,1.77,26.31
MOUNT MOORNAPA,17/02/2013,5.5,0.0, ,31.3,15.5,95,23,1.59,26.35
MOUNT MOORNAPA,18/02/2013,6.5,0.0, ,34.4,18.7,52,19,2.58,23.43
MOUNT MOORNAPA,19/02/2013,3.3,0.0, ,25.6,20.3,98,38,2.48,10.91
MOUNT MOORNAPA,20/02/2013,3.0,0.6, ,24.7,12.2,100,48,1.48,13.99
MOUNT MOORNAPA,21/02/2013,1.8,5.8, ,20.9,14.1,100,100,0.94,9.99
MOUNT MOORNAPA,22/02/2013,4.0,6.6, ,26.1,15.1,100,58,1.38,21.91
MOUNT MOORNAPA,23/02/2013,4.8,0.0, ,28.0,14.3,96,43,2.23,23.91
MOUNT MOORNAPA,24/02/2013,4.8,0.0, ,32.3,16.8,96,38,1.69,21.77
MOUNT MOORNAPA,25/02/2013,5.6,0.0, ,34.9,21.0,100,25,1.96,23.11
MOUNT MOORNAPA,26/02/2013,2.0,0.0, ,25.4,16.7,100,67,1.20,8.22
MOUNT MOORNAPA,27/02/2013,2.6,2.0, ,25.8,17.9,100,59,2.78,9.35
MOUNT MOORNAPA,28/02/2013,2.5,34.2, ,18.3,9.9,100,50,2.31,12.52
Totals:,,117.3,51, ,,,,,, 
