'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOUNT MOORNAPA Victoria for December 2015,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 January 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOUNT MOORNAPA,01/12/2015,2.9,0.2, ,20.3,12.2,99,36,1.72,12.45
MOUNT MOORNAPA,02/12/2015,3.8,14.0, ,16.4,5.5,99,48,2.61,25.60
MOUNT MOORNAPA,03/12/2015,4.9,0.2, ,21.8,6.2,95,47,1.59,32.14
MOUNT MOORNAPA,04/12/2015,6.0,0.0, ,27.2,10.9,95,35,1.89,32.43
MOUNT MOORNAPA,05/12/2015,6.0,0.0, ,30.9,16.1,96,32,2.06,27.60
MOUNT MOORNAPA,06/12/2015,3.2,0.0, ,23.4,12.7,98,67,1.38,16.93
MOUNT MOORNAPA,07/12/2015,1.5,0.6, ,22.1,14.1,100,61,1.39,3.59
MOUNT MOORNAPA,08/12/2015,4.1,2.4, ,28.7,14.0,99,50,4.32,12.68
MOUNT MOORNAPA,09/12/2015,5.1,3.4, ,25.2,12.9,99,52,1.64,28.99
MOUNT MOORNAPA,10/12/2015,3.5,0.4, ,20.8,11.4,99,64,0.93,20.30
MOUNT MOORNAPA,11/12/2015,4.6,0.0, ,21.5,10.9,100,37,3.28,23.32
MOUNT MOORNAPA,12/12/2015,4.4,0.8, ,18.3,6.4,87,45,2.30,28.81
MOUNT MOORNAPA,13/12/2015,5.5,0.0, ,24.6,7.9,90,30,1.89,31.07
MOUNT MOORNAPA,14/12/2015,6.8,0.0, ,30.2,14.1,97,25,2.46,32.07
MOUNT MOORNAPA,15/12/2015,4.4,0.0, ,25.8,12.3,99,50,1.14,24.07
MOUNT MOORNAPA,16/12/2015,4.6,0.0, ,26.6,13.8,99,52,1.15,24.33
MOUNT MOORNAPA,17/12/2015,6.6,0.0, ,32.1,14.7,98,32,1.74,31.75
MOUNT MOORNAPA,18/12/2015,7.8,0.0, ,35.6,20.1,47,20,2.95,26.20
MOUNT MOORNAPA,19/12/2015,9.5,0.0, ,40.5,22.8,55,17,3.34,30.81
MOUNT MOORNAPA,20/12/2015,8.4,0.0, ,40.3,23.5,100,17,4.18,22.31
MOUNT MOORNAPA,21/12/2015,4.0,8.2, ,20.9,11.3,100,49,1.68,23.11
MOUNT MOORNAPA,22/12/2015,4.1,0.0, ,23.3,10.8,94,54,1.34,23.06
MOUNT MOORNAPA,23/12/2015,5.1,0.0, ,26.7,12.4,98,47,1.24,28.01
MOUNT MOORNAPA,24/12/2015,6.4,0.0, ,29.4,13.7,97,31,1.58,33.44
MOUNT MOORNAPA,25/12/2015,8.6,0.0, ,33.9,18.5,59,21,3.36,33.45
MOUNT MOORNAPA,26/12/2015,2.1,1.4, ,15.5,12.3,100,33,3.50,3.30
MOUNT MOORNAPA,27/12/2015,4.1,23.8, ,19.6,8.0,87,39,2.09,23.11
MOUNT MOORNAPA,28/12/2015,5.4,0.0, ,22.6,9.1,84,40,1.21,33.56
MOUNT MOORNAPA,29/12/2015,6.2,0.0, ,27.3,11.1,84,26,1.80,33.34
MOUNT MOORNAPA,30/12/2015,6.5,0.0, ,30.7,14.3,84,31,1.54,33.19
MOUNT MOORNAPA,31/12/2015,8.1,0.0, ,38.0,18.2,52,13,2.79,26.78
Totals:,,164.2,55.4, ,,,,,, 
