'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOUNT MOORNAPA Victoria for November 2020,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 December 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOUNT MOORNAPA,01/11/2020,3.3,1.0, ,19.8,8.6,100,64,1.16,21.10
MOUNT MOORNAPA,02/11/2020,4.4,0.0, ,23.2,9.6,99,49,1.56,26.75
MOUNT MOORNAPA,03/11/2020,5.5,0.2, ,27.0,13.7,75,34,2.43,26.48
MOUNT MOORNAPA,04/11/2020,2.1,0.0, ,21.1,17.6,100,47,4.06,1.40
MOUNT MOORNAPA,05/11/2020,2.3,5.2, ,13.1,6.5,100,61,2.08,14.65
MOUNT MOORNAPA,06/11/2020,3.3,0.0, ,16.9,6.0,89,62,1.85,22.73
MOUNT MOORNAPA,07/11/2020,3.1,0.2, ,15.4,6.5,99,52,1.58,20.65
MOUNT MOORNAPA,08/11/2020,4.1,0.0, ,18.9,6.1,91,54,1.54,28.75
MOUNT MOORNAPA,09/11/2020,4.9,0.0, ,24.7,9.9,85,42,1.55,28.52
MOUNT MOORNAPA,10/11/2020,6.1,0.0, ,29.5,14.0,67,32,2.50,27.26
MOUNT MOORNAPA,11/11/2020,6.5,0.0, ,31.7,17.1,86,28,3.55,23.58
MOUNT MOORNAPA,12/11/2020,4.2,0.8, ,28.3,16.9,94,30,2.48,14.59
MOUNT MOORNAPA,13/11/2020,3.2,0.2, ,22.3,11.7,100,58,1.15,17.35
MOUNT MOORNAPA,14/11/2020,2.6,0.6, ,19.0,10.3,100,70,0.95,15.06
MOUNT MOORNAPA,15/11/2020,5.8,0.0, ,28.6,10.2,100,23,4.61,16.43
MOUNT MOORNAPA,16/11/2020,7.0,0.0, ,26.7,17.7,86,22,4.82,28.41
MOUNT MOORNAPA,17/11/2020,4.7,0.0, ,20.7,8.2,87,41,1.87,29.66
MOUNT MOORNAPA,18/11/2020,5.0,0.0, ,24.3,9.7,86,42,1.69,29.11
MOUNT MOORNAPA,19/11/2020,6.5,0.0, ,33.0,14.4,76,24,2.15,27.59
MOUNT MOORNAPA,20/11/2020,5.8,0.0, ,25.4,17.6,83,33,2.16,29.59
MOUNT MOORNAPA,21/11/2020,4.5,0.0, ,26.4,10.9,99,51,1.53,24.20
MOUNT MOORNAPA,22/11/2020,3.7,0.0, ,26.8,16.1,100,30,2.21,12.74
MOUNT MOORNAPA,23/11/2020,2.2,32.6, ,19.5,14.7,100,79,2.13,11.39
MOUNT MOORNAPA,24/11/2020,3.5,13.8, ,19.7,9.8,97,60,1.24,21.66
MOUNT MOORNAPA,25/11/2020,5.3,0.0, ,26.6,12.2,93,55,1.25,30.64
MOUNT MOORNAPA,26/11/2020,2.3,0.0, ,18.3,14.5,92,76,1.64,11.77
MOUNT MOORNAPA,27/11/2020,6.5,0.0, ,32.8,9.5,97,27,1.93,30.57
MOUNT MOORNAPA,28/11/2020,3.7,0.0, ,27.4,14.8,100,30,2.53,10.49
MOUNT MOORNAPA,29/11/2020,3.4,3.4, ,18.6,12.7,100,62,3.59,19.74
MOUNT MOORNAPA,30/11/2020,5.0,0.2, ,23.7,7.9,92,53,1.30,31.09
Totals:,,130.5,58.2, ,,,,,, 
