'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOUNT MOORNAPA Victoria for September 2021,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 October 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOUNT MOORNAPA,01/09/2021,2.5,0.0, ,19.8,10.7,83,50,2.04,15.90
MOUNT MOORNAPA,02/09/2021,4.9,0.0, ,25.7,12.6,60,27,4.41,16.15
MOUNT MOORNAPA,03/09/2021,3.0,0.0, ,22.9,17.2,100,43,5.63,5.84
MOUNT MOORNAPA,04/09/2021,0.8,42.8, ,9.8,8.0,100,100,1.31,5.65
MOUNT MOORNAPA,05/09/2021,1.4,66.0, ,10.5,6.4,100,70,3.15,10.65
MOUNT MOORNAPA,06/09/2021,2.1,3.0, ,13.8,5.6,99,56,2.89,16.65
MOUNT MOORNAPA,07/09/2021,2.2,0.2, ,15.4,5.8,97,56,3.19,15.98
MOUNT MOORNAPA,08/09/2021,2.2,0.2, ,17.3,5.0,99,59,1.54,17.15
MOUNT MOORNAPA,09/09/2021,4.3,0.0, ,22.7,7.9,88,22,4.55,15.42
MOUNT MOORNAPA,10/09/2021,1.9,0.0, ,18.5,7.5,90,63,1.77,11.26
MOUNT MOORNAPA,11/09/2021,5.8,0.0, ,26.4,9.2,90,13,5.48,15.99
MOUNT MOORNAPA,12/09/2021,1.9,0.6, ,14.9,6.7,99,44,1.86,10.60
MOUNT MOORNAPA,13/09/2021,1.6,7.8, ,11.9,4.2,99,62,1.56,11.45
MOUNT MOORNAPA,14/09/2021,1.3,0.6, ,10.4,4.1,99,80,1.01,11.33
MOUNT MOORNAPA,15/09/2021,1.4,0.6, ,10.9,4.3,98,62,1.14,10.44
MOUNT MOORNAPA,16/09/2021,2.1,0.0, ,14.6,5.0,99,59,1.44,16.52
MOUNT MOORNAPA,17/09/2021,2.9,0.0, ,20.1,5.8,99,43,3.23,14.18
MOUNT MOORNAPA,18/09/2021,3.1,0.2, ,18.4,10.7,99,35,2.88,17.20
MOUNT MOORNAPA,19/09/2021,3.0,2.6, ,16.3,5.8,73,42,3.63,14.30
MOUNT MOORNAPA,20/09/2021,2.1,8.0, ,12.5,6.8,100,55,2.98,14.58
MOUNT MOORNAPA,21/09/2021,1.8,2.0, ,11.5,2.5,93,66,3.23,13.37
MOUNT MOORNAPA,22/09/2021,2.5,0.4, ,17.1,5.8,97,68,1.97,19.57
MOUNT MOORNAPA,23/09/2021,3.9,0.0, ,22.3,9.5,83,31,2.77,20.11
MOUNT MOORNAPA,24/09/2021,4.2,0.0, ,20.5,11.7,82,27,4.07,17.89
MOUNT MOORNAPA,25/09/2021,2.0,2.0, ,11.0,3.4,99,53,2.24,15.79
MOUNT MOORNAPA,26/09/2021,2.4,0.0, ,13.4,2.3,93,52,1.50,19.24
MOUNT MOORNAPA,27/09/2021,2.7,0.0, ,16.2,4.5,93,53,2.13,19.62
MOUNT MOORNAPA,28/09/2021,3.2,0.0, ,19.0,6.8,75,45,2.01,20.12
MOUNT MOORNAPA,29/09/2021,1.2,0.0, ,13.3,8.4,100,67,1.06,5.75
MOUNT MOORNAPA,30/09/2021,1.0,15.8, ,13.6,10.7,100,88,1.90,5.31
Totals:,,75.4,152.8, ,,,,,, 
