'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOUNT MOORNAPA Victoria for February 2022,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 March 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOUNT MOORNAPA,01/02/2022,3.1,0.2, ,26.9,17.3,98,68,3.41,12.96
MOUNT MOORNAPA,02/02/2022,2.0,0.4, ,17.1,9.8,92,64,1.93,9.24
MOUNT MOORNAPA,03/02/2022,2.2,0.2, ,17.1,8.2,94,62,2.07,11.36
MOUNT MOORNAPA,04/02/2022,1.9,0.2, ,17.5,9.7,100,79,1.13,10.33
MOUNT MOORNAPA,05/02/2022,3.8,9.6, ,21.4,11.6,100,68,1.63,23.37
MOUNT MOORNAPA,06/02/2022,4.3,0.4, ,22.5,11.4,99,58,1.95,26.13
MOUNT MOORNAPA,07/02/2022,4.2,0.2, ,22.2,11.2,98,61,1.88,26.11
MOUNT MOORNAPA,08/02/2022,4.3,0.2, ,24.2,11.1,100,60,1.60,25.77
MOUNT MOORNAPA,09/02/2022,3.6,0.0, ,25.9,13.5,100,51,1.64,17.84
MOUNT MOORNAPA,10/02/2022,1.8,10.2, ,20.6,15.1,100,67,0.85,8.23
MOUNT MOORNAPA,11/02/2022,3.4,1.8, ,21.6,11.5,100,50,1.25,19.83
MOUNT MOORNAPA,12/02/2022,1.9,1.8, ,17.9,11.9,100,82,1.50,10.41
MOUNT MOORNAPA,13/02/2022,5.4,2.2, ,29.6,12.8,99,43,3.16,24.59
MOUNT MOORNAPA,14/02/2022,5.8,0.0, ,32.7,17.3,85,36,2.18,25.25
MOUNT MOORNAPA,15/02/2022,3.5,0.0, ,23.9,14.5,100,60,1.32,19.47
MOUNT MOORNAPA,16/02/2022,3.8,0.0, ,27.1,15.2,100,65,1.22,20.54
MOUNT MOORNAPA,17/02/2022,1.4,8.4, ,18.1,13.9,100,87,1.15,6.77
MOUNT MOORNAPA,18/02/2022,3.2,0.0, ,20.1,11.3,100,62,1.69,19.87
MOUNT MOORNAPA,19/02/2022,3.9,0.2, ,21.7,8.9,95,61,1.38,25.68
MOUNT MOORNAPA,20/02/2022,3.3,0.0, ,25.6,12.4,94,59,1.62,16.63
MOUNT MOORNAPA,21/02/2022,2.5,0.0, ,20.1,11.3,98,51,1.19,12.82
MOUNT MOORNAPA,22/02/2022,3.5,0.0, ,22.6,11.5,94,64,1.21,21.40
MOUNT MOORNAPA,23/02/2022,4.7,0.0, ,29.0,13.4,90,45,1.84,23.58
MOUNT MOORNAPA,24/02/2022,2.4,0.0, ,25.1,18.6,97,65,1.02,11.10
MOUNT MOORNAPA,25/02/2022,1.2,0.0, ,18.3,14.1,100,82,1.30,4.49
MOUNT MOORNAPA,26/02/2022,1.5,41.4, ,19.8,14.7,100,89,1.60,7.72
MOUNT MOORNAPA,27/02/2022,3.2,8.2, ,22.9,14.4,100,75,1.14,19.02
MOUNT MOORNAPA,28/02/2022,2.7,0.2, ,22.9,15.2,100,83,0.97,15.39
Totals:,,88.5,85.8, ,,,,,, 
