'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOUNT MOORNAPA Victoria for June 2022,,,,,,,,,,
Issued at 22:30 GMT on Friday 01 July 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOUNT MOORNAPA,01/06/2022,1.0,0.0, ,10.3,3.6,99,66,4.14,4.86
MOUNT MOORNAPA,02/06/2022,0.7,2.8, ,11.4,5.5,93,68,1.36,8.80
MOUNT MOORNAPA,03/06/2022,0.8,0.2, ,9.1,3.8,92,62,1.69,5.17
MOUNT MOORNAPA,04/06/2022,1.7,0.0, ,14.8,4.6,80,49,3.69,9.08
MOUNT MOORNAPA,05/06/2022,1.3,0.0, ,14.0,7.7,99,56,3.47,8.52
MOUNT MOORNAPA,06/06/2022,0.9,17.0, ,10.1,3.8,99,64,3.07,6.50
MOUNT MOORNAPA,07/06/2022,0.7,0.0, ,7.0,4.3,99,71,3.23,5.64
MOUNT MOORNAPA,08/06/2022,0.8,6.6, ,9.2,3.6,99,71,3.58,6.67
MOUNT MOORNAPA,09/06/2022,1.1,0.2, ,11.4,4.9,91,63,3.77,6.30
MOUNT MOORNAPA,10/06/2022,1.0,0.0, ,12.2,6.7,98,67,3.70,6.59
MOUNT MOORNAPA,11/06/2022,1.1,0.0, ,10.7,4.3,88,66,4.00,5.69
MOUNT MOORNAPA,12/06/2022,0.9,0.0, ,10.5,6.7,99,68,3.91,5.66
MOUNT MOORNAPA,13/06/2022,0.8,3.4, ,11.1,5.1,99,66,2.10,7.70
MOUNT MOORNAPA,14/06/2022,0.8,0.2, ,11.3,3.3,95,65,2.30,8.48
MOUNT MOORNAPA,15/06/2022,1.2,0.0, ,11.7,4.8,76,66,3.36,5.33
MOUNT MOORNAPA,16/06/2022,1.0,0.0, ,14.6,7.6,95,69,2.91,4.82
MOUNT MOORNAPA,17/06/2022,0.5,1.4, ,10.3,7.5,100,89,1.56,5.21
MOUNT MOORNAPA,18/06/2022,0.7,0.6, ,13.3,6.5,99,73,1.43,6.93
MOUNT MOORNAPA,19/06/2022,0.9,0.2, ,14.5,4.0,99,60,2.13,9.13
MOUNT MOORNAPA,20/06/2022,1.4,0.0, ,16.9,6.8,86,53,2.64,8.85
MOUNT MOORNAPA,21/06/2022,0.8,2.4, ,10.7,8.6,99,61,1.62,5.16
MOUNT MOORNAPA,22/06/2022,1.1,1.2, ,14.3,5.2,87,64,3.06,8.54
MOUNT MOORNAPA,23/06/2022,1.5,0.0, ,15.8,7.0,85,58,3.52,7.87
MOUNT MOORNAPA,24/06/2022,1.6,0.2, ,15.7,9.8,77,51,3.12,7.87
MOUNT MOORNAPA,25/06/2022,1.4,0.0, ,15.0,7.4,76,46,2.52,9.18
MOUNT MOORNAPA,26/06/2022,1.2,0.0, ,14.8,7.1,99,51,2.58,7.62
MOUNT MOORNAPA,27/06/2022,0.6,2.0, ,9.4,4.2,99,77,2.26,7.22
MOUNT MOORNAPA,28/06/2022,0.7,0.2, ,9.8,2.8,99,70,2.26,7.79
MOUNT MOORNAPA,29/06/2022,1.2,0.2, ,10.3,4.2,82,39,2.36,6.74
MOUNT MOORNAPA,30/06/2022,0.7,0.0, ,13.1,6.2,93,61,0.94,8.13
Totals:,,30.1,38.8, ,,,,,, 
