'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOUNT MOORNAPA Victoria for September 2023,,,,,,,,,,
Issued at 22:30 GMT on Sunday 01 October 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOUNT MOORNAPA,01/09/2023,1.5,0.2, ,12.3,6.8,92,57,2.07,9.22
MOUNT MOORNAPA,02/09/2023,2.0,0.0, ,14.5,2.9,95,49,1.75,16.00
MOUNT MOORNAPA,03/09/2023,2.0,0.2, ,16.2,5.5,94,58,1.62,16.21
MOUNT MOORNAPA,04/09/2023,3.5,0.0, ,23.9,9.3,100,25,3.29,13.00
MOUNT MOORNAPA,05/09/2023,2.2,15.6, ,13.3,4.0,99,47,3.55,14.20
MOUNT MOORNAPA,06/09/2023,3.0,0.2, ,18.6,5.5,65,37,2.60,16.50
MOUNT MOORNAPA,07/09/2023,4.5,0.2, ,23.7,10.6,98,20,4.81,15.75
MOUNT MOORNAPA,08/09/2023,2.6,3.0, ,13.8,6.0,94,47,5.96,13.50
MOUNT MOORNAPA,09/09/2023,2.1,0.0, ,13.6,4.6,92,39,2.59,11.87
MOUNT MOORNAPA,10/09/2023,2.2,0.4, ,14.5,5.9,93,49,2.38,15.62
MOUNT MOORNAPA,11/09/2023,2.0,0.0, ,15.5,6.7,92,58,1.29,15.28
MOUNT MOORNAPA,12/09/2023,2.8,0.0, ,21.0,8.1,88,30,1.98,14.21
MOUNT MOORNAPA,13/09/2023,3.2,0.0, ,22.9,10.6,72,34,1.72,17.50
MOUNT MOORNAPA,14/09/2023,3.7,0.0, ,23.7,14.1,56,33,2.16,17.72
MOUNT MOORNAPA,15/09/2023,3.9,0.0, ,24.7,16.4,87,28,2.76,17.64
MOUNT MOORNAPA,16/09/2023,4.6,0.0, ,25.3,11.1,79,22,3.45,18.61
MOUNT MOORNAPA,17/09/2023,3.6,0.0, ,23.9,13.8,88,34,2.45,17.64
MOUNT MOORNAPA,18/09/2023,2.8,0.0, ,25.1,8.2,100,52,1.68,15.43
MOUNT MOORNAPA,19/09/2023,7.2,0.0, ,31.1,11.4,53,16,5.24,18.77
MOUNT MOORNAPA,20/09/2023,3.4,0.0, ,19.9,16.8,96,24,3.50,13.01
MOUNT MOORNAPA,21/09/2023,2.1,0.8, ,14.0,6.5,91,53,2.09,13.77
MOUNT MOORNAPA,22/09/2023,2.5,0.0, ,14.9,5.5,89,48,1.23,19.46
MOUNT MOORNAPA,23/09/2023,2.6,0.0, ,16.8,4.5,94,49,1.33,19.92
MOUNT MOORNAPA,24/09/2023,3.1,0.0, ,21.0,6.9,95,44,1.50,20.11
MOUNT MOORNAPA,25/09/2023,3.2,0.0, ,23.1,12.1,88,37,2.77,11.42
MOUNT MOORNAPA,26/09/2023,2.5,0.0, ,19.0,8.5,100,59,1.25,16.58
MOUNT MOORNAPA,27/09/2023,2.2,0.2, ,18.3,9.4,99,47,0.89,13.70
MOUNT MOORNAPA,28/09/2023,2.9,0.0, ,19.5,7.7,95,48,1.23,20.22
MOUNT MOORNAPA,29/09/2023,4.5,0.0, ,25.6,10.4,71,11,2.21,20.98
MOUNT MOORNAPA,30/09/2023,6.7,0.0, ,28.9,15.2,36,15,4.15,21.20
Totals:,,95.1,20.8, ,,,,,, 
