'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOUNT NOWA NOWA Victoria for December 2010,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 January 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOUNT NOWA NOWA,01/12/2010,3.2,14.2, ,20.6,12.1,99,75,2.64,19.14
MOUNT NOWA NOWA,02/12/2010,3.4,2.0, ,23.3,15.0,99,76,3.19,18.76
MOUNT NOWA NOWA,03/12/2010,6.5,2.2, ,28.8,15.9,91,40,3.44,30.17
MOUNT NOWA NOWA,04/12/2010,6.1,0.0, ,28.4,16.8,77,40,3.71,25.40
MOUNT NOWA NOWA,05/12/2010,2.8,0.0, ,18.8,15.5,98,65,2.04,14.76
MOUNT NOWA NOWA,06/12/2010,4.7,0.0, ,24.9,14.8,99,65,3.25,26.34
MOUNT NOWA NOWA,07/12/2010,6.5,0.0, ,31.1,15.4,96,42,3.55,28.90
MOUNT NOWA NOWA,08/12/2010,5.7,0.0, ,31.5,21.2,99,45,4.02,21.10
MOUNT NOWA NOWA,09/12/2010,2.7,29.6, ,17.1,13.8,99,78,2.43,16.57
MOUNT NOWA NOWA,10/12/2010,3.5,0.0, ,16.5,13.3,97,61,3.27,21.56
MOUNT NOWA NOWA,11/12/2010,5.9,0.0, ,22.7,11.1,79,36,4.19,30.66
MOUNT NOWA NOWA,12/12/2010,5.5,0.0, ,22.6,10.9,93,35,3.13,30.69
MOUNT NOWA NOWA,13/12/2010,4.4,1.0, ,18.6,9.6,98,51,2.19,28.45
MOUNT NOWA NOWA,14/12/2010,5.5,0.4, ,24.6,12.3,80,56,2.29,31.07
MOUNT NOWA NOWA,15/12/2010,6.5,0.0, ,30.8,17.0,98,35,4.16,25.36
MOUNT NOWA NOWA,16/12/2010,3.4,3.8, ,15.8,9.3,99,58,2.27,22.32
MOUNT NOWA NOWA,17/12/2010,5.3,1.4, ,24.8,10.4,95,32,3.15,25.50
MOUNT NOWA NOWA,18/12/2010,3.7,0.2, ,17.9,10.7,97,60,2.70,22.87
MOUNT NOWA NOWA,19/12/2010,3.3,0.6, ,17.9,10.2,99,58,3.98,18.92
MOUNT NOWA NOWA,20/12/2010,3.7,0.2, ,17.6,7.7,99,56,6.26,22.63
MOUNT NOWA NOWA,21/12/2010,4.1,0.4, ,17.5,8.6,89,54,4.83,25.11
MOUNT NOWA NOWA,22/12/2010,5.1,0.2, ,19.0,8.7,84,55,2.35,34.60
MOUNT NOWA NOWA,23/12/2010,3.7,0.0, ,18.7,10.1,94,56,2.84,21.83
MOUNT NOWA NOWA,24/12/2010,5.4,0.2, ,21.3,9.6,90,57,2.05,34.87
MOUNT NOWA NOWA,25/12/2010,4.2,0.0, ,24.9,13.6,87,60,2.63,20.94
MOUNT NOWA NOWA,26/12/2010,2.1,0.0, ,15.8,13.9,99,64,2.33,10.01
MOUNT NOWA NOWA,27/12/2010,3.0,0.0, ,13.7,7.9,98,62,3.87,21.14
MOUNT NOWA NOWA,28/12/2010,5.2,0.2, ,19.2,5.6,81,47,2.85,35.27
MOUNT NOWA NOWA,29/12/2010,7.0,0.0, ,27.9,10.2,82,31,3.24,34.76
MOUNT NOWA NOWA,30/12/2010,5.1,0.0, ,21.1,12.0,95,63,2.52,33.04
MOUNT NOWA NOWA,31/12/2010,10.5,0.0, ,39.1,13.4,97,15,4.69,34.03
Totals:,,147.7,56.6, ,,,,,, 
