'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOUNT NOWA NOWA Victoria for January 2020,,,,,,,,,,
Issued at 22:30 GMT on Friday 31 January 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOUNT NOWA NOWA,01/01/2020,3.4,1.0, ,20.5,11.5,80,44,1.02,18.71
MOUNT NOWA NOWA,02/01/2020,3.8,0.0, ,21.5,13.2,84,43,1.15,20.16
MOUNT NOWA NOWA,03/01/2020,3.9,0.0, ,29.2,13.2,94,58,1.28,18.77
MOUNT NOWA NOWA,04/01/2020,9.5,0.0, ,37.9,14.2,81,12,5.02,22.24
MOUNT NOWA NOWA,05/01/2020,1.2,0.0, ,13.7,11.2,100,69,2.11,3.97
MOUNT NOWA NOWA,06/01/2020,0.7,6.2, ,14.1,9.7,100,100,2.10,2.60
MOUNT NOWA NOWA,07/01/2020,2.9,6.8, ,21.9,10.3,100,71,1.64,16.32
MOUNT NOWA NOWA,08/01/2020,1.4,0.0, ,18.6,13.6,100,92,1.88,7.12
MOUNT NOWA NOWA,09/01/2020,5.6,0.4, ,29.1,15.4,100,46,2.45,26.93
MOUNT NOWA NOWA,10/01/2020,8.3,0.0, ,37.8,18.6,99,21,5.34,18.98
MOUNT NOWA NOWA,11/01/2020,4.2,14.0, ,20.1,10.3,99,49,4.39,23.20
MOUNT NOWA NOWA,12/01/2020,4.6,0.2, ,20.0,10.8,89,47,2.40,27.89
MOUNT NOWA NOWA,13/01/2020,4.6,0.0, ,26.7,11.1,92,31,1.86,21.59
MOUNT NOWA NOWA,14/01/2020,6.5,0.0, ,31.4,16.7,50,26,2.55,24.91
MOUNT NOWA NOWA,15/01/2020,4.9,0.0, ,28.7,20.2,76,36,3.07,15.81
MOUNT NOWA NOWA,16/01/2020,1.5,0.0, ,16.8,16.3,99,69,2.72,4.86
MOUNT NOWA NOWA,17/01/2020,1.2,0.8, ,16.5,11.0,99,75,1.32,3.81
MOUNT NOWA NOWA,18/01/2020,4.5,1.2, ,24.9,11.0,99,50,2.09,24.15
MOUNT NOWA NOWA,19/01/2020,3.9,0.0, ,28.0,15.9,99,49,2.21,16.05
MOUNT NOWA NOWA,20/01/2020,1.5,19.6, ,19.0,15.7,99,82,2.04,6.63
MOUNT NOWA NOWA,21/01/2020,3.8,39.0, ,21.0,12.7,99,68,2.59,23.23
MOUNT NOWA NOWA,22/01/2020,7.5,0.0, ,31.4,12.9,92,23,4.89,26.18
MOUNT NOWA NOWA,23/01/2020,3.7,0.0, ,24.4,14.9,99,27,2.17,14.26
MOUNT NOWA NOWA,24/01/2020,5.1,1.8, ,22.2,12.2,78,40,1.96,29.57
MOUNT NOWA NOWA,25/01/2020,5.6,0.0, ,25.9,13.4,90,35,2.18,29.46
MOUNT NOWA NOWA,26/01/2020,5.4,0.0, ,27.8,15.8,89,40,2.13,26.43
MOUNT NOWA NOWA,27/01/2020,4.0,0.0, ,23.1,14.3,92,60,1.75,22.30
MOUNT NOWA NOWA,28/01/2020,3.9,0.0, ,23.7,14.7,94,58,1.19,21.40
MOUNT NOWA NOWA,29/01/2020,5.3,0.0, ,25.0,13.6,77,47,1.79,29.45
MOUNT NOWA NOWA,30/01/2020,8.3,0.0, ,36.7,16.2,54,13,3.20,28.68
MOUNT NOWA NOWA,31/01/2020,10.2,0.0, ,42.4,23.6,32,12,3.98,27.10
Totals:,,140.9,91, ,,,,,, 
