'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOUNT NOWA NOWA Victoria for March 2023,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 April 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOUNT NOWA NOWA,01/03/2023,2.9,8.2, ,21.6,11.6,99,51,2.49,13.63
MOUNT NOWA NOWA,02/03/2023,2.8,0.0, ,20.6,12.3,99,59,1.66,16.17
MOUNT NOWA NOWA,03/03/2023,1.8,2.6, ,19.1,12.6,100,71,1.53,9.17
MOUNT NOWA NOWA,04/03/2023,4.1,0.0, ,27.7,12.7,97,49,2.59,19.70
MOUNT NOWA NOWA,05/03/2023,7.8,0.2, ,33.2,16.8,68,22,5.55,20.80
MOUNT NOWA NOWA,06/03/2023,4.0,11.0, ,23.7,12.3,100,49,2.62,22.89
MOUNT NOWA NOWA,07/03/2023,5.8,0.2, ,28.2,12.9,90,18,3.71,22.68
MOUNT NOWA NOWA,08/03/2023,2.7,0.0, ,17.8,10.3,96,40,3.36,10.00
MOUNT NOWA NOWA,09/03/2023,4.0,0.2, ,21.9,8.6,79,32,3.38,16.34
MOUNT NOWA NOWA,10/03/2023,4.1,0.0, ,23.4,10.9,99,28,2.25,22.09
MOUNT NOWA NOWA,11/03/2023,3.5,0.0, ,23.5,12.4,100,23,1.14,20.43
MOUNT NOWA NOWA,12/03/2023,2.1,0.0, ,19.9,13.4,99,69,1.03,12.03
MOUNT NOWA NOWA,13/03/2023,3.5,0.4, ,23.5,11.8,97,37,1.57,19.61
MOUNT NOWA NOWA,14/03/2023,4.0,0.0, ,27.3,14.4,97,44,1.86,21.01
MOUNT NOWA NOWA,15/03/2023,4.5,0.2, ,28.6,17.3,77,38,2.39,20.03
MOUNT NOWA NOWA,16/03/2023,5.6,0.0, ,29.0,18.2,70,29,3.83,20.22
MOUNT NOWA NOWA,17/03/2023,2.3,0.6, ,20.5,13.3,100,62,2.04,11.99
MOUNT NOWA NOWA,18/03/2023,6.5,0.0, ,34.0,12.7,90,18,4.73,12.97
MOUNT NOWA NOWA,19/03/2023,1.1,0.0, ,16.8,14.6,100,87,1.73,5.36
MOUNT NOWA NOWA,20/03/2023,2.7,1.2, ,18.0,11.4,100,48,2.68,15.56
MOUNT NOWA NOWA,21/03/2023,3.0,0.0, ,24.3,10.2,100,46,2.29,14.37
MOUNT NOWA NOWA,22/03/2023,2.0,13.8, ,20.6,13.7,100,78,1.55,11.98
MOUNT NOWA NOWA,23/03/2023,1.2,0.0, ,18.1,13.8,100,83,0.94,6.13
MOUNT NOWA NOWA,24/03/2023,2.1,0.2, ,20.1,13.9,100,71,0.96,13.13
MOUNT NOWA NOWA,25/03/2023,1.1,0.0, ,14.5,12.2,100,85,1.13,5.37
MOUNT NOWA NOWA,26/03/2023,2.5,1.4, ,23.1,12.2,100,65,0.89,15.62
MOUNT NOWA NOWA,27/03/2023,1.4,1.4, ,17.1,13.3,100,33,1.01,3.75
MOUNT NOWA NOWA,28/03/2023,2.4,3.8, ,23.5,15.6,99,71,1.42,14.11
MOUNT NOWA NOWA,29/03/2023,1.0,3.2, ,15.6,14.9,99,83,3.88,3.26
MOUNT NOWA NOWA,30/03/2023,2.2,19.6, ,16.0,10.1,91,64,5.47,9.34
MOUNT NOWA NOWA,31/03/2023,2.5,0.0, ,19.4,10.5,97,54,4.03,10.80
Totals:,,97.2,68.2, ,,,,,, 
