'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOUNT NOWA NOWA Victoria for July 2023,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 August 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOUNT NOWA NOWA,01/07/2023,1.1,0.4, ,12.1,6.7,98,64,4.44,5.75
MOUNT NOWA NOWA,02/07/2023,0.8,0.8, ,11.3,7.1,92,75,2.79,5.72
MOUNT NOWA NOWA,03/07/2023,0.8,0.0, ,12.0,5.0,98,60,1.53,8.81
MOUNT NOWA NOWA,04/07/2023,0.9,1.0, ,10.4,6.8,99,64,2.71,4.61
MOUNT NOWA NOWA,05/07/2023,0.6,4.8, ,12.9,8.2,100,84,1.29,6.76
MOUNT NOWA NOWA,06/07/2023,1.8,0.2, ,14.7,6.5,93,47,4.85,9.35
MOUNT NOWA NOWA,07/07/2023,1.9,0.0, ,14.1,6.2,75,55,4.97,8.54
MOUNT NOWA NOWA,08/07/2023,2.2,0.0, ,13.5,7.8,73,53,6.31,7.78
MOUNT NOWA NOWA,09/07/2023,1.9,0.0, ,15.2,7.3,86,53,5.02,6.78
MOUNT NOWA NOWA,10/07/2023,1.8,0.0, ,15.9,7.9,89,46,3.76,9.06
MOUNT NOWA NOWA,11/07/2023,1.6,0.0, ,15.5,8.5,85,57,3.60,9.69
MOUNT NOWA NOWA,12/07/2023,1.7,0.0, ,16.6,7.5,81,50,3.41,9.78
MOUNT NOWA NOWA,13/07/2023,2.6,0.0, ,18.1,7.3,71,36,4.25,9.79
MOUNT NOWA NOWA,14/07/2023,2.8,0.0, ,15.6,8.9,57,40,5.23,7.55
MOUNT NOWA NOWA,15/07/2023,1.9,0.0, ,17.7,10.4,93,37,3.21,8.01
MOUNT NOWA NOWA,16/07/2023,1.0,0.0, ,12.8,5.2,91,59,1.95,10.11
MOUNT NOWA NOWA,17/07/2023,1.2,0.0, ,13.6,4.7,86,58,2.59,10.18
MOUNT NOWA NOWA,18/07/2023,3.2,0.0, ,17.1,6.8,74,35,6.57,8.68
MOUNT NOWA NOWA,19/07/2023, ,0.0, , ,5.5,80,51,3.54,8.95
MOUNT NOWA NOWA,20/07/2023, , , ,16.8, ,79,21,4.74,5.55
MOUNT NOWA NOWA,21/07/2023,1.2,0.0, ,11.6,6.1,95,62,4.08,7.44
MOUNT NOWA NOWA,22/07/2023,1.4,1.4, ,13.9,5.8,83,51,2.48,8.91
MOUNT NOWA NOWA,23/07/2023,1.3,0.0, ,14.8,5.5,95,53,2.39,10.09
MOUNT NOWA NOWA,24/07/2023,1.3,0.0, ,15.2,5.1,97,61,3.08,10.55
MOUNT NOWA NOWA,25/07/2023,1.2,0.0, ,13.6,6.8,93,54,2.12,9.29
MOUNT NOWA NOWA,26/07/2023,1.2,0.0, ,12.9,5.0,96,44,1.84,10.91
MOUNT NOWA NOWA,27/07/2023,2.7,0.2, ,20.1,5.3,95,22,3.54,11.05
MOUNT NOWA NOWA,28/07/2023,2.1,2.0, ,18.5,8.8,96,50,4.30,8.54
MOUNT NOWA NOWA,29/07/2023,2.6,0.2, ,21.1,9.6,74,45,3.71,10.75
MOUNT NOWA NOWA,30/07/2023,3.1,0.0, ,20.6,10.0,77,35,4.69,11.35
MOUNT NOWA NOWA,31/07/2023,2.5,0.0, ,18.5,7.3,84,35,3.76,11.46
Totals:,,50.4,11, ,,,,,, 
