'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NHILL AERODROME Victoria for September 2011,,,,,,,,,,
Issued at 22:35 GMT on Saturday 01 October 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NHILL AERODROME,01/09/2011,2.2,0.0, ,16.7,2.3,95,48,2.22,14.96
NHILL AERODROME,02/09/2011,3.3,0.0, ,20.0,4.5,93,39,4.14,17.80
NHILL AERODROME,03/09/2011,4.2,0.0, ,23.6,8.8,79,34,4.53,17.16
NHILL AERODROME,04/09/2011,3.1,1.6, ,18.2,10.1,91,41,4.05,16.51
NHILL AERODROME,05/09/2011,3.1,0.0, ,19.8,2.4,94,34,2.92,18.05
NHILL AERODROME,06/09/2011,2.6,0.2, ,14.0,8.0,92,52,6.82,14.28
NHILL AERODROME,07/09/2011,2.3,1.6, ,15.8,2.1,95,47,2.76,15.04
NHILL AERODROME,08/09/2011,2.6,0.0, ,16.6,0.8,94,44,3.51,15.99
NHILL AERODROME,09/09/2011,3.5,0.0, ,15.5,4.3,93,36,7.79,16.68
NHILL AERODROME,10/09/2011,2.7,0.0, ,16.3,5.7,91,54,5.66,13.45
NHILL AERODROME,11/09/2011,3.2,0.0, ,16.2,4.5,94,37,5.19,17.86
NHILL AERODROME,12/09/2011,2.2,0.0, ,15.5,-0.1,92,49,3.23,11.84
NHILL AERODROME,13/09/2011,4.2,0.0, ,20.8,4.7,86,32,5.11,19.78
NHILL AERODROME,14/09/2011,3.5,0.0, ,18.5,6.9,90,36,4.67,16.92
NHILL AERODROME,15/09/2011,3.5,0.0, ,20.1,0.2,95,33,3.13,19.75
NHILL AERODROME,16/09/2011,4.0,0.0, ,22.9,8.9,86,39,4.02,18.17
NHILL AERODROME,17/09/2011,6.3,0.0, ,29.9,6.3,92,13,4.71,15.44
NHILL AERODROME,18/09/2011,3.6,0.0, ,21.0,8.5,94,40,3.15,20.45
NHILL AERODROME,19/09/2011,7.7,0.0, ,29.2,9.7,89,14,8.68,10.11
NHILL AERODROME,20/09/2011,3.6,2.4, ,17.1,6.4,90,40,6.54,17.55
NHILL AERODROME,21/09/2011,3.6,0.0, ,21.0,6.2,90,43,4.55,16.81
NHILL AERODROME,22/09/2011,7.6,0.0, ,27.9,9.3,80,18,7.83,21.40
NHILL AERODROME,23/09/2011,3.7,0.0, ,16.5,5.0,88,34,4.65,21.48
NHILL AERODROME,24/09/2011,3.0,0.0, ,15.0,2.6,88,41,4.47,16.71
NHILL AERODROME,25/09/2011,3.7,0.0, ,18.7,-0.2,92,31,3.38,22.73
NHILL AERODROME,26/09/2011,4.9,0.0, ,22.6,6.1,76,28,4.75,19.91
NHILL AERODROME,27/09/2011,6.7,0.2, ,28.0,10.4,75,20,5.86,20.45
NHILL AERODROME,28/09/2011,2.7,0.0, ,21.0,8.8,93,43,3.56,7.12
NHILL AERODROME,29/09/2011,3.3,13.0, ,16.7,8.4,93,54,8.86,17.47
NHILL AERODROME,30/09/2011,2.0,0.6, ,13.6,4.9,94,66,5.56,11.14
Totals:,,112.6,19.6, ,,,,,, 
